download_rank,country,wave,idno,official_get_microdata_url,local_target_folder,target_folder_exists,target_file_rows,placeholder_instruction_rows,candidate_raw_file_rows,candidate_documentation_file_rows,candidate_unknown_file_rows,candidate_archive_rows,candidate_direct_data_rows,candidate_raw_total_bytes,expected_full_file_rows,expected_core_file_rows,expected_file_name_matches,expected_core_file_name_matches,matched_expected_file_names,matched_core_file_names,receipt_smoke_status,next_validation_action,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,1,33,33,0,0,0,0,0,0,68,25,0,0,,,blocked_no_candidate_raw_or_documentation_files,Download or place the complete unchanged official raw package and documentation into this target folder.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,1,33,33,0,0,0,0,0,0,68,23,0,0,,,blocked_no_candidate_raw_or_documentation_files,Download or place the complete unchanged official raw package and documentation into this target folder.,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,1,33,33,0,0,0,0,0,0,103,16,0,0,,,blocked_no_candidate_raw_or_documentation_files,Download or place the complete unchanged official raw package and documentation into this target folder.,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,1,33,33,0,0,0,0,0,0,104,18,0,0,,,blocked_no_candidate_raw_or_documentation_files,Download or place the complete unchanged official raw package and documentation into this target folder.,blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,1,33,33,0,0,0,0,0,0,99,16,0,0,,,blocked_no_candidate_raw_or_documentation_files,Download or place the complete unchanged official raw package and documentation into this target folder.,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,1,33,33,0,0,0,0,0,0,61,22,0,0,,,blocked_no_candidate_raw_or_documentation_files,Download or place the complete unchanged official raw package and documentation into this target folder.,blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,1,33,33,0,0,0,0,0,0,95,23,0,0,,,blocked_no_candidate_raw_or_documentation_files,Download or place the complete unchanged official raw package and documentation into this target folder.,blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,1,33,33,0,0,0,0,0,0,80,23,0,0,,,blocked_no_candidate_raw_or_documentation_files,Download or place the complete unchanged official raw package and documentation into this target folder.,blocked_no_data_write,blocked
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,https://microdata.worldbank.org/catalog/3902/get-microdata,temp/raw_downloads/UGA_2019_UNPS_v03_M/,1,15,15,0,0,0,0,0,0,109,27,0,0,,,blocked_no_candidate_raw_or_documentation_files,Download or place the complete unchanged official raw package and documentation into this target folder.,blocked_no_data_write,blocked
10,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,https://microdata.worldbank.org/catalog/1000/get-microdata,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,1,33,33,0,0,0,0,0,0,51,20,0,0,,,blocked_no_candidate_raw_or_documentation_files,Download or place the complete unchanged official raw package and documentation into this target folder.,blocked_no_data_write,blocked
