acquisition_batch_rank,batch_role,country,survey_name,wave,idno,requirement_rows,requirements_passed,financial_requirements_passed,double_failure_requirements_passed,concept_rows,concepts_passed,financial_concepts_passed,double_failure_concepts_passed,design_concepts_passed,variable_rows,variables_passed,archive_file_targets,archive_or_direct_targets_covered,accepted_chirps_era5_route_status,manual_verification_status,financial_protection_manual_ready,double_failure_manual_ready,analysis_ready_candidate,remaining_blockers,handoff_readme
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,8,0,0,0,13,0,0,0,0,107,0,12,0,not_accepted_raw_timing_geography_unverified,blocked_raw_module_coverage_missing,0,0,0,priority direct/archive raw module coverage incomplete; manual requirement verification incomplete; manual financial concept verification incomplete; manual double-failure concept verification incomplete; manual survey-design/timing/geography concept verification incomplete; no selected raw variables manually verified; accepted CHIRPS/ERA5 route absent,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/_PRIORITY_MANUAL_VERIFICATION_DECISION_GATE.md
2,priority_10_wave_batch,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,8,0,0,0,13,0,0,0,0,102,0,12,0,not_accepted_raw_timing_geography_unverified,blocked_raw_module_coverage_missing,0,0,0,priority direct/archive raw module coverage incomplete; manual requirement verification incomplete; manual financial concept verification incomplete; manual double-failure concept verification incomplete; manual survey-design/timing/geography concept verification incomplete; no selected raw variables manually verified; accepted CHIRPS/ERA5 route absent,temp/raw_downloads/ETH_2018_ESS_v04_M/_PRIORITY_MANUAL_VERIFICATION_DECISION_GATE.md
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,8,0,0,0,13,0,0,0,0,128,0,12,0,not_accepted_raw_timing_geography_unverified,blocked_raw_module_coverage_missing,0,0,0,priority direct/archive raw module coverage incomplete; manual requirement verification incomplete; manual financial concept verification incomplete; manual double-failure concept verification incomplete; manual survey-design/timing/geography concept verification incomplete; no selected raw variables manually verified; accepted CHIRPS/ERA5 route absent,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/_PRIORITY_MANUAL_VERIFICATION_DECISION_GATE.md
4,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,8,0,0,0,13,0,0,0,0,79,0,12,0,not_accepted_raw_timing_geography_unverified,blocked_raw_module_coverage_missing,0,0,0,priority direct/archive raw module coverage incomplete; manual requirement verification incomplete; manual financial concept verification incomplete; manual double-failure concept verification incomplete; manual survey-design/timing/geography concept verification incomplete; no selected raw variables manually verified; accepted CHIRPS/ERA5 route absent,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/_PRIORITY_MANUAL_VERIFICATION_DECISION_GATE.md
5,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,8,0,0,0,13,0,0,0,0,90,0,12,0,not_accepted_raw_timing_geography_unverified,blocked_raw_module_coverage_missing,0,0,0,priority direct/archive raw module coverage incomplete; manual requirement verification incomplete; manual financial concept verification incomplete; manual double-failure concept verification incomplete; manual survey-design/timing/geography concept verification incomplete; no selected raw variables manually verified; accepted CHIRPS/ERA5 route absent,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/_PRIORITY_MANUAL_VERIFICATION_DECISION_GATE.md
6,priority_10_wave_batch,Nigeria,"General Household Survey, Panel 2010-2011, Wave 1",2010-2011,NGA_2010_GHSP-W1_v03_M,8,0,0,0,13,0,0,0,0,67,0,12,0,not_accepted_raw_timing_geography_unverified,blocked_raw_module_coverage_missing,0,0,0,priority direct/archive raw module coverage incomplete; manual requirement verification incomplete; manual financial concept verification incomplete; manual double-failure concept verification incomplete; manual survey-design/timing/geography concept verification incomplete; no selected raw variables manually verified; accepted CHIRPS/ERA5 route absent,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/_PRIORITY_MANUAL_VERIFICATION_DECISION_GATE.md
7,priority_10_wave_batch,Tanzania,"National Panel Survey 2008-2009, Wave 1",2008-2009,TZA_2008_NPS-R1_v03_M,8,0,0,0,13,0,0,0,0,105,0,12,0,not_accepted_raw_timing_geography_unverified,blocked_raw_module_coverage_missing,0,0,0,priority direct/archive raw module coverage incomplete; manual requirement verification incomplete; manual financial concept verification incomplete; manual double-failure concept verification incomplete; manual survey-design/timing/geography concept verification incomplete; no selected raw variables manually verified; accepted CHIRPS/ERA5 route absent,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/_PRIORITY_MANUAL_VERIFICATION_DECISION_GATE.md
8,priority_10_wave_batch,Tanzania,"National Panel Survey 2010-2011, Wave 2",2010-2011,TZA_2010_NPS-R2_v03_M,8,0,0,0,13,0,0,0,0,91,0,12,0,not_accepted_raw_timing_geography_unverified,blocked_raw_module_coverage_missing,0,0,0,priority direct/archive raw module coverage incomplete; manual requirement verification incomplete; manual financial concept verification incomplete; manual double-failure concept verification incomplete; manual survey-design/timing/geography concept verification incomplete; no selected raw variables manually verified; accepted CHIRPS/ERA5 route absent,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/_PRIORITY_MANUAL_VERIFICATION_DECISION_GATE.md
9,priority_10_wave_batch,Tanzania,"National Panel Survey 2012-2013, Wave 3",2012-2013,TZA_2012_NPS-R3_v01_M,8,0,0,0,13,0,0,0,0,115,0,12,0,not_accepted_raw_timing_geography_unverified,blocked_raw_module_coverage_missing,0,0,0,priority direct/archive raw module coverage incomplete; manual requirement verification incomplete; manual financial concept verification incomplete; manual double-failure concept verification incomplete; manual survey-design/timing/geography concept verification incomplete; no selected raw variables manually verified; accepted CHIRPS/ERA5 route absent,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/_PRIORITY_MANUAL_VERIFICATION_DECISION_GATE.md
10,priority_10_wave_batch,Uganda,"Social Assistance Grants for Empowerment  Programme 2014, Endline: Impact After Two Years of Programme Operations",2014,UGA_2014_SAGE-EL_v01_M,8,0,0,0,13,0,0,0,0,96,0,12,0,not_accepted_raw_timing_geography_unverified,blocked_raw_module_coverage_missing,0,0,0,priority direct/archive raw module coverage incomplete; manual requirement verification incomplete; manual financial concept verification incomplete; manual double-failure concept verification incomplete; manual survey-design/timing/geography concept verification incomplete; no selected raw variables manually verified; accepted CHIRPS/ERA5 route absent,temp/raw_downloads/UGA_2014_SAGE-EL_v01_M/_PRIORITY_MANUAL_VERIFICATION_DECISION_GATE.md
