probe_time,acquisition_batch_rank,batch_role,country,wave,idno,catalog_id,endpoint_name,endpoint_url,endpoint_role,http_status,final_url,content_type,content_length_header,bytes_read,truncated,content_sha256_limited,endpoint_classification,raw_download_candidate,access_gate_detected,metadata_endpoint_detected,json_status,json_top_level_keys,candidate_links,evidence_snippet,next_action
2026-07-09T20:46:56+00:00,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,catalog_numeric_api,https://microdata.worldbank.org/index.php/api/catalog/6161,numeric catalog API check,400,https://microdata.worldbank.org/index.php/api/catalog/6161,application/json; charset=utf-8,46,46,0,942399b1f9db3808a467516c5fbbcc182f40963b1a1c48c3573aa74401bafa9e,http_error_not_public_endpoint,0,0,0,valid_json,status;message,,"{""status"":""failed"",""message"":""IDNO-NOT-FOUND""}",Use IDNO API or official get-microdata page; do not treat this as raw access.
2026-07-09T20:46:57+00:00,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,catalog_idno_api,https://microdata.worldbank.org/index.php/api/catalog/ETH_2021_ESPS-W5_v02_M,IDNO catalog API check,200,https://microdata.worldbank.org/index.php/api/catalog/ETH_2021_ESPS-W5_v02_M,application/json; charset=utf-8,,21790,0,cbf4417e4caf6ed3cee24bcd6e9a2849f03e8828e94e9b4d89cd8d42cd1290ae,public_metadata_endpoint_not_raw_package,0,0,0,valid_json,status;dataset,,"{""status"":""success"",""dataset"":{""id"":6161,""doi"":null,""repositoryid"":""lsms"",""type"":""survey"",""idno"":""ETH_2021_ESPS-W5_v02_M"",""title"":""Socio-Economic Panel Survey 2021-2022"",""year_start"":2021,""year_end"":2022,""nation"":""Ethiop",Use as metadata evidence only; raw package still requires credentialed download.
2026-07-09T20:46:58+00:00,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,variables_idno_api,https://microdata.worldbank.org/index.php/api/catalog/ETH_2021_ESPS-W5_v02_M/variables,IDNO variable metadata API check,200,https://microdata.worldbank.org/index.php/api/catalog/ETH_2021_ESPS-W5_v02_M/variables,application/json; charset=utf-8,,312112,0,7a039b327fe97502bb9609e567ea96a118bf1b26e6abb507c77df0003ffe4168,public_metadata_endpoint_not_raw_package,0,1,1,valid_json,total;variables,,"{""total"":2587,""variables"":[{""uid"":6792271,""sid"":6161,""fid"":""F1"",""vid"":""V1"",""name"":""household_id"",""labl"":""Unique Household Indentifier""},{""uid"":6792272,""sid"":6161,""fid"":""F1"",""vid"":""V2"",""name"":""ea_id"",""labl"":""Unique Enumer",Use as metadata evidence only; raw package still requires credentialed download.
2026-07-09T20:47:00+00:00,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,metadata_ddi_export,https://microdata.worldbank.org/metadata/export/6161/ddi,DDI/XML metadata export,200,https://microdata.worldbank.org/metadata/export/6161/ddi,application/octet-stream,4157326,524288,1,ffbc9231b4ddc890a9a21f079e65585d4806226f90ca0a5648292d9aabbacfc4,public_metadata_endpoint_not_raw_package,0,1,1,,,,"<?xml version=""1.0"" encoding=""UTF-8""?> <codeBook version=""2.5"" ID=""ETH_2021_ESPS-W5_v02_M"" xml-lang=""en"" xmlns=""ddi:codebook:2_5"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""ddi:codebook:2_5",Use as metadata evidence only; raw package still requires credentialed download.
2026-07-09T20:47:01+00:00,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,metadata_json_export,https://microdata.worldbank.org/metadata/export/6161/json,JSON metadata export,200,https://microdata.worldbank.org/metadata/export/6161/json,application/json; charset=UTF-8,,21145,0,3da43b2f41618a4f2c7a0289a2a002fc8ac3945532a56272d1fe7769c447f761,public_metadata_endpoint_not_raw_package,0,0,1,valid_json,doc_desc;study_desc;schematype;tags,,"{""doc_desc"":{""idno"":""DDI_ETH_2021_ESPS-W5_v02_M_WB"",""producers"":[{""name"":""Development Data Group"",""abbr"":""DECDG"",""affiliation"":""The World Bank"",""role"":""Documentation of the DDI""}],""prod_date"":""2024-01-15"",""version_statem",Use as metadata evidence only; raw package still requires credentialed download.
2026-07-09T20:47:02+00:00,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,numeric_get_microdata_page,https://microdata.worldbank.org/catalog/6161/get-microdata,numeric get-microdata page,200,https://microdata.worldbank.org/catalog/6161/get-microdata,text/html; charset=UTF-8,,28582,0,7d9deb1977471ba6d791f0a717ea8a7fbafb62cb61fff9075e2b6e6175258204,official_get_microdata_access_gate,0,1,0,,,https://microdata.worldbank.org/catalog/6161/get-microdata;https://microdata.worldbank.org/metadata/export/6161/ddi;https://microdata.worldbank.org/metadata/export/6161/json;https://microdata.worldbank.org/catalog/6161/data-dictionary;https://microdata.worldbank.org/auth/login?destination=catalog/6161/get-microdata,"<!DOCTYPE html> <html> <head> <meta charset=""utf-8""> <meta http-equiv=""X-UA-Compatible"" content=""IE=edge""> <meta name=""viewport"" content=""width=device-width, initial-scale=1""> <title>Ethiopia - Socio-Econom",Use official login/register/terms workflow and download complete raw package.
2026-07-09T20:47:03+00:00,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,numeric_download_page,https://microdata.worldbank.org/catalog/6161/download,numeric download route check,200,https://microdata.worldbank.org/catalog/6161/download,text/html; charset=UTF-8,0,0,0,,empty_download_route_not_raw_package,0,0,0,,,,,Use official get-microdata workflow; no public raw payload returned.
2026-07-09T20:47:04+00:00,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,idno_get_microdata_page,https://microdata.worldbank.org/catalog/ETH_2021_ESPS-W5_v02_M/get-microdata,IDNO get-microdata route check,200,https://microdata.worldbank.org/catalog/ETH_2021_ESPS-W5_v02_M/get-microdata,text/html; charset=UTF-8,,437113,0,c21778457f597471d4d0b62fb430a5bd83ec48a31975727839ccd87c3e5df390,idno_route_returns_catalog_or_search_html_not_raw_package,0,1,0,,,https://microdata.worldbank.org/catalog/ETH_2021_ESPS-W5_v02_M/get-microdata#facet-year;https://microdata.worldbank.org/catalog/ETH_2021_ESPS-W5_v02_M/get-microdata#facet-country;https://microdata.worldbank.org/catalog/ETH_2021_ESPS-W5_v02_M/get-microdata#facet-tag;https://microdata.worldbank.org/catalog/ETH_2021_ESPS-W5_v02_M/get-microdata#facet-collection;https://microdata.worldbank.org/catalog/ETH_2021_ESPS-W5_v02_M/get-microdata#facet-dtype;https://microdata.worldbank.org/catalog/8050/get-microdata;https://microdata.worldbank.org/catalog/8051/get-microdata;https://microdata.worldbank.org/catalog/8054/get-microdata;https://microdata.worldbank.org/catalog/6536/get-microdata;https://microdata.worldbank.org/catalog/8161/get-microdata;https://microdata.worldbank.org/catalog/8048/get-microdata;https://microdata.worldbank.org/catalog/8049/get-microdata,"<!DOCTYPE html> <html> <head> <meta charset=""utf-8""> <meta http-equiv=""X-UA-Compatible"" content=""IE=edge""> <meta name=""viewport"" content=""width=device-width, initial-scale=1""> <title>Data Catalog</title>",Use numeric catalog get-microdata URL for official access workflow.
2026-07-09T20:47:06+00:00,2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,catalog_numeric_api,https://microdata.worldbank.org/index.php/api/catalog/3823,numeric catalog API check,400,https://microdata.worldbank.org/index.php/api/catalog/3823,application/json; charset=utf-8,46,46,0,942399b1f9db3808a467516c5fbbcc182f40963b1a1c48c3573aa74401bafa9e,http_error_not_public_endpoint,0,0,0,valid_json,status;message,,"{""status"":""failed"",""message"":""IDNO-NOT-FOUND""}",Use IDNO API or official get-microdata page; do not treat this as raw access.
2026-07-09T20:47:07+00:00,2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,catalog_idno_api,https://microdata.worldbank.org/index.php/api/catalog/ETH_2018_ESS_v04_M,IDNO catalog API check,200,https://microdata.worldbank.org/index.php/api/catalog/ETH_2018_ESS_v04_M,application/json; charset=utf-8,,24667,0,e6013e9d135017c18c7232b6d968e6089054ea2048dfdcc005cd89f4cdc142a8,public_metadata_endpoint_not_raw_package,0,0,0,valid_json,status;dataset,,"{""status"":""success"",""dataset"":{""id"":3823,""doi"":""https:\/\/doi.org\/10.48529\/3gma-7g23"",""repositoryid"":""lsms"",""type"":""survey"",""idno"":""ETH_2018_ESS_v04_M"",""title"":""Socioeconomic Survey 2018-2019"",""year_start"":2018,""year_e",Use as metadata evidence only; raw package still requires credentialed download.
