acquisition_batch_rank,batch_role,country,wave,idno,catalog_id,fid,metadata_file_name,metadata_file_description,cases,variable_count,unit_guess,module_guess,source_url,priority_core_target,current_receipt_status,download_review_action
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F1,sect_cover_hh_w5.dta,Household Data - Cover page,4959,25,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F1?file_name=sect_cover_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F2,sect1_hh_w5.dta,Household Data - Roster,25374,63,household,demographics/roster,https://microdata.worldbank.org/catalog/6161/data-dictionary/F2?file_name=sect1_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F3,sect2_hh_w5.dta,Household Data - Education,22688,43,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F3?file_name=sect2_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F4,sect3_hh_w5.dta,Household Data - Health,22688,69,household,health,https://microdata.worldbank.org/catalog/6161/data-dictionary/F4?file_name=sect3_hh_w5.dta,1,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F5,sect3b_hh_w5.dta,Household Data - COVID-19,22688,23,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F5?file_name=sect3b_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F6,sect4_hh_w5.dta,Household Data - Labor and time use,22688,82,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F6?file_name=sect4_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F7,sect5a_hh_w5.dta,Banking and financial inclusion,22688,91,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F7?file_name=sect5a_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F8,sect5b_hh_w5.dta,Digital financial services,22688,60,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F8?file_name=sect5b_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F9,sect6a_hh_w5.dta,Household Data - Food consumption last 7 days,366966,28,household,consumption/welfare,https://microdata.worldbank.org/catalog/6161/data-dictionary/F9?file_name=sect6a_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F10,sect6b2_hh_w5.dta,Household Data - Food shared by non-household members (Filter Question),4959,13,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F10?file_name=sect6b2_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F11,sect6b3_hh_w5.dta,Household Data - Food shared by non-household members,7692,15,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F11?file_name=sect6b3_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F12,sect6b4_hh_w5.dta,Household Data - Food consumed outside home,39672,19,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F12?file_name=sect6b4_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F13,sect6c_hh_w5.dta,Household Data - Dietary quality,22688,47,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F13?file_name=sect6c_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F14,sect7a_hh_w5.dta,"Household Data - Nonfood expenditure, one month",59508,15,household,consumption/welfare,https://microdata.worldbank.org/catalog/6161/data-dictionary/F14?file_name=sect7a_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F15,sect7b_hh_w5.dta,"Household Data - Nonfood expenditure, 12 months",64467,15,household,consumption/welfare,https://microdata.worldbank.org/catalog/6161/data-dictionary/F15?file_name=sect7b_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F16,sect8_hh_w5.dta,Household Data - Food insecurity experience scale,4959,24,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F16?file_name=sect8_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F17,sect9_hh_w5.dta,Household Data - Shocks,94221,25,household,shocks,https://microdata.worldbank.org/catalog/6161/data-dictionary/F17?file_name=sect9_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F18,sect10a_hh_w5.dta,Household Data - Housing,4959,69,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F18?file_name=sect10a_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F19,sect11_hh_w5.dta,Household Data - Assets,183483,17,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F19?file_name=sect11_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F20,sect12a_hh_w5.dta,Household Data - Nonfarm enterprises participation filter question,4959,20,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F20?file_name=sect12a_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F21,sect12b1_hh_w5.dta,Household Data - Nonfarm enterprises roster,1551,68,household,demographics/roster,https://microdata.worldbank.org/catalog/6161/data-dictionary/F21?file_name=sect12b1_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F22,sect12b2_hh_w5.dta,Household Data - Nonfarm enterprises start-up barriers,3518,16,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F22?file_name=sect12b2_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F23,sect12c_hh_w5.dta,Household Data - Agriculture for All Urban EAs and rural EAs that are not part of the agriculture survey,1096,32,household,geography,https://microdata.worldbank.org/catalog/6161/data-dictionary/F23?file_name=sect12c_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F24,sect12c_q1_hh_w5.dta,Household Data - Agriculture for All Urban EAs and rural EAs that are not part of agriculture survey: filter question,2875,13,household,geography,https://microdata.worldbank.org/catalog/6161/data-dictionary/F24?file_name=sect12c_q1_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F25,sect12d_hh_w5.dta,Household Data - Livestock for All Urban EAs and rural EAs that are not part of the agriculture survey,46000,21,household,geography,https://microdata.worldbank.org/catalog/6161/data-dictionary/F25?file_name=sect12d_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,F26,sect12e_hh_w5.dta,Household Data - Perception of climate risk,49590,27,household,other,https://microdata.worldbank.org/catalog/6161/data-dictionary/F26?file_name=sect12e_hh_w5.dta,0,not_received_no_original_raw_package,"After credentialed download, verify this metadata file has a corresponding raw file or documented reason for absence."
