acquisition_batch_rank,batch_role,country,wave,idno,candidate_variable_rows,ddi_variable_match_rows,ddi_file_match_rows,ddi_name_only_match_rows,ddi_no_match_rows,variables_with_categories,category_rows_extracted,variables_with_valid_counts,variables_with_invalid_counts,variables_with_range_units,ddi_resource_path,ddi_resource_sha256,official_metadata_evidence_status,raw_value_verification_status,handoff_readme
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,107,107,107,0,0,75,505,107,75,107,temp/source_snapshots/priority_public_documentation/1_ETH_2021_ESPS-W5_v02_M/ddi_metadata.xml,422c7047b9015197ed6d714166075d1d3573c52d111fd4c9638845f73cd6ebda,complete_official_metadata_evidence_extract,not_raw_value_verified,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/_PRIORITY_OFFICIAL_METADATA_EVIDENCE.md
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,102,102,102,0,0,73,486,102,68,102,temp/source_snapshots/priority_public_documentation/2_ETH_2018_ESS_v04_M/ddi_metadata.xml,10cf6ee15f74da87de274b162acd1795d08feda49910a8f7b16e49bcd0760f5e,complete_official_metadata_evidence_extract,not_raw_value_verified,temp/raw_downloads/ETH_2018_ESS_v04_M/_PRIORITY_OFFICIAL_METADATA_EVIDENCE.md
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,128,126,126,0,2,86,527,125,59,0,temp/source_snapshots/priority_public_documentation/3_MWI_2007-2009_MTM_v01_M/ddi_metadata.xml,6e3d135b6c82e6c48f5d182f1a14a8178fcab2cf19083c49283cc73f104e211a,partial_official_metadata_evidence_extract,not_raw_value_verified,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/_PRIORITY_OFFICIAL_METADATA_EVIDENCE.md
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,79,78,78,0,1,42,304,78,59,0,temp/source_snapshots/priority_public_documentation/4_NGA_2012_GHSP-W2_v02_M/ddi_metadata.xml,8839a1be944337cbf2b91cdc05e5d6128b3a7a58e91a9165c71e3bcfd678c406,partial_official_metadata_evidence_extract,not_raw_value_verified,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/_PRIORITY_OFFICIAL_METADATA_EVIDENCE.md
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,90,89,89,0,1,52,336,87,53,0,temp/source_snapshots/priority_public_documentation/5_NGA_2015_GHSP-W3_v02_M/ddi_metadata.xml,9a0d995646ee5cf033e4216804f316642a4cca3c67ef1a3fac206396f58b2c14,partial_official_metadata_evidence_extract,not_raw_value_verified,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/_PRIORITY_OFFICIAL_METADATA_EVIDENCE.md
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,67,66,66,0,1,34,241,65,38,0,temp/source_snapshots/priority_public_documentation/6_NGA_2010_GHSP-W1_v03_M/ddi_metadata.xml,6efd964239d36b6f42e3c8a2fd45b4071fbbebcf40d51893d503c85cb7500c94,partial_official_metadata_evidence_extract,not_raw_value_verified,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/_PRIORITY_OFFICIAL_METADATA_EVIDENCE.md
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,105,104,104,0,1,49,317,103,71,0,temp/source_snapshots/priority_public_documentation/7_TZA_2008_NPS-R1_v03_M/ddi_metadata.xml,43ff0821e61828acf619ed69677b9d0444f6c31de80fd9bf575ca13edfd908e9,partial_official_metadata_evidence_extract,not_raw_value_verified,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/_PRIORITY_OFFICIAL_METADATA_EVIDENCE.md
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,91,90,90,0,1,52,345,83,60,0,temp/source_snapshots/priority_public_documentation/8_TZA_2010_NPS-R2_v03_M/ddi_metadata.xml,4ab4c260a7ddd6fceb3edba4c13c8f39143304c5ce1a99b9dc4fc0ebcca4cda0,partial_official_metadata_evidence_extract,not_raw_value_verified,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/_PRIORITY_OFFICIAL_METADATA_EVIDENCE.md
9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,115,115,115,0,0,71,359,115,115,54,temp/source_snapshots/priority_public_documentation/9_TZA_2012_NPS-R3_v01_M/ddi_metadata.xml,3667795e3719f2e8374669d7be7b5cee752034fcb4d7acc8860c2fdafba1f99d,complete_official_metadata_evidence_extract,not_raw_value_verified,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/_PRIORITY_OFFICIAL_METADATA_EVIDENCE.md
10,priority_10_wave_batch,Uganda,2014,UGA_2014_SAGE-EL_v01_M,96,93,93,0,3,68,404,93,92,27,temp/source_snapshots/priority_public_documentation/10_UGA_2014_SAGE-EL_v01_M/ddi_metadata.xml,333acd7df859de45f0dde7c5f8f6c6d18d1d4a627d0567f1a79a8a47cf339ff7,partial_official_metadata_evidence_extract,not_raw_value_verified,temp/raw_downloads/UGA_2014_SAGE-EL_v01_M/_PRIORITY_OFFICIAL_METADATA_EVIDENCE.md
11,sixth_country_backup_candidate,Jamaica,1997,JAM_1997_SLC_v01_M,66,65,65,0,1,39,237,65,65,59,temp/source_snapshots/priority_public_documentation/11_JAM_1997_SLC_v01_M/ddi_metadata.xml,59a43e2505408efaf51996807072803e70245e66939501bdd7ec37fbb4e45b03,partial_official_metadata_evidence_extract,not_raw_value_verified,temp/raw_downloads/JAM_1997_SLC_v01_M/_PRIORITY_OFFICIAL_METADATA_EVIDENCE.md
12,sixth_country_backup_candidate,Kyrgyz Republic,1993,KGZ_1993_KMPS_v01_M,62,59,59,0,3,26,127,59,36,0,temp/source_snapshots/priority_public_documentation/12_KGZ_1993_KMPS_v01_M/ddi_metadata.xml,cd7f86a58a58c92075fdbffa4ec0447b6b3c4a41550b7b3736752111e3dc1e48,partial_official_metadata_evidence_extract,not_raw_value_verified,temp/raw_downloads/KGZ_1993_KMPS_v01_M/_PRIORITY_OFFICIAL_METADATA_EVIDENCE.md
13,sixth_country_backup_candidate,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,106,104,104,0,2,50,324,104,43,0,temp/source_snapshots/priority_public_documentation/13_NPL_2010_LSS-III_v01_M/ddi_metadata.xml,59829381bc1045bdea83c02b41f15d95dba165fa07e6a05be1997dd3d78a9ec8,partial_official_metadata_evidence_extract,not_raw_value_verified,temp/raw_downloads/NPL_2010_LSS-III_v01_M/_PRIORITY_OFFICIAL_METADATA_EVIDENCE.md
