acquisition_batch_rank,batch_role,country,wave,idno,file_rank,file_name,local_target_folder,candidate_categories,candidate_harmonized_variables,download_priority_reason,expected_file_status,present_matching_files,current_file_gate_status,verification_action
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,sect8_3_ls_w5.dta,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,geography;health_expenditure;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;care_sought;hhid;household_weight_or_person_weight;oop_health_expenditure;psu_or_cluster_id;rural;shock_module_variable;strata,OOP spending; need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,sect11_ph_w5.dta,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;reason_not_sought_distance;rural,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,3,sect3_pp_w5.dta,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;household_weight_or_person_weight;latitude_or_longitude;psu_or_cluster_id;reason_not_sought_distance;rural,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,4,sect06_com_w5.dta,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;psu_or_cluster_id;reason_not_sought_distance;rural;shock_module_variable,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,5,sect04_com_w5.dta,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;asset_index_or_asset_variable;care_sought;psu_or_cluster_id;reason_not_sought_distance;rural;sex;shock_module_variable,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6,sect4_pp_w5.dta,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural;shock_module_variable,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,7,sect9_ph_w5.dta,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural;shock_module_variable,climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,8,sect8_2_ls_w5.dta,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,consumption;geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;reason_not_sought_distance;rural;total_consumption_or_income,financial denominator; need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,9,sect3_hh_w5.dta,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,demographics;geography;health_expenditure;health_need_access;survey_design,admin1_or_admin2;age;care_not_sought_reason;care_sought;health_insurance;hhid;household_weight_or_person_weight;illness_or_injury_need;oop_health_expenditure;pid;psu_or_cluster_id;reason_not_sought_distance;rural,OOP spending; need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,10,sect7_pp_w5.dta,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;care_not_sought_reason;coping_borrowed;education;household_weight_or_person_weight;psu_or_cluster_id,need/access; climate geography; weights/design/keys,not_present,,blocked_missing_raw_file,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
