outcome,cutoff,bandwidth,donut,n,coef,se,p,mean_below,mean_above,design
delta_weekend_rn_lt8_day_share,155,5,0.0,784,0.06139274639196189,0.048193156615614324,0.20308209648739606,-0.010276780462478274,-0.00047207881281955647,RD_DID
delta_zero_rn_day_share,155,5,0.0,784,0.00798247021091572,0.034392702623930786,0.8165229424920242,0.0004256861771530044,0.00045290833696630823,RD_DID
delta_weekend_p10_total_hprd,155,5,0.0,784,-0.011395562397841345,0.134918163657966,0.9327101718909205,-0.015989027712500176,-0.010775490364271986,RD_DID
delta_avg_daily_census,155,5,0.0,784,0.08342386564572302,4.412662735012437,0.9849212779415204,8.061605863824532,7.303707793459001,RD_DID
delta_weekend_rn_lt8_day_share,155,10,0.0,1307,0.019673427912247434,0.018355410805736674,0.28400593308899125,-0.007341828864570301,-0.0030038232732533293,RD_DID
delta_zero_rn_day_share,155,10,0.0,1307,0.0010025199678466183,0.010071491318228242,0.9207245484624789,-0.0005587050540321567,0.001631601218360624,RD_DID
delta_weekend_p10_total_hprd,155,10,0.0,1307,-0.016633485044589558,0.053691939759511295,0.7567665241280288,-0.01338805981050066,-0.01592291055701904,RD_DID
delta_avg_daily_census,155,10,0.0,1307,-0.7851099655876115,1.8576223522677127,0.6726259225713829,8.141701754285865,7.037765235169493,RD_DID
delta_weekend_rn_lt8_day_share,155,15,0.0,1867,0.007632034199278981,0.013890796158966035,0.5827755468122251,-0.00911414246908844,-0.0045110049980159545,RD_DID
delta_zero_rn_day_share,155,15,0.0,1867,0.00023351535915488127,0.006745724816811744,0.9723890190868731,-0.000872722195502202,0.0013228068605696688,RD_DID
delta_weekend_p10_total_hprd,155,15,0.0,1867,0.024305757436408615,0.040334016856619935,0.5468402617877728,0.0024146513138055092,-0.015292080928281111,RD_DID
delta_avg_daily_census,155,15,0.0,1867,-1.106717650002181,1.4192511841008402,0.4356136406662914,8.205424759125966,7.281735445041528,RD_DID
delta_weekend_rn_lt8_day_share,155,20,0.0,2421,0.002631038368937073,0.011618806899736633,0.8208732992758647,-0.010862243721389676,-0.003788916860916864,RD_DID
delta_zero_rn_day_share,155,20,0.0,2421,0.0001884222692360634,0.005228795580009229,0.9712570272152723,-0.0013124147930657197,0.001447544243196417,RD_DID
delta_weekend_p10_total_hprd,155,20,0.0,2421,0.012158464026311435,0.03440364945759373,0.7238147373332653,0.006933817640457289,-0.016840999278109423,RD_DID
delta_avg_daily_census,155,20,0.0,2421,-0.7052646557128284,1.20054177190662,0.5569528207294607,8.372213775373535,7.21073335460031,RD_DID
delta_weekend_rn_lt8_day_share,155,30,0.0,3522,0.007069738366682953,0.00921633664214523,0.4430808565614983,-0.011273969846935551,-0.0057117966451299814,RD_DID
delta_zero_rn_day_share,155,30,0.0,3522,0.002673987803720777,0.0037939649176514474,0.48098114643857204,-0.0006079202498166859,0.0013467428250036944,RD_DID
delta_weekend_p10_total_hprd,155,30,0.0,3522,0.01147998597744874,0.028093144100136674,0.6828286503382435,0.011619411802671778,-0.027447993295820042,RD_DID
delta_avg_daily_census,155,30,0.0,3522,-1.528245390185061,0.9401869736830625,0.10415209763446942,8.023888131229802,7.332659671377064,RD_DID
delta_weekend_rn_lt8_day_share,205,5,0.0,893,0.018898011612365144,0.03761175660892428,0.6154757385134557,-0.003945597612264282,0.0002677314253496369,RD_DID
delta_zero_rn_day_share,205,5,0.0,893,0.00853473869166108,0.016015169116814717,0.5942249643550561,6.237641195783286e-05,-0.00010073926372563436,RD_DID
delta_weekend_p10_total_hprd,205,5,0.0,893,-0.049493107857493654,0.12803672786838555,0.6991789288363996,-0.06156068177013724,-0.09163746736090861,RD_DID
delta_avg_daily_census,205,5,0.0,893,-1.9538561434298625,2.631558574667894,0.4579980947618636,7.372243118637595,7.057857944508177,RD_DID
delta_weekend_rn_lt8_day_share,205,10,0.0,1549,0.00656621480917555,0.014611611988138496,0.6532181884880022,-0.005004547949502081,0.0027107524656872868,RD_DID
delta_zero_rn_day_share,205,10,0.0,1549,0.002012238634191596,0.00642672244697075,0.7542431858983027,0.0004560402762104669,0.0007302611475552938,RD_DID
delta_weekend_p10_total_hprd,205,10,0.0,1549,-0.028531504064877873,0.05659651670908507,0.6142480874715228,-0.06424085571757067,-0.0806316025091468,RD_DID
delta_avg_daily_census,205,10,0.0,1549,-1.2296798379090332,1.4898978188797989,0.40930312023507565,7.420458728786911,6.651175167854302,RD_DID
delta_weekend_rn_lt8_day_share,205,15,0.0,2230,0.007998136323214031,0.01070977029332612,0.45525866247377156,-0.0038899131527530342,0.0034828134728431123,RD_DID
delta_zero_rn_day_share,205,15,0.0,2230,-0.0013502684653944822,0.004701489759005835,0.7739858190626618,-0.0004884452176365133,0.0013592559733292923,RD_DID
delta_weekend_p10_total_hprd,205,15,0.0,2230,-0.003758479802798317,0.04280180544615567,0.9300345989308085,-0.05690825493435512,-0.0850784825413222,RD_DID
delta_avg_daily_census,205,15,0.0,2230,-1.0476767963148268,1.1502623390961115,0.36249119763633963,7.334759215572518,6.668566612295041,RD_DID
delta_weekend_rn_lt8_day_share,205,20,0.0,2765,0.006679372889686,0.00865038425264133,0.44009313582767295,-0.004893146438746441,0.0022714638985266026,RD_DID
delta_zero_rn_day_share,205,20,0.0,2765,0.00077112606913737,0.0036472084842300843,0.8325680424909347,-0.0003223817309904265,0.00074140193389727,RD_DID
delta_weekend_p10_total_hprd,205,20,0.0,2765,-0.021784046179620542,0.03560416165887792,0.5406940750173688,-0.05975477105649086,-0.0818747973967837,RD_DID
delta_avg_daily_census,205,20,0.0,2765,-0.47556144956100144,0.9996733439389224,0.6343137535211769,7.522483395374351,6.672222261614068,RD_DID
delta_weekend_rn_lt8_day_share,205,30,0.0,3975,0.004477719843125393,0.0071069265970895995,0.5286980543958117,-0.006533542915152112,0.0030622282201229548,RD_DID
delta_zero_rn_day_share,205,30,0.0,3975,0.0016198237691780692,0.002916436198382465,0.5786441480010622,0.00023234520149524205,0.0016079420833425408,RD_DID
delta_weekend_p10_total_hprd,205,30,0.0,3975,0.0036799672694836074,0.028626326938961905,0.8977187785781551,-0.04858401929619191,-0.09187498271921063,RD_DID
delta_avg_daily_census,205,30,0.0,3975,-0.7705492291965677,0.8026751409426851,0.3371255153422954,7.37439778715883,6.5244850533397445,RD_DID
delta_weekend_rn_lt8_day_share,255,5,0.0,783,0.25963079346064066,0.08131714473337448,0.0014655229423621297,-0.004260016510561173,0.0029912300087003084,RD_DID
delta_zero_rn_day_share,255,5,0.0,783,0.06966491117390511,0.03273848407070834,0.033657007648903114,0.0005658524403196188,0.004677238308402286,RD_DID
delta_weekend_p10_total_hprd,255,5,0.0,783,-0.4563809115899217,0.24440830919003464,0.06223662879282288,-0.1054139665142488,-0.13809500370173836,RD_DID
delta_avg_daily_census,255,5,0.0,783,8.354135515019,3.7532995605904156,0.026312272932497383,4.870000244761184,5.525654628955378,RD_DID
delta_weekend_rn_lt8_day_share,255,10,0.0,1271,0.02597263205522788,0.015332428668206796,0.09051728321477359,-0.0012379275909048784,0.0032968350500401757,RD_DID
delta_zero_rn_day_share,255,10,0.0,1271,0.010394424537755055,0.005962935034029698,0.08154605991600627,0.0010024970936573145,0.003455714264810061,RD_DID
delta_weekend_p10_total_hprd,255,10,0.0,1271,-0.061834224574780744,0.06036809949751637,0.3058955299304149,-0.10822820414872632,-0.12492128646046816,RD_DID
delta_avg_daily_census,255,10,0.0,1271,2.5097660031400695,1.5169145726315227,0.09826951694759933,5.413687962297337,5.511403881289961,RD_DID
delta_weekend_rn_lt8_day_share,255,15,0.0,1840,0.009278991493085783,0.01119805194322504,0.40742405337223,-0.0028428901220229155,0.004912688781602639,RD_DID
delta_zero_rn_day_share,255,15,0.0,1840,0.006677731600590165,0.004607452319380401,0.14741545360343222,0.0008756076412492111,0.003260479230191004,RD_DID
delta_weekend_p10_total_hprd,255,15,0.0,1840,-0.02500930379967415,0.0457345702983949,0.584557945958827,-0.0977419217098803,-0.13950415249957115,RD_DID
delta_avg_daily_census,255,15,0.0,1840,1.945055832634571,1.179673758469491,0.09935800418133689,5.65977943565241,5.7641827795772596,RD_DID
delta_weekend_rn_lt8_day_share,255,20,0.0,2414,0.014377706993341942,0.00884648683601024,0.10424115578843529,-8.006629693376814e-05,0.00396452323954986,RD_DID
delta_zero_rn_day_share,255,20,0.0,2414,0.005698291809057004,0.0035817479099460574,0.11175763999756327,0.0017960491965206475,0.0035909386481514554,RD_DID
delta_weekend_p10_total_hprd,255,20,0.0,2414,-0.0512852170811713,0.03793902954448869,0.17657259328190267,-0.10589373869154159,-0.135579632995692,RD_DID
delta_avg_daily_census,255,20,0.0,2414,1.0556154009789933,0.972108272744513,0.27763046245400913,5.816841711562955,5.944144579340007,RD_DID
delta_weekend_rn_lt8_day_share,255,30,0.0,3468,0.009316503429709168,0.006796925922973613,0.17055927157666684,-0.00031086825425724065,0.0012696167260003175,RD_DID
delta_zero_rn_day_share,255,30,0.0,3468,0.004880501882413405,0.002926123793723061,0.09542460621608617,0.0020224828579437975,0.0020728865627516815,RD_DID
delta_weekend_p10_total_hprd,255,30,0.0,3468,-0.04415481396131825,0.030784184813037286,0.15156713595149496,-0.10326048368540013,-0.128142058058451,RD_DID
delta_avg_daily_census,255,30,0.0,3468,0.7216471347721092,0.7975938241700439,0.36564474117218104,5.894321300945102,5.76456561201701,RD_DID
