outcome,group,n,sample_definition,treated_n,control_n,diff,se,p,quarter,sample
dy,formula_induced_overall_star_loss,13947,quarterly event-study change relative to 2022Q2,1487,12460,3.11570148782568,0.508302320032813,9.046161597581204e-10,2019Q1,raw
dy,formula_induced_overall_star_loss,2586,quarterly event-study change relative to 2022Q2,1487,1099,1.8757531122057038,0.707513730598495,0.008069851918509396,2019Q1,matched
dy,formula_induced_overall_star_loss,13962,quarterly event-study change relative to 2022Q2,1481,12481,2.930295097438444,0.4919494822851194,2.638997909087948e-09,2019Q2,raw
dy,formula_induced_overall_star_loss,2570,quarterly event-study change relative to 2022Q2,1481,1089,1.8874643045657713,0.6895422242492615,0.006237803133586128,2019Q2,matched
dy,formula_induced_overall_star_loss,13984,quarterly event-study change relative to 2022Q2,1493,12491,2.984723614848031,0.4749462019266255,3.3901459417506885e-10,2019Q3,raw
dy,formula_induced_overall_star_loss,2591,quarterly event-study change relative to 2022Q2,1493,1098,2.0649022595015865,0.6669896611527989,0.001983475513199995,2019Q3,matched
dy,formula_induced_overall_star_loss,14029,quarterly event-study change relative to 2022Q2,1494,12535,2.880413451877228,0.4587591096688914,3.5146108245953656e-10,2019Q4,raw
dy,formula_induced_overall_star_loss,2602,quarterly event-study change relative to 2022Q2,1494,1108,2.080426451410583,0.647852621804745,0.0013376410053018706,2019Q4,matched
dy,formula_induced_overall_star_loss,11343,quarterly event-study change relative to 2022Q2,1240,10103,2.9757720110651853,0.5036194922654944,3.545761906309508e-09,2020Q1,raw
dy,formula_induced_overall_star_loss,2123,quarterly event-study change relative to 2022Q2,1240,883,2.181148735639475,0.6728912031555242,0.001207624471784463,2020Q1,matched
dy,formula_induced_overall_star_loss,13930,quarterly event-study change relative to 2022Q2,1483,12447,1.2872730036347197,0.4376858192976199,0.0032759854485528983,2020Q2,raw
dy,formula_induced_overall_star_loss,2581,quarterly event-study change relative to 2022Q2,1483,1098,0.33705179042499256,0.618060245064869,0.5855681736645537,2020Q2,matched
dy,formula_induced_overall_star_loss,13985,quarterly event-study change relative to 2022Q2,1493,12492,1.3656805489028225,0.407673822439752,0.0008104449178862883,2020Q3,raw
dy,formula_induced_overall_star_loss,2593,quarterly event-study change relative to 2022Q2,1493,1100,0.3357511530957171,0.5817204186603474,0.5638752539167178,2020Q3,matched
dy,formula_induced_overall_star_loss,13903,quarterly event-study change relative to 2022Q2,1486,12417,1.2288526443538683,0.35488400576751067,0.0005364171223583014,2020Q4,raw
dy,formula_induced_overall_star_loss,2590,quarterly event-study change relative to 2022Q2,1486,1104,0.3585590178850251,0.51321400913876,0.48483106637476725,2020Q4,matched
dy,formula_induced_overall_star_loss,14101,quarterly event-study change relative to 2022Q2,1503,12598,1.0612424932519922,0.3099184995979105,0.0006182234453218083,2021Q1,raw
