outcome,cutoff,bandwidth,donut,n,coef,se,p,mean_below,mean_above,diagnostic,sample_definition
ownership_for_profit,155,20,0,2385,0.016844474833262176,0.030295569093585023,0.5782599742258268,0.8621340887629839,0.8386123680241327,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
certified_beds,155,20,0,2385,6.2198701439514865,4.719544010454071,0.18766510585275942,121.29839471199244,115.55957767722474,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
avg_residents_per_day,155,20,0,2385,2.6611492346557513,4.034485172458761,0.509573898632518,89.19660056657224,85.56621417797889,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
health_inspection_rating,155,20,0,2367,0.0372904532726027,0.10258407301703476,0.7162556104832887,2.520952380952381,2.5990888382687927,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
qm_rating,155,20,0,2364,-0.014353569691144092,0.1066943545381227,0.8929951234468214,3.530534351145038,3.6314589665653494,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
rating_cycle_1_total_health_deficiencies,155,20,0,2380,0.10868983700871815,0.6784168984046327,0.8727284980221519,9.0,9.003776435045317,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
pre_weekend_rn_lt8_day_share,155,20,0,2380,-0.006418583662478918,0.010617959982224258,0.5455673070712335,0.06602867906185442,0.06172714078374456,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
pre_zero_rn_day_share,155,20,0,2380,0.0005217205304692891,0.0030850304156474686,0.8657217008377935,0.010989397610044633,0.010258268635627127,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
pre_weekend_p10_total_hprd,155,20,0,2380,-0.014848345088408132,0.03854985035865292,0.700144038194275,2.5916675550283395,2.6848136291265208,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
pre_avg_daily_census,155,20,0,2380,2.7021288753642283,3.812377932858211,0.47853190517238375,84.9042820795448,82.03353312111884,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
ownership_for_profit,205,20,0,2742,-0.013005745943879122,0.03151457825190134,0.6798661890590014,0.8198859005704972,0.7828382838283828,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
certified_beds,205,20,0,2742,-4.441496766538801,5.4102025372625375,0.41174716748225615,117.86226568867156,109.1947194719472,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
avg_residents_per_day,205,20,0,2742,-1.8898246786361614,4.257713462811801,0.6571795622647865,87.08883455582722,79.23597359735973,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
health_inspection_rating,205,20,0,2727,-0.16858396831319244,0.0990078656243404,0.08873215679739577,2.724590163934426,2.7073656270736564,covariate_balance,"covariate balance around V3 reconstructed staffing score cutoff, bandwidth 20"
