date,type,theme,url,local_path,size_reported,bytes,sha256
2019-01-17,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2019-01-17.zip,temp\raw_downloads\provider_archives\nursing_homes_2019-01-17.zip,34227127,34227127,0d0aa86b208fa9a61f50f7af4589f67de0ec08f9e410cb6c1a1f75ebf7a0000b
2019-04-09,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2019-04-09.zip,temp\raw_downloads\provider_archives\nursing_homes_2019-04-09.zip,33667039,33667039,fd5b106fb4d6f13a2c71669029d408d4011d71c8d1598a09ebbe6e70616f264d
2019-07-09,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2019-07-09.zip,temp\raw_downloads\provider_archives\nursing_homes_2019-07-09.zip,34097081,34097081,9156e76ad27c2acfa2e11bd6e63ce296d8a7ad1c8d065e236e1f3440e9da51fe
2019-10-09,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2019-10-09.zip,temp\raw_downloads\provider_archives\nursing_homes_2019-10-09.zip,31131701,31131701,d40d3723f5f25ef10376c8934123a8dfcf416334ab140d745575fec4bd469ba1
2020-01-09,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2020-01-09.zip,temp\raw_downloads\provider_archives\nursing_homes_2020-01-09.zip,34746850,34746850,97329aa32f61b3caa0e56307ca988dc66fef8a2daf360a5fa5ba2eaae7a9499d
2020-04-09,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2020-04-09.zip,temp\raw_downloads\provider_archives\nursing_homes_2020-04-09.zip,34337988,34337988,cb11e012d6ce70ea513b22fae070ab044a86a6c3dfa8bb206ed18ef97a9e3b44
2020-07-09,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2020-07-09.zip,temp\raw_downloads\provider_archives\nursing_homes_2020-07-09.zip,34341953,34341953,be728f08115fda25c2ac26fb14ba70655aa2ff92d27ff31c37e94d27574b7622
2020-10-09,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2020-10-09.zip,temp\raw_downloads\provider_archives\nursing_homes_2020-10-09.zip,35099069,35099069,6f64665ca0f513f44ae8c25ff7715709cb554309958bc9d97e5938c14553c5dd
2021-01-27,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2021-01-27.zip,temp\raw_downloads\provider_archives\nursing_homes_2021-01-27.zip,36274160,36274160,4dafe8afea8a3bcd8adc596081e577e9aa7dd1db5618888ecc664f0e3cce9f78
2021-04-27,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2021-04-27.zip,temp\raw_downloads\provider_archives\nursing_homes_2021-04-27.zip,35942255,35942255,1297f6a339c88a59720698b1f06ccf1a9c7a1fabfb2a001a3b5fd46cd80ad680
2021-07-27,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2021-07-27.zip,temp\raw_downloads\provider_archives\nursing_homes_2021-07-27.zip,36592865,36592865,5b663bd636786a39b5b0420d21571fb1c00c0907c74fa4e797514d0bf3ae6623
2021-10-27,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2021-10-27.zip,temp\raw_downloads\provider_archives\nursing_homes_2021-10-27.zip,36550837,36550837,b68e0c57ace84433acee57487cf1e9a607811bc1e6708f366d4af363688ff6f2
2022-01-27,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2022-01-27.zip,temp\raw_downloads\provider_archives\nursing_homes_2022-01-27.zip,40861897,40861897,cf0dff01c3efe95486002cc6002e0b55b30a9ed8b5b2c4041d7a977a06a96e12
2022-04-27,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2022-04-27.zip,temp\raw_downloads\provider_archives\nursing_homes_2022-04-27.zip,40689529,40689529,c26ae16f638da41c3a7a8e14de0147ca9aab9ff0fcccf7a8526c69351307776c
2022-07-27,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2022-07-27.zip,temp\raw_downloads\provider_archives\nursing_homes_2022-07-27.zip,41847068,41847068,d3a71dabbc0ab488c97de96c751dcc33869b83da3d82f5b1c50bfc51aeb70dd5
2022-10-27,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2022-10-27.zip,temp\raw_downloads\provider_archives\nursing_homes_2022-10-27.zip,42226542,42226542,63d3a990fff74871b9fdf146039980a4f5967634a2671b1258b2e3f32cd81087
2023-01-02,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2023-01-02.zip,temp\raw_downloads\provider_archives\nursing_homes_2023-01-02.zip,38552816,38552816,bd93cf9eabefba39ce14de907fffc881e29d5870afbf9eef8b5a25bfd111013d
2023-04-26,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2023-04-26.zip,temp\raw_downloads\provider_archives\nursing_homes_2023-04-26.zip,38909300,38909300,eb1d2206960a9dd4657e10921b8ac30e6e11c8e55db71ac00ff4a73424982a22
2023-07-25,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2023-07-25.zip,temp\raw_downloads\provider_archives\nursing_homes_2023-07-25.zip,38647101,38647101,27bd52ab037ed406ef99fb553132b47d0ed6699e74c974d5d630f9f3f5904fc1
2023-10-02,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2023-10-02.zip,temp\raw_downloads\provider_archives\nursing_homes_2023-10-02.zip,38919561,38919561,ef30001310637fcf5587302cb3ccf9b50de0bad586e6fda5b772d3ba9aec9626
2024-01-31,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2024-01-31.zip,temp\raw_downloads\provider_archives\nursing_homes_2024-01-31.zip,38171667,38171667,a71146f88e9e76919d6851dd7fd5dc014145e4316f06c5ac2c3d115783fbf5e7
2024-04-25,theme,nursing-homes,https://data.cms.gov/provider-data/sites/default/files/dataset-archives/theme/nursing-homes/nursing-homes_2024-04-25.zip,temp\raw_downloads\provider_archives\nursing_homes_2024-04-25.zip,37879513,37879513,e0f195ab10099293f4839b213c77f5cf7f3ca5817d602177454a4e4e13fb2df5
