variable_name,status,dtype_2024,dtype_2025,dtype_changed,label_2024,label_2025,label_changed
A2PENTYP,common,integer,integer,False,Status Flag for R2PENTYP,Status Flag for R2PENTYP,False
AAF1,common,integer,integer,False,Status Flag for EAF1,Status Flag for EAF1,False
AAF2,common,integer,integer,False,Status Flag for EAF2,Status Flag for EAF2,False
AAF3,common,integer,integer,False,Status Flag for EAF3,Status Flag for EAF3,False
AAF4,common,integer,integer,False,Status Flag for EAF4,Status Flag for EAF4,False
AAF5,common,integer,integer,False,Status Flag for EAF5,Status Flag for EAF5,False
AAF6,common,integer,integer,False,Status Flag for EAF6,Status Flag for EAF6,False
AAF7,common,integer,integer,False,Status Flag for EAF7,Status Flag for EAF7,False
AAF8,common,integer,integer,False,Status Flag for EAF8,Status Flag for EAF8,False
AAFEVER,common,integer,integer,False,Status Flag for RAFEVER,Status Flag for RAFEVER,False
AAFNOW,common,integer,integer,False,Status Flag for EAFNOW,Status Flag for EAFNOW,False
AAF_HHLD,common,integer,integer,False,Status Flag for EAF_HHLD,Status Flag for EAF_HHLD,False
AAGE,common,integer,integer,False,Status Flag for TAGE,Status Flag for TAGE,False
AAGE_FB,common,integer,integer,False,Status Flag for TAGE_FB,Status Flag for TAGE_FB,False
AALIAMT,common,integer,integer,False,Status Flag for TALIAMT,Status Flag for TALIAMT,False
AALIANY,common,integer,integer,False,Status Flag for EALIANY,Status Flag for EALIANY,False
AALIMNYN,common,integer,integer,False,Status Flag for EALIMNYN,Status Flag for EALIMNYN,False
AALI_CFLG,common,integer,integer,False,Status Flag for TALI_CFLG,Status Flag for TALI_CFLG,False
AALLTH,common,integer,integer,False,Status Flag for EALLTH,Status Flag for EALLTH,False
AAMBULAT,common,integer,integer,False,Status Flag for EAMBULAT,Status Flag for EAMBULAT,False
AAMOUNTPAID,common,integer,integer,False,Status Flag for TAMOUNTPAID,Status Flag for TAMOUNTPAID,False
AANNINC,common,integer,integer,False,Status Flag for TANNINC,Status Flag for TANNINC,False
AANNVAL,common,integer,integer,False,Status Flag for TANNVAL,Status Flag for TANNVAL,False
AANYKID,common,integer,integer,False,Status Flag for EANYKID,Status Flag for EANYKID,False
AASTRECUSE,common,integer,integer,False,Status Flag for EASTRECUSE,Status Flag for EASTRECUSE,False
AAWBCRACK,common,integer,integer,False,Status Flag for EAWBCRACK,Status Flag for EAWBCRACK,False
AAWBGAS,common,integer,integer,False,Status Flag for EAWBGAS,Status Flag for EAWBGAS,False
AAWBHOLES,common,integer,integer,False,Status Flag for EAWBHOLES,Status Flag for EAWBHOLES,False
AAWBMORT,common,integer,integer,False,Status Flag for EAWBMORT,Status Flag for EAWBMORT,False
AAWBPESTS,common,integer,integer,False,Status Flag for EAWBPESTS,Status Flag for EAWBPESTS,False
AAWBPLUMB,common,integer,integer,False,Status Flag for EAWBPLUMB,Status Flag for EAWBPLUMB,False
AAWBSAFE,common,integer,integer,False,Status Flag for EAWBSAFE,Status Flag for EAWBSAFE,False
AAWBSTAY,common,integer,integer,False,Status Flag for EAWBSTAY,Status Flag for EAWBSTAY,False
AAWBTRAFF,common,integer,integer,False,Status Flag for EAWBTRAFF,Status Flag for EAWBTRAFF,False
AAWBTRASH,common,integer,integer,False,Status Flag for EAWBTRASH,Status Flag for EAWBTRASH,False
ABDAD,common,integer,integer,False,Status Flag for EBDAD,Status Flag for EBDAD,False
ABDADDODLT19,common,integer,integer,False,Status Flag for EBDADDODLT19,Status Flag for EBDADDODLT19,False
ABDADDODRAGE,common,integer,integer,False,Status Flag for TBDADDODRAGE,Status Flag for TBDADDODRAGE,False
ABIODADNAT,common,integer,integer,False,Status Flag for TBIODADNAT,Status Flag for TBIODADNAT,False
ABIODADUS,common,integer,integer,False,Status Flag for EBIODADUS,Status Flag for EBIODADUS,False
ABIOMOMNAT,common,integer,integer,False,Status Flag for TBIOMOMNAT,Status Flag for TBIOMOMNAT,False
ABIOMOMUS,common,integer,integer,False,Status Flag for EBIOMOMUS,Status Flag for EBIOMOMUS,False
ABIRTHRSN1,common,integer,integer,False,Status Flag for EBIRTHRSN1,Status Flag for EBIRTHRSN1,False
ABIRTHRSN10,common,integer,integer,False,Status Flag for EBIRTHRSN10,Status Flag for EBIRTHRSN10,False
ABIRTHRSN2,common,integer,integer,False,Status Flag for EBIRTHRSN2,Status Flag for EBIRTHRSN2,False
ABIRTHRSN3,common,integer,integer,False,Status Flag for EBIRTHRSN3,Status Flag for EBIRTHRSN3,False
ABIRTHRSN4,common,integer,integer,False,Status Flag for EBIRTHRSN4,Status Flag for EBIRTHRSN4,False
ABIRTHRSN5,common,integer,integer,False,Status Flag for EBIRTHRSN5,Status Flag for EBIRTHRSN5,False
ABIRTHRSN6,common,integer,integer,False,Status Flag for EBIRTHRSN6,Status Flag for EBIRTHRSN6,False
ABIRTHRSN7,common,integer,integer,False,Status Flag for EBIRTHRSN7,Status Flag for EBIRTHRSN7,False
ABIRTHRSN8,common,integer,integer,False,Status Flag for EBIRTHRSN8,Status Flag for EBIRTHRSN8,False
ABIRTHRSN9,common,integer,integer,False,Status Flag for EBIRTHRSN9,Status Flag for EBIRTHRSN9,False
ABIRTHWORK,common,integer,integer,False,Status Flag for EBIRTHWORK,Status Flag for EBIRTHWORK,False
ABMOM,common,integer,integer,False,Status Flag for EBMOM,Status Flag for EBMOM,False
ABMOMDODLT19,common,integer,integer,False,Status Flag for EBMOMDODLT19,Status Flag for EBMOMDODLT19,False
ABMOMDODRAGE,common,integer,integer,False,Status Flag for TBMOMDODRAGE,Status Flag for TBMOMDODRAGE,False
ABOATDEBT,common,integer,integer,False,Status Flag for EBOATDEBT,Status Flag for EBOATDEBT,False
ABOATDEBTVAL,common,integer,integer,False,Status Flag for TBOATDEBTVAL,Status Flag for TBOATDEBTVAL,False
ABOATOWNER1,common,integer,integer,False,Status Flag for EBOATOWNER1,Status Flag for EBOATOWNER1,False
ABOATOWNER2,common,integer,integer,False,Status Flag for EBOATOWNER2,Status Flag for EBOATOWNER2,False
ABOATOWNER3,common,integer,integer,False,Suppressed,Suppressed,False
ABOATVAL,common,integer,integer,False,Status Flag for TBOATVAL,Status Flag for TBOATVAL,False
ABORNUS,common,integer,integer,False,Status Flag for EBORNUS,Status Flag for EBORNUS,False
ABREAK_CHLD,common,integer,integer,False,Status Flag for RBREAK_CHLD,Status Flag for RBREAK_CHLD,False
ABSI1DEBTVAL,common,integer,integer,False,Status Flag for TBSI1DEBTVAL,Status Flag for TBSI1DEBTVAL,False
ABSI1PEROWN,common,integer,integer,False,Status Flag for EBSI1PEROWN,Status Flag for EBSI1PEROWN,False
ABSI1VAL,common,integer,integer,False,Status Flag for TBSI1VAL,Status Flag for TBSI1VAL,False
ABSI2DEBTVAL,common,integer,integer,False,Status Flag for TBSI2DEBTVAL,Status Flag for TBSI2DEBTVAL,False
ABSI2PEROWN,common,integer,integer,False,Status Flag for EBSI2PEROWN,Status Flag for EBSI2PEROWN,False
ABSI2VAL,common,integer,integer,False,Status Flag for TBSI2VAL,Status Flag for TBSI2VAL,False
ABSI3DEBTVAL,common,integer,integer,False,Status Flag for TBSI3DEBTVAL,Status Flag for TBSI3DEBTVAL,False
ABSI3PEROWN,common,integer,integer,False,Status Flag for EBSI3PEROWN,Status Flag for EBSI3PEROWN,False
ABSI3VAL,common,integer,integer,False,Status Flag for TBSI3VAL,Status Flag for TBSI3VAL,False
ABSJ1DEBTVAL,common,integer,integer,False,Status Flag for TBSJ1DEBTVAL,Status Flag for TBSJ1DEBTVAL,False
ABSJ1PEROWN,common,integer,integer,False,Status Flag for EBSJ1PEROWN,Status Flag for EBSJ1PEROWN,False
ABSJ1VAL,common,integer,integer,False,Status Flag for TBSJ1VAL,Status Flag for TBSJ1VAL,False
ABSJ2DEBTVAL,common,integer,integer,False,Status Flag for TBSJ2DEBTVAL,Status Flag for TBSJ2DEBTVAL,False
ABSJ2PEROWN,common,integer,integer,False,Status Flag for EBSJ2PEROWN,Status Flag for EBSJ2PEROWN,False
ABSJ2VAL,common,integer,integer,False,Status Flag for TBSJ2VAL,Status Flag for TBSJ2VAL,False
ABSJ3DEBTVAL,common,integer,integer,False,Status Flag for TBSJ3DEBTVAL,Status Flag for TBSJ3DEBTVAL,False
ABSJ3PEROWN,common,integer,integer,False,Status Flag for EBSJ3PEROWN,Status Flag for EBSJ3PEROWN,False
ABSJ3VAL,common,integer,integer,False,Status Flag for TBSJ3VAL,Status Flag for TBSJ3VAL,False
ABSJ4DEBTVAL,common,integer,integer,False,Status Flag for TBSJ4DEBTVAL,Status Flag for TBSJ4DEBTVAL,False
ABSJ4PEROWN,common,integer,integer,False,Status Flag for EBSJ4PEROWN,Status Flag for EBSJ4PEROWN,False
ABSJ4VAL,common,integer,integer,False,Status Flag for TBSJ4VAL,Status Flag for TBSJ4VAL,False
ABSJ5DEBTVAL,common,integer,integer,False,Suppressed,Suppressed,False
ABSJ5PEROWN,common,integer,integer,False,Suppressed,Suppressed,False
ABSJ5VAL,common,integer,integer,False,Suppressed,Suppressed,False
ABSJ6DEBTVAL,common,integer,integer,False,Status Flag for TBSJ6DEBTVAL,Suppressed,True
ABSJ6PEROWN,common,integer,integer,False,Suppressed,Suppressed,False
ABSJ6VAL,common,integer,integer,False,Status Flag for TBSJ6VAL,Suppressed,True
ABSJ7DEBTVAL,common,integer,integer,False,Suppressed,Suppressed,False
ABSJ7PEROWN,common,integer,integer,False,Suppressed,Suppressed,False
ABSJ7VAL,common,integer,integer,False,Suppressed,Suppressed,False
ABUS_INV_NUM,common,integer,integer,False,Status Flag for TBUS_INV_NUM,Status Flag for TBUS_INV_NUM,False
ACARES,common,integer,integer,False,Status Flag for RCARES,Status Flag for RCARES,False
ACASH_BAL,common,integer,integer,False,Status Flag for ECASH_BAL,Status Flag for ECASH_BAL,False
ACBYR_1,common,integer,integer,False,Status Flag for TCBYR_1,Status Flag for TCBYR_1,False
ACBYR_10,common,integer,integer,False,Suppressed,Suppressed,False
ACBYR_11,common,integer,integer,False,Suppressed,Suppressed,False
ACBYR_12,common,integer,integer,False,Suppressed,Suppressed,False
ACBYR_13,common,integer,integer,False,Suppressed,Suppressed,False
ACBYR_14,common,integer,integer,False,Suppressed,Suppressed,False
ACBYR_15,common,integer,integer,False,Suppressed,Suppressed,False
ACBYR_16,common,integer,integer,False,Suppressed,Suppressed,False
ACBYR_17,common,integer,integer,False,Suppressed,Suppressed,False
ACBYR_18,common,integer,integer,False,Suppressed,Suppressed,False
ACBYR_19,common,integer,integer,False,Suppressed,Suppressed,False
ACBYR_2,common,integer,integer,False,Status Flag for TCBYR_2,Status Flag for TCBYR_2,False
ACBYR_20,common,integer,integer,False,Suppressed,Suppressed,False
ACBYR_3,common,integer,integer,False,Status Flag for TCBYR_3,Status Flag for TCBYR_3,False
ACBYR_4,common,integer,integer,False,Status Flag for TCBYR_4,Status Flag for TCBYR_4,False
ACBYR_5,common,integer,integer,False,Status Flag for TCBYR_5,Status Flag for TCBYR_5,False
ACBYR_6,common,integer,integer,False,Status Flag for TCBYR_6,Status Flag for TCBYR_6,False
ACBYR_7,common,integer,integer,False,Suppressed,Suppressed,False
ACBYR_8,common,integer,integer,False,Suppressed,Suppressed,False
ACBYR_9,common,integer,integer,False,Suppressed,Suppressed,False
ACB_UNION,common,integer,integer,False,Status Flag for RCB_UNION,Status Flag for RCB_UNION,False
ACEB,common,integer,integer,False,Status Flag for TCEB,Status Flag for TCEB,False
ACERT,common,integer,integer,False,Status Flag for ECERT,Status Flag for ECERT,False
ACHLD_ANY,common,integer,integer,False,Status Flag for ECHLD_ANY,Status Flag for ECHLD_ANY,False
ACHLD_MNYN,common,integer,integer,False,Status Flag for ECHLD_MNYN,Status Flag for ECHLD_MNYN,False
ACITIZEN,common,integer,integer,False,Status Flag for ECITIZEN,Status Flag for ECITIZEN,False
ACLTH_SRYN,common,integer,integer,False,"Status Flag for ECLTH_SR1YN, ECLTH_SR2YN, ECLTH_SR3YN, ECLTH_SR4YN, ECLTH_SR5YN,","Status Flag for ECLTH_SR1YN, ECLTH_SR2YN, ECLTH_SR3YN, ECLTH_SR4YN, ECLTH_SR5YN,",False
ACLTH_TYPE,common,integer,integer,False,Status Flag for ECLTH_TYPE,Status Flag for ECLTH_TYPE,False
ACLUB,common,integer,integer,False,Status Flag for ECLUB,Status Flag for ECLUB,False
ACNTAMT,common,integer,integer,False,Status Flag for TCNTAMT,Status Flag for TCNTAMT,False
ACOGNIT,common,integer,integer,False,Status Flag for ECOGNIT,Status Flag for ECOGNIT,False
