file_year,horizon_years,reference_start_year,reference_end_year,weight_variable,longitudinal_raw_zip,replicate_raw_zip,longitudinal_csv_entry,replicate_csv_entry,longitudinal_rows,replicate_rows,official_validation_rows,longitudinal_key_duplicates,replicate_key_duplicates,key_sets_equal,all_final_weights_positive,repwgt0_max_abs_difference,repwgt0_comparison_tolerance,spanel_values,replicate_initial_year_values,replicate_final_year_values,replicate_period_metadata_matches_expected,replicate_ctl_date_values,longitudinal_parquet,replicate_parquet
2019,2,2017,2018,FINYR2,temp\raw_downloads\census_sipp\2019\longitudinal_weights\lgtwgt2019_csv.zip,temp\raw_downloads\census_sipp\2019\longitudinal_replicate_weights\lgtrw2019yr2_csv.zip,lgtwgt2019.csv,lgtrw2019yr2.csv,32775,32775,32775,0,0,True,True,5.000001692678779e-07,2e-05,2018,2017,2018,True,DEC2018,data\analysis_ready\longitudinal_weights\2019\lgtwgt2019.parquet,data\analysis_ready\longitudinal_replicate_weights\2019\lgtrw2019yr2.parquet
2020,2,2018,2019,FINYR2,temp\raw_downloads\census_sipp\2020\longitudinal_weights\lgtwgt2020yr2_csv.zip,temp\raw_downloads\census_sipp\2020\longitudinal_replicate_weights\lgtrw2020yr2_csv.zip,lgtwgt2020yr2.csv,lgtrw2020yr2.csv,21918,21918,21918,0,0,True,True,5.000001692678779e-07,2e-05,2018,2018,2019,True,DEC2019,data\analysis_ready\longitudinal_weights\2020\lgtwgt2020yr2.parquet,data\analysis_ready\longitudinal_replicate_weights\2020\lgtrw2020yr2.parquet
2020,3,2017,2019,FINYR3,temp\raw_downloads\census_sipp\2020\longitudinal_weights\lgtwgt2020yr3_csv.zip,temp\raw_downloads\census_sipp\2020\longitudinal_replicate_weights\lgtrw2020yr3_csv.zip,lgtwgt2020yr3.csv,lgtrw2020yr3.csv,20967,20967,20967,0,0,True,True,1.0000003385357559e-05,2e-05,2018,2017,2019,True,DEC2019,data\analysis_ready\longitudinal_weights\2020\lgtwgt2020yr3.parquet,data\analysis_ready\longitudinal_replicate_weights\2020\lgtrw2020yr3.parquet
2021,2,2019,2020,FINYR2,temp\raw_downloads\census_sipp\2021\longitudinal_weights\lgtwgt2021yr2_csv.zip,temp\raw_downloads\census_sipp\2021\longitudinal_replicate_weights\lgtrw2021yr2_csv.zip,lgtwgt2021yr2.csv,lgtrw2021yr2.csv,31726,31726,31726,0,0,True,True,5.000001692678779e-07,2e-05,2018|2020,2019,2020,True,DEC2020,data\analysis_ready\longitudinal_weights\2021\lgtwgt2021yr2.parquet,data\analysis_ready\longitudinal_replicate_weights\2021\lgtrw2021yr2.parquet
2021,3,2018,2020,FINYR3,temp\raw_downloads\census_sipp\2021\longitudinal_weights\lgtwgt2021yr3_csv.zip,temp\raw_downloads\census_sipp\2021\longitudinal_replicate_weights\lgtrw2021yr3_csv.zip,lgtwgt2021yr3.csv,lgtrw2021yr3.csv,15566,15566,15566,0,0,True,True,1.0000003385357559e-05,2e-05,2018,2018,2020,True,DEC2020,data\analysis_ready\longitudinal_weights\2021\lgtwgt2021yr3.parquet,data\analysis_ready\longitudinal_replicate_weights\2021\lgtrw2021yr3.parquet
2021,4,2017,2020,FINYR4,temp\raw_downloads\census_sipp\2021\longitudinal_weights\lgtwgt2021yr4_csv.zip,temp\raw_downloads\census_sipp\2021\longitudinal_replicate_weights\lgtrw2021yr4_csv.zip,lgtwgt2021yr4.csv,lgtrw2021yr4.csv,15070,15070,15070,0,0,True,True,1.0000017937272787e-05,2e-05,2018,2017,2021,False,DEC2020,data\analysis_ready\longitudinal_weights\2021\lgtwgt2021yr4.parquet,data\analysis_ready\longitudinal_replicate_weights\2021\lgtrw2021yr4.parquet
2022,2,2020,2021,FINYR2,temp\raw_downloads\census_sipp\2022\longitudinal_weights\lgtwgt2022yr2_csv.zip,temp\raw_downloads\census_sipp\2022\longitudinal_replicate_weights\lgtrw2022yr2_csv.zip,lgtwgt2022yr2.csv,lgtrw2022yr2.csv,14278,14278,14278,0,0,True,True,1.0000017937272787e-05,2e-05,2020|2021,2020,2021,True,DEC2021,data\analysis_ready\longitudinal_weights\2022\lgtwgt2022yr2.parquet,data\analysis_ready\longitudinal_replicate_weights\2022\lgtrw2022yr2.parquet
2022,3,2019,2021,FINYR3,temp\raw_downloads\census_sipp\2022\longitudinal_weights\lgtwgt2022yr3_csv.zip,temp\raw_downloads\census_sipp\2022\longitudinal_replicate_weights\lgtrw2022yr3_csv.zip,lgtwgt2022yr3.csv,lgtrw2022yr3.csv,6768,6768,6768,0,0,True,True,1.0000017937272787e-05,2e-05,2020,2019,2021,True,DEC2021,data\analysis_ready\longitudinal_weights\2022\lgtwgt2022yr3.parquet,data\analysis_ready\longitudinal_replicate_weights\2022\lgtrw2022yr3.parquet
2023,2,2021,2022,FINYR2,temp\raw_downloads\census_sipp\2023\longitudinal_weights\lgtwgt2023yr2_csv.zip,temp\raw_downloads\census_sipp\2023\longitudinal_replicate_weights\lgtrw2023yr2_csv.zip,lgtwgt2023yr2.csv,lgtrw2023yr2.csv,23878,23878,23878,0,0,True,True,5.000001692678779e-07,2e-05,2020|2021|2022,2021,2022,True,DEC2022,data\analysis_ready\longitudinal_weights\2023\lgtwgt2023yr2.parquet,data\analysis_ready\longitudinal_replicate_weights\2023\lgtrw2023yr2.parquet
2023,3,2020,2022,FINYR3,temp\raw_downloads\census_sipp\2023\longitudinal_weights\lgtwgt2023yr3_csv.zip,temp\raw_downloads\census_sipp\2023\longitudinal_replicate_weights\lgtrw2023yr3_csv.zip,lgtwgt2023yr3.csv,lgtrw2023yr3.csv,9891,9891,9891,0,0,True,True,1.0000017937272787e-05,2e-05,2020|2021,2020,2022,True,DEC2022,data\analysis_ready\longitudinal_weights\2023\lgtwgt2023yr3.parquet,data\analysis_ready\longitudinal_replicate_weights\2023\lgtrw2023yr3.parquet
2023,4,2019,2022,FINYR4,temp\raw_downloads\census_sipp\2023\longitudinal_weights\lgtwgt2023yr4_csv.zip,temp\raw_downloads\census_sipp\2023\longitudinal_replicate_weights\lgtrw2023yr4_csv.zip,lgtwgt2023yr4.csv,lgtrw2023yr4.csv,4995,4995,4995,0,0,True,True,1.0000017937272787e-05,2e-05,2020,2019,2022,True,DEC2022,data\analysis_ready\longitudinal_weights\2023\lgtwgt2023yr4.parquet,data\analysis_ready\longitudinal_replicate_weights\2023\lgtrw2023yr4.parquet
2024,2,2022,2023,FINYR2,temp\raw_downloads\census_sipp\2024\longitudinal_weights\lgtwgt2024yr2_csv.zip,temp\raw_downloads\census_sipp\2024\longitudinal_replicate_weights\lgtrw2024yr2_csv.zip,lgtwgt2024yr2.csv,lgtrw2024yr2.csv,20262,20262,20262,0,0,True,True,1.0000003385357559e-05,2e-05,2021|2022|2023,2022,2023,True,DEC2023,data\analysis_ready\longitudinal_weights\2024\lgtwgt2024yr2.parquet,data\analysis_ready\longitudinal_replicate_weights\2024\lgtrw2024yr2.parquet
2024,3,2021,2023,FINYR3,temp\raw_downloads\census_sipp\2024\longitudinal_weights\lgtwgt2024yr3_csv.zip,temp\raw_downloads\census_sipp\2024\longitudinal_replicate_weights\lgtrw2024yr3_csv.zip,lgtwgt2024yr3.csv,lgtrw2024yr3.csv,12170,12170,12170,0,0,True,True,1.0000017937272787e-05,2e-05,2021|2022,2021,2023,True,DEC2023,data\analysis_ready\longitudinal_weights\2024\lgtwgt2024yr3.parquet,data\analysis_ready\longitudinal_replicate_weights\2024\lgtrw2024yr3.parquet
