document_role,official_url,local_relative_path,bytes,sha256_project_generated,remote_bytes_exactly_match_local,remote_last_modified,remote_etag,official_checksum_published
2018_release_notes,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2018/2018_Release_Notes.pdf,temp\source_metadata\census_sipp\2018\2018_Release_Notes.pdf,177625,63bb545c839f894e9f5cd5961bbd5bafaf2246a4ed3c5b71d248708991f512b2,True,"Wed, 20 Aug 2025 20:30:25 GMT",,False
2019_release_notes,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2019/2019_SIPP_Release_Notes.pdf,temp\source_metadata\census_sipp\2019\2019_SIPP_Release_Notes.pdf,199029,55fc129b68f0e909aa46b68018016afab5753e62ad8f1f038ee7e15644ffd751,True,"Wed, 20 Aug 2025 20:30:25 GMT",,False
2020_release_notes,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2020/2020_SIPP_Release_Notes.pdf,temp\source_metadata\census_sipp\2020\2020_SIPP_Release_Notes.pdf,196797,7f1001920472bc4240a2b9a3a862d12c67a7df9d0a0f897f60a379c82297e3b5,True,"Wed, 20 Aug 2025 20:30:25 GMT",,False
2021_release_notes,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2021/2021_SIPP_Release_Notes.pdf,temp\source_metadata\census_sipp\2021\2021_SIPP_Release_Notes.pdf,200782,372674518dcf2f847e809959ffbd571d9ac3a5ab40d352cb2321e7c83830c6f6,True,"Thu, 21 Aug 2025 18:16:45 GMT",,False
2022_release_notes,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2022/2022_SIPP_Release_Notes.pdf,temp\source_metadata\census_sipp\2022\2022_SIPP_Release_Notes.pdf,104452,cbcb4b889797997c0bdc35271aa3840259b0c2b41835059c99ec7bc918fe41b7,True,"Mon, 26 Jun 2023 17:07:52 GMT",,False
2023_release_notes,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2023/2023_SIPP_Release_Notes.pdf,temp\source_metadata\census_sipp\2023\2023_SIPP_Release_Notes.pdf,106593,0ade1bfd698e31b1e622a6ac2409c7e8b2f743081f3d84c720b68da451511cf0,True,"Wed, 10 Jul 2024 17:35:49 GMT",,False
2024_release_notes,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2024/2024_SIPP_Release_Notes.pdf,temp\source_metadata\census_sipp\2024\2024_SIPP_Release_Notes.pdf,129891,0aeb281722654515379b32c4162cf8164ae9c7d357d8064bbe7781ba36291e26,True,"Wed, 20 Aug 2025 20:30:25 GMT",,False
2025_release_notes,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2025/2025_SIPP_Release_Notes.pdf,temp\source_metadata\census_sipp\2025\2025_SIPP_Release_Notes.pdf,229923,6cb2e033266ddc9b3a0a0b597253c2817069056359b00fd53107c0efdea0dee7,True,"Tue, 14 Jul 2026 16:01:28 GMT",,False
2018_plus_weight_selection_guide,https://www2.census.gov/programs-surveys/sipp/Select_weights_2018_SIPP_JUN24.pdf,temp\source_metadata\census_sipp\common\Select_weights_2018_SIPP_JUN24.pdf,700248,f98dcb194464e6462af68a1d02500c9e81bcc3c6e45320e9dc8acc9cd99c0c77,True,"Thu, 20 Jun 2024 14:03:04 GMT",,False
2025_users_guide,https://www2.census.gov/programs-surveys/sipp/tech-documentation/methodology/2025_SIPP_Users_Guide.pdf,temp\source_metadata\census_sipp\2025\2025_SIPP_Users_Guide.pdf,2557502,445b75de90e2b541d1ca412f3165cfa2a021d0608b59ab5ca996fb9f3a8754ec,True,"Tue, 14 Jul 2026 16:01:28 GMT",,False
2025_source_and_accuracy_statement,https://www2.census.gov/programs-surveys/sipp/tech-documentation/source-accuracy-statements/2025/SIPP-2025-SA.pdf,temp\source_metadata\census_sipp\2025\SIPP-2025-SA.pdf,904085,ba8baf8de4add43ec9c59ffc3ab94a194368c645e37717e9d7cd780a57493f83,True,"Tue, 14 Jul 2026 16:01:28 GMT",,False
