filename,official_url,listed_last_modified,listed_size,year,fetched_at_utc,directory_http_date,directory_last_modified,directory_cache_age_seconds,snapshot_relative_path
2018_Release_Notes.pdf,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2018/2018_Release_Notes.pdf,2025-08-20 16:30,173K,2018,2026-07-16T02:31:00Z,,,,temp\source_metadata\census_sipp\2018\official_technical_directory_reaudit_20260716.html
2019_SIPP_Public_Use_Instrument_Spec_SEP21.pdf,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2019/2019_SIPP_Public_Use_Instrument_Spec_SEP21.pdf,2021-09-16 08:17,5.0M,2019,2026-07-16T02:31:03Z,"Thu, 16 Jul 2026 02:31:07 GMT","Thu, 16 Jul 2026 02:24:59 GMT",367,temp\source_metadata\census_sipp\2019\official_technical_directory_reaudit_20260716.html
2019_SIPP_Release_Notes.pdf,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2019/2019_SIPP_Release_Notes.pdf,2025-08-20 16:30,194K,2019,2026-07-16T02:31:03Z,"Thu, 16 Jul 2026 02:31:07 GMT","Thu, 16 Jul 2026 02:24:59 GMT",367,temp\source_metadata\census_sipp\2019\official_technical_directory_reaudit_20260716.html
2020_SIPP_Public_Use_Instrument_Spec_OCT21.pdf,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2020/2020_SIPP_Public_Use_Instrument_Spec_OCT21.pdf,2021-10-27 13:30,7.0M,2020,2026-07-16T02:31:00Z,,,,temp\source_metadata\census_sipp\2020\official_technical_directory_reaudit_20260716.html
2020_SIPP_Release_Notes.pdf,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2020/2020_SIPP_Release_Notes.pdf,2025-08-20 16:30,192K,2020,2026-07-16T02:31:00Z,,,,temp\source_metadata\census_sipp\2020\official_technical_directory_reaudit_20260716.html
2021_SIPP_PU_Instrument_Specifications_AUG22.pdf,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2021/2021_SIPP_PU_Instrument_Specifications_AUG22.pdf,2022-08-30 17:14,3.1M,2021,2026-07-16T02:31:00Z,,,,temp\source_metadata\census_sipp\2021\official_technical_directory_reaudit_20260716.html
2021_SIPP_Release_Notes.pdf,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2021/2021_SIPP_Release_Notes.pdf,2025-08-21 14:16,196K,2021,2026-07-16T02:31:00Z,,,,temp\source_metadata\census_sipp\2021\official_technical_directory_reaudit_20260716.html
2021_SIPP_Research_File_Data_Dictionary.xlsx,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2021/2021_SIPP_Research_File_Data_Dictionary.xlsx,2024-09-05 12:56,25K,2021,2026-07-16T02:31:00Z,,,,temp\source_metadata\census_sipp\2021\official_technical_directory_reaudit_20260716.html
2021_SIPP_Research_File_Release_Notes.pdf,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2021/2021_SIPP_Research_File_Release_Notes.pdf,2024-09-05 12:55,105K,2021,2026-07-16T02:31:00Z,,,,temp\source_metadata\census_sipp\2021\official_technical_directory_reaudit_20260716.html
2021_SIPP_Variable_Name_Change_Summary_2014_2021.xlsx,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2021/2021_SIPP_Variable_Name_Change_Summary_2014_2021.xlsx,2022-08-30 13:13,24K,2021,2026-07-16T02:31:00Z,,,,temp\source_metadata\census_sipp\2021\official_technical_directory_reaudit_20260716.html
2022_SIPP_PU_Instrument_Specifications.pdf,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2022/2022_SIPP_PU_Instrument_Specifications.pdf,2023-06-26 13:08,3.0M,2022,2026-07-16T02:31:00Z,,,,temp\source_metadata\census_sipp\2022\official_technical_directory_reaudit_20260716.html
2022_SIPP_Release_Notes.pdf,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2022/2022_SIPP_Release_Notes.pdf,2023-06-26 13:07,102K,2022,2026-07-16T02:31:00Z,,,,temp\source_metadata\census_sipp\2022\official_technical_directory_reaudit_20260716.html
