file_year,reference_year,variable,source_rows,changed_person_months,changed_persons,change_rate,medicaid_end_order_error_rows,medicare_expired_rows,medicaid_expired_rows,other_coverage_expired_rows,aggregate_private_recode_interpretation,official_monthly_health_note,official_medicaid_end_note
2018,2017,ECRMTH,763186,168,19,0.0002201298241844059,35,168,1850,462,"Uses EPR1MTH/EPR2MTH monthly plan indicators. The official web table prints EHEMPLY{1:2}=1, which conflicts with the data dictionary, the observed raw recode, and the note's stated affected-record scale.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-monthly-hi-variables-error.html,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-medicaid-variable-error.html
2018,2017,EMDMTH,763186,1850,403,0.0024240486591735172,35,168,1850,462,"Uses EPR1MTH/EPR2MTH monthly plan indicators. The official web table prints EHEMPLY{1:2}=1, which conflicts with the data dictionary, the observed raw recode, and the note's stated affected-record scale.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-monthly-hi-variables-error.html,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-medicaid-variable-error.html
2018,2017,RPUBTYPE1,763186,168,19,0.0002201298241844059,35,168,1850,462,"Uses EPR1MTH/EPR2MTH monthly plan indicators. The official web table prints EHEMPLY{1:2}=1, which conflicts with the data dictionary, the observed raw recode, and the note's stated affected-record scale.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-monthly-hi-variables-error.html,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-medicaid-variable-error.html
2018,2017,RPUBTYPE2,763186,2068,446,0.0027096933119842345,35,168,1850,462,"Uses EPR1MTH/EPR2MTH monthly plan indicators. The official web table prints EHEMPLY{1:2}=1, which conflicts with the data dictionary, the observed raw recode, and the note's stated affected-record scale.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-monthly-hi-variables-error.html,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-medicaid-variable-error.html
2018,2017,RPRIMTH,763186,29,4,3.7998600603260544e-05,35,168,1850,462,"Uses EPR1MTH/EPR2MTH monthly plan indicators. The official web table prints EHEMPLY{1:2}=1, which conflicts with the data dictionary, the observed raw recode, and the note's stated affected-record scale.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-monthly-hi-variables-error.html,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-medicaid-variable-error.html
2018,2017,RPUBMTH,763186,1972,417,0.002583904841021717,35,168,1850,462,"Uses EPR1MTH/EPR2MTH monthly plan indicators. The official web table prints EHEMPLY{1:2}=1, which conflicts with the data dictionary, the observed raw recode, and the note's stated affected-record scale.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-monthly-hi-variables-error.html,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-medicaid-variable-error.html
2018,2017,RHLTHMTH,763186,1061,244,0.0013902246634503253,35,168,1850,462,"Uses EPR1MTH/EPR2MTH monthly plan indicators. The official web table prints EHEMPLY{1:2}=1, which conflicts with the data dictionary, the observed raw recode, and the note's stated affected-record scale.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-monthly-hi-variables-error.html,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-medicaid-variable-error.html
2019,2018,ECRMTH,593604,749,91,0.0012617839502429228,33,749,4612,167,"Uses EPR1MTH/EPR2MTH monthly plan indicators. The official web table prints EHEMPLY{1:2}=1, which conflicts with the data dictionary, the observed raw recode, and the note's stated affected-record scale.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-monthly-hi-variables-error.html,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-medicaid-variable-error.html
2019,2018,EMDMTH,593604,4612,696,0.007769489423925715,33,749,4612,167,"Uses EPR1MTH/EPR2MTH monthly plan indicators. The official web table prints EHEMPLY{1:2}=1, which conflicts with the data dictionary, the observed raw recode, and the note's stated affected-record scale.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-monthly-hi-variables-error.html,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-medicaid-variable-error.html
2019,2018,RPUBTYPE1,593604,749,91,0.0012617839502429228,33,749,4612,167,"Uses EPR1MTH/EPR2MTH monthly plan indicators. The official web table prints EHEMPLY{1:2}=1, which conflicts with the data dictionary, the observed raw recode, and the note's stated affected-record scale.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-monthly-hi-variables-error.html,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-medicaid-variable-error.html
2019,2018,RPUBTYPE2,593604,4684,709,0.007890782407126637,33,749,4612,167,"Uses EPR1MTH/EPR2MTH monthly plan indicators. The official web table prints EHEMPLY{1:2}=1, which conflicts with the data dictionary, the observed raw recode, and the note's stated affected-record scale.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-monthly-hi-variables-error.html,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-medicaid-variable-error.html
2019,2018,RPRIMTH,593604,64,9,0.00010781598506748607,33,749,4612,167,"Uses EPR1MTH/EPR2MTH monthly plan indicators. The official web table prints EHEMPLY{1:2}=1, which conflicts with the data dictionary, the observed raw recode, and the note's stated affected-record scale.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-monthly-hi-variables-error.html,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-medicaid-variable-error.html
2019,2018,RPUBMTH,593604,4290,648,0.007227040249054926,33,749,4612,167,"Uses EPR1MTH/EPR2MTH monthly plan indicators. The official web table prints EHEMPLY{1:2}=1, which conflicts with the data dictionary, the observed raw recode, and the note's stated affected-record scale.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-monthly-hi-variables-error.html,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-medicaid-variable-error.html
2019,2018,RHLTHMTH,593604,2143,357,0.003610150874994104,33,749,4612,167,"Uses EPR1MTH/EPR2MTH monthly plan indicators. The official web table prints EHEMPLY{1:2}=1, which conflicts with the data dictionary, the observed raw recode, and the note's stated affected-record scale.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-monthly-hi-variables-error.html,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-medicaid-variable-error.html
2020,2019,ECRMTH,622339,1021,164,0.001640584954502289,24,1021,4023,243,"Uses EPR1MTH/EPR2MTH monthly plan indicators. The official web table prints EHEMPLY{1:2}=1, which conflicts with the data dictionary, the observed raw recode, and the note's stated affected-record scale.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-monthly-hi-variables-error.html,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-medicaid-variable-error.html
2020,2019,EMDMTH,622339,4023,647,0.00646432249947376,24,1021,4023,243,"Uses EPR1MTH/EPR2MTH monthly plan indicators. The official web table prints EHEMPLY{1:2}=1, which conflicts with the data dictionary, the observed raw recode, and the note's stated affected-record scale.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-monthly-hi-variables-error.html,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-medicaid-variable-error.html
2020,2019,RPUBTYPE1,622339,1021,164,0.001640584954502289,24,1021,4023,243,"Uses EPR1MTH/EPR2MTH monthly plan indicators. The official web table prints EHEMPLY{1:2}=1, which conflicts with the data dictionary, the observed raw recode, and the note's stated affected-record scale.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-monthly-hi-variables-error.html,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-medicaid-variable-error.html
2020,2019,RPUBTYPE2,622339,4167,677,0.006695707644868793,24,1021,4023,243,"Uses EPR1MTH/EPR2MTH monthly plan indicators. The official web table prints EHEMPLY{1:2}=1, which conflicts with the data dictionary, the observed raw recode, and the note's stated affected-record scale.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-monthly-hi-variables-error.html,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-medicaid-variable-error.html
2020,2019,RPRIMTH,622339,80,14,0.00012854730299724105,24,1021,4023,243,"Uses EPR1MTH/EPR2MTH monthly plan indicators. The official web table prints EHEMPLY{1:2}=1, which conflicts with the data dictionary, the observed raw recode, and the note's stated affected-record scale.",https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2023-usernotes/2023-monthly-hi-variables-error.html,https://www.census.gov/programs-surveys/sipp/tech-documentation/user-notes/2022-usernotes/2022-medicaid-variable-error.html
