product_id,file_year,product_type,horizon_years,official_url,local_relative_path,local_exists,local_bytes,manifest_sha256,head_status,remote_content_length,remote_last_modified,remote_etag,remote_accept_ranges,remote_content_type,compared_bytes,first_mismatch_offset,local_stream_sha256,remote_stream_sha256,remote_size_matches_local,remote_bytes_exactly_match_local,comparison_attempts,elapsed_seconds,status,error
sipp_2018_primary,2018,primary,,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/pu2018_csv.zip,temp\raw_downloads\census_sipp\2018\primary\pu2018_csv.zip,True,164090517,ab26c1eca7dbe021cff81b9a2522caffad02e9fd23a40dba6c7741039ce176ba,200,164090517,"Wed, 23 Jul 2025 13:15:42 GMT",,bytes,application/zip,164090517,,ab26c1eca7dbe021cff81b9a2522caffad02e9fd23a40dba6c7741039ce176ba,ab26c1eca7dbe021cff81b9a2522caffad02e9fd23a40dba6c7741039ce176ba,True,True,1,72.817,PASS,
sipp_2018_replicate_weights,2018,replicate_weights,,https://www2.census.gov/programs-surveys/sipp/data/datasets/2018/rw2018_csv.zip,temp\raw_downloads\census_sipp\2018\replicate_weights\rw2018_csv.zip,True,1047805606,eeb8fa9054f7d9aea466b0755e23bf92b9f890d5dd1008e2ab82838e3e451615,200,1047805606,"Tue, 18 Aug 2020 15:40:34 GMT",,bytes,application/zip,1047805606,,eeb8fa9054f7d9aea466b0755e23bf92b9f890d5dd1008e2ab82838e3e451615,eeb8fa9054f7d9aea466b0755e23bf92b9f890d5dd1008e2ab82838e3e451615,True,True,1,601.735,PASS,
sipp_2019_primary,2019,primary,,https://www2.census.gov/programs-surveys/sipp/data/datasets/2019/pu2019_csv.zip,temp\raw_downloads\census_sipp\2019\primary\pu2019_csv.zip,True,135068548,c648b45506b5c5ca76386c379b561ab34fc6cb81a9817abb00721f43bfa18ea2,200,135068548,"Wed, 23 Jul 2025 13:00:56 GMT",,bytes,application/zip,135068548,,c648b45506b5c5ca76386c379b561ab34fc6cb81a9817abb00721f43bfa18ea2,c648b45506b5c5ca76386c379b561ab34fc6cb81a9817abb00721f43bfa18ea2,True,True,1,68.57,PASS,
sipp_2019_replicate_weights,2019,replicate_weights,,https://www2.census.gov/programs-surveys/sipp/data/datasets/2019/rw2019_csv.zip,temp\raw_downloads\census_sipp\2019\replicate_weights\rw2019_csv.zip,True,816926361,1e7758f7662da54b317ec37312cbaeea1e7d134fa3c5f241d42a4e2f48b05ec4,200,816926361,"Thu, 16 Sep 2021 13:04:18 GMT",,bytes,application/zip,816926361,,1e7758f7662da54b317ec37312cbaeea1e7d134fa3c5f241d42a4e2f48b05ec4,1e7758f7662da54b317ec37312cbaeea1e7d134fa3c5f241d42a4e2f48b05ec4,True,True,1,475.162,PASS,
sipp_2019_longitudinal_weights_2y,2019,longitudinal_weights,2,https://www2.census.gov/programs-surveys/sipp/data/datasets/2019/lgtwgt2019_csv.zip,temp\raw_downloads\census_sipp\2019\longitudinal_weights\lgtwgt2019_csv.zip,True,335248,28492fa09fe7181b733f22d0e46cbf2d96afa190b7d1e3b35ceec6721e9f28b5,200,335248,"Thu, 16 Sep 2021 12:07:52 GMT",,bytes,application/zip,335248,,28492fa09fe7181b733f22d0e46cbf2d96afa190b7d1e3b35ceec6721e9f28b5,28492fa09fe7181b733f22d0e46cbf2d96afa190b7d1e3b35ceec6721e9f28b5,True,True,1,3.62,PASS,
sipp_2019_longitudinal_replicate_weights_2y,2019,longitudinal_replicate_weights,2,https://www2.census.gov/programs-surveys/sipp/data/datasets/2019/lgtrw2019yr2_csv.zip,temp\raw_downloads\census_sipp\2019\longitudinal_replicate_weights\lgtrw2019yr2_csv.zip,True,46407449,a9e0d5dd3a2c42754ff48a66be93b6730e34c6fc6a406b5d3c8c906021858f8a,200,46407449,"Thu, 16 Sep 2021 12:04:48 GMT",,bytes,application/zip,46407449,,a9e0d5dd3a2c42754ff48a66be93b6730e34c6fc6a406b5d3c8c906021858f8a,a9e0d5dd3a2c42754ff48a66be93b6730e34c6fc6a406b5d3c8c906021858f8a,True,True,1,25.942,PASS,
sipp_2020_primary,2020,primary,,https://www2.census.gov/programs-surveys/sipp/data/datasets/2020/pu2020_csv.zip,temp\raw_downloads\census_sipp\2020\primary\pu2020_csv.zip,True,139336635,7e6f2b6c7913f9c1e9ed6cf0b644b479981633902411efa488094f3ccdc3a693,200,139336635,"Wed, 23 Jul 2025 12:45:58 GMT",,bytes,application/zip,139336635,,7e6f2b6c7913f9c1e9ed6cf0b644b479981633902411efa488094f3ccdc3a693,7e6f2b6c7913f9c1e9ed6cf0b644b479981633902411efa488094f3ccdc3a693,True,True,1,63.481,PASS,
sipp_2020_replicate_weights,2020,replicate_weights,,https://www2.census.gov/programs-surveys/sipp/data/datasets/2020/rw2020_csv.zip,temp\raw_downloads\census_sipp\2020\replicate_weights\rw2020_csv.zip,True,855732385,1ed13bb785c73087c06187967e319dc78d34e20581101e93b1b5b5ed526c4efa,200,855732385,"Wed, 27 Oct 2021 17:45:11 GMT",,bytes,application/zip,855732385,,1ed13bb785c73087c06187967e319dc78d34e20581101e93b1b5b5ed526c4efa,1ed13bb785c73087c06187967e319dc78d34e20581101e93b1b5b5ed526c4efa,True,True,1,406.609,PASS,
sipp_2020_longitudinal_weights_2y,2020,longitudinal_weights,2,https://www2.census.gov/programs-surveys/sipp/data/datasets/2020/lgtwgt2020yr2_csv.zip,temp\raw_downloads\census_sipp\2020\longitudinal_weights\lgtwgt2020yr2_csv.zip,True,230724,82ff80ddfd0c9e5cf2c5f4b779e5092d4be5b8d8fbc14f68bf726628fcb8c19d,200,230724,"Wed, 27 Oct 2021 17:11:01 GMT",,bytes,application/zip,230724,,82ff80ddfd0c9e5cf2c5f4b779e5092d4be5b8d8fbc14f68bf726628fcb8c19d,82ff80ddfd0c9e5cf2c5f4b779e5092d4be5b8d8fbc14f68bf726628fcb8c19d,True,True,1,5.473,PASS,
sipp_2020_longitudinal_replicate_weights_2y,2020,longitudinal_replicate_weights,2,https://www2.census.gov/programs-surveys/sipp/data/datasets/2020/lgtrw2020yr2_csv.zip,temp\raw_downloads\census_sipp\2020\longitudinal_replicate_weights\lgtrw2020yr2_csv.zip,True,31625884,fcac6f4320ed4a695c8640a8a8d201934fd052a5f031d254e5bc76c40186d2ef,200,31625884,"Wed, 27 Oct 2021 17:11:56 GMT",,bytes,application/zip,31625884,,fcac6f4320ed4a695c8640a8a8d201934fd052a5f031d254e5bc76c40186d2ef,fcac6f4320ed4a695c8640a8a8d201934fd052a5f031d254e5bc76c40186d2ef,True,True,1,20.151,PASS,
