model,outcome,term,coef,state_clustered_se,state_clustered_t,n_person_years,n_persons,n_states,weighted_mean
all_2017_2023_reduction_intensity,direct_market,target_x_reduction_10pp,0.003147599846095722,0.005197581402468602,0.605589331337988,116877,66365,51,0.11735756082524079
all_2017_2023_reduction_intensity,exchange_subsidy,target_x_reduction_10pp,0.005742988306668348,0.006596763123984397,0.8705767053826885,116877,66365,51,0.08944580416637804
all_2017_2023_reduction_intensity,uninsured,target_x_reduction_10pp,0.010941155081444415,0.00671411011483125,1.6295763540243047,116877,66365,51,0.11122132336178182
all_2017_2023_reduction_intensity,any_coverage,target_x_reduction_10pp,-0.010941155081442888,0.006714110114803261,-1.6295763540308705,116877,66365,51,0.8887786766382181
all_2017_2023_reduction_intensity,private,target_x_reduction_10pp,-0.017508805029993857,0.008059228130934152,-2.1725163682597475,116877,66365,51,0.7804434828620955
all_2017_2023_reduction_intensity,oop_any,target_x_reduction_10pp,0.007660714715342243,0.009973625224135656,0.7680973109761243,116877,66365,51,0.6315596321659874
all_2017_2023_reduction_intensity,doctor_any,target_x_reduction_10pp,-0.013430422271839548,0.011181415360326357,-1.2011379453349944,116877,66365,51,0.7489933808010337
all_2017_2023_active_indicator,direct_market,target_x_active,0.01115768691960406,0.008489645594309456,1.3142700476310778,116877,66365,51,0.11735756082524079
all_2017_2023_active_indicator,exchange_subsidy,target_x_active,0.01218876735208993,0.009948355120916606,1.225204287939301,116877,66365,51,0.08944580416637804
all_2017_2023_active_indicator,uninsured,target_x_active,0.020621526130684298,0.010147320245685747,2.0322139866879416,116877,66365,51,0.11122132336178182
all_2017_2023_active_indicator,any_coverage,target_x_active,-0.02062152613125967,0.010147320245801903,-2.032213986721381,116877,66365,51,0.8887786766382181
all_2017_2023_active_indicator,private,target_x_active,-0.034992477855402715,0.010447130376129387,-3.3494822592964772,116877,66365,51,0.7804434828620955
all_2017_2023_active_indicator,oop_any,target_x_active,0.017541689952330408,0.018189116391281002,0.9644058334103057,116877,66365,51,0.6315596321659874
all_2017_2023_active_indicator,doctor_any,target_x_active,-0.01997719139859333,0.02089301021386455,-0.956166258193686,116877,66365,51,0.7489933808010337
pre_arpa_2017_2020_reduction_intensity,direct_market,target_x_reduction_10pp,0.005455938106192132,0.005852797906839603,0.9321931481379702,77622,46029,51,0.11055968910601914
pre_arpa_2017_2020_reduction_intensity,exchange_subsidy,target_x_reduction_10pp,0.0070565317992883625,0.00611007605041185,1.1549008131924507,77622,46029,51,0.08028817940522769
pre_arpa_2017_2020_reduction_intensity,uninsured,target_x_reduction_10pp,-0.001725203488001703,0.005185779597027618,-0.33267967828608724,77622,46029,51,0.11486910950908312
pre_arpa_2017_2020_reduction_intensity,any_coverage,target_x_reduction_10pp,0.0017252034882164757,0.00518577959692735,0.33267967833393536,77622,46029,51,0.8851308904909168
pre_arpa_2017_2020_reduction_intensity,private,target_x_reduction_10pp,-0.006214162476859242,0.00693466642596841,-0.8961011381295747,77622,46029,51,0.7834872521526293
pre_arpa_2017_2020_reduction_intensity,oop_any,target_x_reduction_10pp,0.013269398365574059,0.015402166417080611,0.8615280478244043,77622,46029,51,0.6339669540228084
pre_arpa_2017_2020_reduction_intensity,doctor_any,target_x_reduction_10pp,0.002660287347086676,0.010440211427190491,0.2548116353427693,77622,46029,51,0.7492663919056338
pre_arpa_2017_2020_active_indicator,direct_market,target_x_active,0.01689421651943801,0.01046203743522836,1.6148113237055388,77622,46029,51,0.11055968910601914
pre_arpa_2017_2020_active_indicator,exchange_subsidy,target_x_active,0.014953212068962607,0.012686159872510502,1.1787027925893125,77622,46029,51,0.08028817940522769
pre_arpa_2017_2020_active_indicator,uninsured,target_x_active,0.00435419689720612,0.013253038519393634,0.3285432914749679,77622,46029,51,0.11486910950908312
pre_arpa_2017_2020_active_indicator,any_coverage,target_x_active,-0.0043541968989506685,0.013253038519381293,-0.3285432916069077,77622,46029,51,0.8851308904909168
pre_arpa_2017_2020_active_indicator,private,target_x_active,-0.021546740398407316,0.01521976219329784,-1.4157080856293285,77622,46029,51,0.7834872521526293
pre_arpa_2017_2020_active_indicator,oop_any,target_x_active,0.027162428975290087,0.033315929507240834,0.8152985486833452,77622,46029,51,0.6339669540228084
pre_arpa_2017_2020_active_indicator,doctor_any,target_x_active,0.00865601924233772,0.031086138817864224,0.27845269858228194,77622,46029,51,0.7492663919056338
