model,outcome,year,relative_to_omitted,term,coef,se,t,n_person_years,n_persons,n_states
virginia_adult_dental_event,dental_visits,2018,-2,va_target_x_2018,0.29085809400437856,0.35992099397989613,0.8081165002023328,49363,34071,52
virginia_adult_dental_event,dental_visits,2019,-1,va_target_x_2019,0.5093821396317391,0.33735193796136076,1.5099428291711254,49363,34071,52
virginia_adult_dental_event,dental_visits,2021,1,va_target_x_2021,-0.04911503546987506,0.40737071058789404,-0.12056594692091402,49363,34071,52
virginia_adult_dental_event,dental_visits,2022,2,va_target_x_2022,-0.5348954300032398,0.40431730360973167,-1.3229595301208008,49363,34071,52
virginia_adult_dental_event,dental_visits,2023,3,va_target_x_2023,0.2914418562378591,0.3984325784873626,0.7314709488473795,49363,34071,52
virginia_adult_dental_event,dental_any,2018,-2,va_target_x_2018,0.004845025976895734,0.12444990791635484,0.03893153524992697,50091,34440,52
virginia_adult_dental_event,dental_any,2019,-1,va_target_x_2019,0.13057743766459873,0.12263623322915829,1.0647541450543534,50091,34440,52
virginia_adult_dental_event,dental_any,2021,1,va_target_x_2021,0.07927309897273038,0.13017884661846763,0.6089553028923858,50091,34440,52
virginia_adult_dental_event,dental_any,2022,2,va_target_x_2022,-0.17142305759421195,0.1324449691203507,-1.2942964820237337,50091,34440,52
virginia_adult_dental_event,dental_any,2023,3,va_target_x_2023,0.08703651727840933,0.1396206345216846,0.6233786114536789,50091,34440,52
virginia_adult_dental_event,doctor_any,2018,-2,va_target_x_2018,-0.006643966171081317,0.11740467438924594,-0.05659030362840385,50091,34440,52
virginia_adult_dental_event,doctor_any,2019,-1,va_target_x_2019,0.035902650453293106,0.11486875183554096,0.31255367434213427,50091,34440,52
virginia_adult_dental_event,doctor_any,2021,1,va_target_x_2021,-0.13242586258940703,0.129952238296979,-1.0190348725412106,50091,34440,52
virginia_adult_dental_event,doctor_any,2022,2,va_target_x_2022,-0.097049773030363,0.12411936333968078,-0.7819067905203823,50091,34440,52
virginia_adult_dental_event,doctor_any,2023,3,va_target_x_2023,0.03818725561796921,0.12307600120623029,0.3102737759084434,50091,34440,52
virginia_adult_dental_event,oop_any,2018,-2,va_target_x_2018,-0.12830176075236577,0.11515948632314718,-1.1141223780066216,50091,34440,52
virginia_adult_dental_event,oop_any,2019,-1,va_target_x_2019,0.047333067914806404,0.12322178449186025,0.38412905729289387,50091,34440,52
virginia_adult_dental_event,oop_any,2021,1,va_target_x_2021,-0.01929170813816894,0.1272026373914468,-0.15166122757975242,50091,34440,52
virginia_adult_dental_event,oop_any,2022,2,va_target_x_2022,-0.03593542029736274,0.12568456129922922,-0.28591753773009443,50091,34440,52
virginia_adult_dental_event,oop_any,2023,3,va_target_x_2023,-0.007996931708876831,0.13495364226464143,-0.05925687943416159,50091,34440,52
