model,outcome,coef,se_hc1,t_hc1,se_person_cluster,t_person_cluster,n,persons,clusters
age_26_39,uninsured,-0.04385228501075142,0.012616100617664145,-3.475898483985824,0.024883748491226605,-1.762286137324232,80237,9234,9215
age_26_39,employer_private,0.04258568190306171,0.015665714181654782,2.7184002854419083,0.03057794441978262,1.3926927630724122,80237,9234,9215
age_26_39,direct_purchase,0.01905202557141065,0.010279653402544461,1.8533723682449077,0.01963194451138671,0.9704604432006366,80237,9234,9215
age_26_39,marketplace_flag,0.01691436486723245,0.009171670333978876,1.844196776738553,0.017522100636625935,0.9653160438924113,80237,9234,9215
age_26_39,market_or_subsidy,0.01904982550854765,0.010316336247019789,1.8465688837983365,0.019681276755046852,0.9679161441425654,80237,9234,9215
age_40_49,uninsured,-0.007741697580000774,0.01340928986821253,-0.5773383718367443,0.025172192542829343,-0.3075495933391033,52545,5812,5809
age_40_49,employer_private,0.01811265712465065,0.017769457239754084,1.0193140330774288,0.03595468319935083,0.5037635020791306,52545,5812,5809
age_40_49,direct_purchase,0.057150568645667255,0.013512713109277676,4.22939258633622,0.027216555926519757,2.0998457262544323,52545,5812,5809
age_40_49,marketplace_flag,0.055100719039552826,0.012618040407823635,4.366820620212027,0.025304112718126704,2.1775400565648444,52545,5812,5809
age_40_49,market_or_subsidy,0.0591692809137373,0.013560259632355047,4.363432745237284,0.027318439001350125,2.165910025489123,52545,5812,5809
age_50_64,uninsured,-0.006951489398468624,0.009652842325820846,-0.7201494817618387,0.01988487635655459,-0.3495867549700517,84314,9220,9209
age_50_64,employer_private,0.015380678722380272,0.01384385263674485,1.1110114450045736,0.028539677439362605,0.5389226544364119,84314,9220,9209
age_50_64,direct_purchase,0.001428887666125922,0.011630411200526372,0.12285788021503943,0.02359740028939898,0.06055275787171534,84314,9220,9209
age_50_64,marketplace_flag,-0.004962706119664095,0.010197748948743039,-0.4866472144595982,0.02040652688532635,-0.24319209964301228,84314,9220,9209
age_50_64,market_or_subsidy,-0.0012298569630359024,0.011664012277012963,-0.10544030080109419,0.023689590704350987,-0.051915500710192464,84314,9220,9209
