model,post,above,person_months,persons,uninsured,any_coverage,direct_purchase,marketplace_flag,market_or_subsidy,private,public,medicaid,oop_any,doctor_any
monthly_fpl_age26_64_postyear_bw050,0,0,75922,10628,0.11293628645531364,0.8870637135446864,0.09833180323205595,0.06877520271767223,0.0991673055565737,0.8295757068110604,0.08210533952333327,0.05703077997125946,0.6523854546832137,0.7399000306386176
monthly_fpl_age26_64_postyear_bw050,0,1,69184,9892,0.09566937125489941,0.9043306287451006,0.09022825432788048,0.06400608260050424,0.09093675684472108,0.8606877556502166,0.07089189802016607,0.04755111683063486,0.6602062606602901,0.7531181014973186
monthly_fpl_age26_64_postyear_bw050,1,0,38834,6173,0.1102039543009707,0.8897960456990293,0.12157855617975005,0.1000196674739847,0.12278243418280813,0.8102265815038961,0.11381998591451901,0.08590952659991803,0.6353996233569974,0.7387118086286666
monthly_fpl_age26_64_postyear_bw050,1,1,33670,5562,0.08607092137441219,0.9139290786255878,0.10545199077985336,0.08164980629726142,0.1057648839209477,0.8469977070390481,0.09309748752545453,0.07289429240654685,0.6552223556342474,0.7438646104503673
monthly_fpl_age21_64_postyear_bw050,0,0,84618,12046,0.11600213706515097,0.883997862934849,0.09933213349940237,0.06802713974362617,0.1001387317456694,0.8245284214075147,0.0853037575936783,0.06224504825685702,0.6187018407160905,0.7294166448559039
monthly_fpl_age21_64_postyear_bw050,0,1,76143,11125,0.09891654108475323,0.9010834589152468,0.09449394423285766,0.06670274556993275,0.09514923620414299,0.8543816236929658,0.07562541848238313,0.05306858235529686,0.6312712245138463,0.7433482196905172
monthly_fpl_age21_64_postyear_bw050,1,0,43147,6991,0.11204741758050346,0.8879525824194966,0.12607709140446027,0.1037441042857914,0.12717395179291005,0.804006301769517,0.12000973636601052,0.09444330507157302,0.6078620919723133,0.7268545816696799
monthly_fpl_age21_64_postyear_bw050,1,1,37604,6281,0.08651127900256193,0.913488720997438,0.10844942189804532,0.0846642074631955,0.10956505843153906,0.8437258686330148,0.09969752348732491,0.0806875819690788,0.6260969979369743,0.732862196318188
monthly_fpl_age26_64_postapr2021_bw050,0,0,78990,11733,0.11295358479409436,0.8870464152059057,0.09952947899687832,0.07045463374528443,0.10033636418831614,0.8287940792935801,0.08316021345884515,0.05818397052834074,0.6519974527951629,0.739057473007591
monthly_fpl_age26_64_postapr2021_bw050,0,1,72196,11026,0.0963740744898808,0.9036259255101192,0.09124363131090815,0.06516718883021194,0.09194877991734392,0.8578784600647849,0.0731692903665656,0.049881381446967195,0.6590006488920096,0.7509506002843767
