sample,period,side,person_months,persons,states,uninsured,employer_source,bought_direct,market_or_subsidy
main_age26_64,pre_2017_2020,below400,"75,702","10,642",51,0.110,0.658,0.060,0.099
main_age26_64,pre_2017_2020,above400,"68,885","9,932",51,0.094,0.682,0.061,0.091
main_age26_64,post_2021_2023,below400,"38,532","6,207",51,0.109,0.635,0.072,0.124
main_age26_64,post_2021_2023,above400,"33,361","5,596",51,0.084,0.690,0.058,0.107
older_age50_64,pre_2017_2020,below400,"29,544","4,113",51,0.098,0.656,0.080,0.119
older_age50_64,pre_2017_2020,above400,"26,968","3,884",51,0.080,0.678,0.079,0.109
older_age50_64,post_2021_2023,below400,"13,965","2,307",51,0.083,0.627,0.103,0.161
older_age50_64,post_2021_2023,above400,"13,399","2,186",50,0.062,0.696,0.078,0.121
younger_age26_49,pre_2017_2020,below400,"46,158","6,720",51,0.117,0.659,0.050,0.089
younger_age26_49,pre_2017_2020,above400,"41,917","6,222",51,0.102,0.684,0.052,0.082
younger_age26_49,post_2021_2023,below400,"24,567","3,995",51,0.121,0.639,0.057,0.106
younger_age26_49,post_2021_2023,above400,"19,962","3,483",51,0.096,0.686,0.047,0.099
lag_nonemployer_months,pre_2017_2020,below400,"25,733","4,295",51,0.314,0.016,0.166,0.265
lag_nonemployer_months,pre_2017_2020,above400,"21,487","3,670",51,0.288,0.015,0.182,0.265
lag_nonemployer_months,post_2021_2023,below400,"14,168","2,669",50,0.287,0.018,0.188,0.307
lag_nonemployer_months,post_2021_2023,above400,"10,406","2,101",50,0.262,0.022,0.166,0.296
lag_current_employer_months,pre_2017_2020,below400,"43,499","6,271",47,0.003,0.994,0.004,0.011
lag_current_employer_months,pre_2017_2020,above400,"41,303","6,170",48,0.003,0.995,0.004,0.010
lag_current_employer_months,post_2021_2023,below400,"21,671","3,504",46,0.004,0.993,0.005,0.017
lag_current_employer_months,post_2021_2023,above400,"20,392","3,434",46,0.002,0.994,0.009,0.022
