model,outcome,threshold,bandwidth,donut,fpl_col,post_col,pre_only,coef,se_person_cluster,t_person_cluster,se_state_cluster,t_state_cluster,n_person_months,n_persons,n_person_clusters,n_state_clusters,min_cell_persons
main_bandwidth,uninsured,4.0,0.25,0.0,monthly_fpl,post_year2021,0,-0.025514923321359406,0.016990617510500936,-1.5017066510731631,0.025357785191888728,-1.0061968396798686,109427,15898,15868,52,3793
main_bandwidth,market_or_subsidy,4.0,0.25,0.0,monthly_fpl,post_year2021,0,0.012396050778238688,0.014449943037707571,0.8578615670588328,0.014536123314073177,0.8527755654244777,109427,15898,15868,52,3793
main_bandwidth,direct_purchase,4.0,0.25,0.0,monthly_fpl,post_year2021,0,0.010937315731722519,0.014410505670636554,0.7589820913785731,0.014208807196538192,0.7697560801857644,109427,15898,15868,52,3793
main_bandwidth,source_employer_related,4.0,0.25,0.0,monthly_fpl,post_year2021,0,0.03603323426147398,0.021772492053706356,1.6549889729017033,0.02957108583906497,1.2185292909965506,109427,15898,15868,52,3793
lag_nonemployer_bandwidth,uninsured,4.0,0.25,0.0,monthly_fpl,post_year2021,0,-0.048518678671249926,0.03964388489914068,-1.2238628679981263,0.06741631399082385,-0.719687502906995,35500,6231,6214,52,1424
lag_nonemployer_bandwidth,market_or_subsidy,4.0,0.25,0.0,monthly_fpl,post_year2021,0,0.08692843601893552,0.035920651036677104,2.4200128202068627,0.041956536901245546,2.0718687107933094,35500,6231,6214,52,1424
lag_nonemployer_bandwidth,source_employer_related,4.0,0.25,0.0,monthly_fpl,post_year2021,0,-0.00963906998239128,0.007541900553906455,-1.2780690906085417,0.00870083211816849,-1.1078331188879769,35500,6231,6214,52,1424
main_bandwidth,uninsured,4.0,0.35,0.0,monthly_fpl,post_year2021,0,-0.02832840274258286,0.015499035849433782,-1.827752578791394,0.021701630570991916,-1.3053582609801127,152297,19324,19324,52,4555
main_bandwidth,market_or_subsidy,4.0,0.35,0.0,monthly_fpl,post_year2021,0,0.01852150293298538,0.014018698984077923,1.3211998455792242,0.014422691692487097,1.2841918365788396,152297,19324,19324,52,4555
main_bandwidth,direct_purchase,4.0,0.35,0.0,monthly_fpl,post_year2021,0,0.017962254709028014,0.013976253565205949,1.2851981130154408,0.014087320943854294,1.2750653428439274,152297,19324,19324,52,4555
main_bandwidth,source_employer_related,4.0,0.35,0.0,monthly_fpl,post_year2021,0,0.032064669152748415,0.02022627569226741,1.5852977404538628,0.026333474204063376,1.2176391502417363,152297,19324,19324,52,4555
lag_nonemployer_bandwidth,uninsured,4.0,0.35,0.0,monthly_fpl,post_year2021,0,-0.04780375491488442,0.036032560878992696,-1.3266821382866083,0.059917977901381446,-0.7978198962849559,49955,7806,7806,52,1719
lag_nonemployer_bandwidth,market_or_subsidy,4.0,0.35,0.0,monthly_fpl,post_year2021,0,0.08220595815158038,0.03410612159346027,2.4102992164123136,0.040998803315132656,2.005081892749737,49955,7806,7806,52,1719
lag_nonemployer_bandwidth,source_employer_related,4.0,0.35,0.0,monthly_fpl,post_year2021,0,-0.01115854057313323,0.006697358884341809,-1.6661105916276204,0.00785911741835038,-1.419821079028413,49955,7806,7806,52,1719
main_bandwidth,uninsured,4.0,0.5,0.0,monthly_fpl,post_year2021,0,-0.027739594853920524,0.014147736862895754,-1.9607089899071528,0.015128994102774802,-1.8335386123808997,215972,23888,23858,52,5596
main_bandwidth,market_or_subsidy,4.0,0.5,0.0,monthly_fpl,post_year2021,0,0.020199135123747824,0.013733328386985818,1.4708113397251341,0.014711798822269114,1.3729888076754135,215972,23888,23858,52,5596
main_bandwidth,direct_purchase,4.0,0.5,0.0,monthly_fpl,post_year2021,0,0.020827014769746133,0.013693071553455049,1.5209892600386683,0.014538402026746446,1.432551853458892,215972,23888,23858,52,5596
main_bandwidth,source_employer_related,4.0,0.5,0.0,monthly_fpl,post_year2021,0,0.03008798333050766,0.018966775494118873,1.586352057567044,0.024352183318945522,1.2355353496004524,215972,23888,23858,52,5596
lag_nonemployer_bandwidth,uninsured,4.0,0.5,0.0,monthly_fpl,post_year2021,0,-0.04569127120976679,0.03311027082828633,-1.379972741592087,0.04246440513550242,-1.0759899041083363,71638,9878,9863,52,2101
lag_nonemployer_bandwidth,market_or_subsidy,4.0,0.5,0.0,monthly_fpl,post_year2021,0,0.07390624013344027,0.032824958018652636,2.2515258082415026,0.03502636547520281,2.110017386353225,71638,9878,9863,52,2101
lag_nonemployer_bandwidth,source_employer_related,4.0,0.5,0.0,monthly_fpl,post_year2021,0,-0.01001118679617835,0.005831013580608627,-1.7168862081664724,0.006590294105800212,-1.5190804288032247,71638,9878,9863,52,2101
main_bandwidth,uninsured,4.0,0.75,0.0,monthly_fpl,post_year2021,0,-0.026008276179139367,0.013864265360343716,-1.875921695319786,0.012160491739659192,-2.1387520123317207,216480,23888,23888,52,5596
main_bandwidth,market_or_subsidy,4.0,0.75,0.0,monthly_fpl,post_year2021,0,0.018698020450980013,0.013852583683561426,1.3497857784586833,0.015191036058035852,1.2308588024902365,216480,23888,23888,52,5596
main_bandwidth,direct_purchase,4.0,0.75,0.0,monthly_fpl,post_year2021,0,0.020003756099122083,0.013815355999509255,1.4479363470498083,0.015102312138292573,1.3245492422581893,216480,23888,23888,52,5596
main_bandwidth,source_employer_related,4.0,0.75,0.0,monthly_fpl,post_year2021,0,0.030702729995057076,0.018813162598131858,1.631981323443505,0.023026516585898396,1.3333640753052352,216480,23888,23888,52,5596
lag_nonemployer_bandwidth,uninsured,4.0,0.75,0.0,monthly_fpl,post_year2021,0,-0.03819764006187931,0.03269879121809975,-1.1681667315192918,0.03503904681483128,-1.0901449535354102,71794,9878,9878,52,2101
lag_nonemployer_bandwidth,market_or_subsidy,4.0,0.75,0.0,monthly_fpl,post_year2021,0,0.06815153447353106,0.032934309534241084,2.069317238992832,0.0334045251407595,2.0401886925904535,71794,9878,9878,52,2101
lag_nonemployer_bandwidth,source_employer_related,4.0,0.75,0.0,monthly_fpl,post_year2021,0,-0.00852925317912459,0.005505968763627996,-1.549092184370565,0.006206309477943352,-1.374287442390162,71794,9878,9878,52,2101
main_bandwidth,uninsured,4.0,1.0,0.0,monthly_fpl,post_year2021,0,-0.02549790113570316,0.013912291315407123,-1.8327607262985925,0.011502267902679109,-2.216771627251369,216480,23888,23888,52,5596
main_bandwidth,market_or_subsidy,4.0,1.0,0.0,monthly_fpl,post_year2021,0,0.018345640267155572,0.014003895193270062,1.3100383867462853,0.0154117719620303,1.1903654110866284,216480,23888,23888,52,5596
main_bandwidth,direct_purchase,4.0,1.0,0.0,monthly_fpl,post_year2021,0,0.019836153654702482,0.013967362842871466,1.420178875415002,0.015348267918120845,1.2924034008608254,216480,23888,23888,52,5596
main_bandwidth,source_employer_related,4.0,1.0,0.0,monthly_fpl,post_year2021,0,0.030767883666358742,0.018937664056358248,1.624692653475841,0.022874599708842546,1.3450676321328114,216480,23888,23888,52,5596
lag_nonemployer_bandwidth,uninsured,4.0,1.0,0.0,monthly_fpl,post_year2021,0,-0.03612970124103221,0.03289761573325123,-1.0982468010444342,0.033448758297125264,-1.08015074640715,71794,9878,9878,52,2101
lag_nonemployer_bandwidth,market_or_subsidy,4.0,1.0,0.0,monthly_fpl,post_year2021,0,0.066694598022627,0.03326214529050414,2.00512015806952,0.03320089217522051,2.0088194519183595,71794,9878,9878,52,2101
lag_nonemployer_bandwidth,source_employer_related,4.0,1.0,0.0,monthly_fpl,post_year2021,0,-0.008179463665745373,0.00546668290998648,-1.4962389076570024,0.006141237193009609,-1.3318918336285428,71794,9878,9878,52,2101
main_donut_bw050,uninsured,4.0,0.5,0.025,monthly_fpl,post_year2021,0,-0.03304112709453977,0.0160278428771312,-2.0614830921310947,0.01489408642660609,-2.21840575837647,205349,23686,23656,52,5438
main_donut_bw050,market_or_subsidy,4.0,0.5,0.025,monthly_fpl,post_year2021,0,0.03136364658975066,0.01685896061627514,1.8603546982293278,0.018372453832534746,1.7071016683797862,205349,23686,23656,52,5438
main_donut_bw050,direct_purchase,4.0,0.5,0.025,monthly_fpl,post_year2021,0,0.03232051323252638,0.01680807596853574,1.9229157039169447,0.01821035536743905,1.7748425321955519,205349,23686,23656,52,5438
main_donut_bw050,source_employer_related,4.0,0.5,0.025,monthly_fpl,post_year2021,0,0.0259109631353569,0.02241891366075219,1.1557635453460036,0.026844794798855733,0.9652136784618434,205349,23686,23656,52,5438
lag_nonemployer_donut_bw050,uninsured,4.0,0.5,0.025,monthly_fpl,post_year2021,0,-0.05983677147772726,0.03782379463466547,-1.5819875307509976,0.04354732623223306,-1.3740630402570386,68286,9760,9745,52,2035
lag_nonemployer_donut_bw050,market_or_subsidy,4.0,0.5,0.025,monthly_fpl,post_year2021,0,0.08436802642430008,0.039380019107236264,2.1424069448660337,0.03997289982041977,2.110630622329819,68286,9760,9745,52,2035
lag_nonemployer_donut_bw050,source_employer_related,4.0,0.5,0.025,monthly_fpl,post_year2021,0,-0.011098802125568796,0.0069332965472810116,-1.600797261429896,0.007051975591004484,-1.5738571386614628,68286,9760,9745,52,2035
main_donut_bw050,uninsured,4.0,0.5,0.05,monthly_fpl,post_year2021,0,-0.024598218951126682,0.01878608610962339,-1.3093849782007525,0.016272493558040963,-1.511644104413955,194353,23331,23299,52,5255
main_donut_bw050,market_or_subsidy,4.0,0.5,0.05,monthly_fpl,post_year2021,0,0.02993556718395385,0.01985306704518361,1.5078560464145652,0.022730038473018233,1.3170046860892455,194353,23331,23299,52,5255
main_donut_bw050,direct_purchase,4.0,0.5,0.05,monthly_fpl,post_year2021,0,0.03211174511221082,0.019800052423456106,1.6218010147371977,0.02283396010031114,1.4063151976766946,194353,23331,23299,52,5255
main_donut_bw050,source_employer_related,4.0,0.5,0.05,monthly_fpl,post_year2021,0,0.01030769293157796,0.02600685079387536,0.3963452942947415,0.02633697985868648,0.39137718094044377,194353,23331,23299,52,5255
lag_nonemployer_donut_bw050,uninsured,4.0,0.5,0.05,monthly_fpl,post_year2021,0,-0.035141208089858544,0.04360402487089759,-0.8059166142094525,0.045248217028923586,-0.776631885128105,64866,9605,9590,52,1964
lag_nonemployer_donut_bw050,market_or_subsidy,4.0,0.5,0.05,monthly_fpl,post_year2021,0,0.04061760269940029,0.047368440810528885,0.8574823659885372,0.04828539655021119,0.841198490669176,64866,9605,9590,52,1964
lag_nonemployer_donut_bw050,source_employer_related,4.0,0.5,0.05,monthly_fpl,post_year2021,0,-0.01134814049730326,0.007842232806572367,-1.447054783657109,0.007906245808384532,-1.435338689478718,64866,9605,9590,52,1964
main_donut_bw050,uninsured,4.0,0.5,0.1,monthly_fpl,post_year2021,0,-0.029613018693425364,0.024676303486048365,-1.2000589436002094,0.021402130080277786,-1.3836481968079415,171769,22253,22212,52,4864
main_donut_bw050,market_or_subsidy,4.0,0.5,0.1,monthly_fpl,post_year2021,0,0.02564098008890081,0.02583797437346592,0.992375784505483,0.03236040063452518,0.7923566947914901,171769,22253,22212,52,4864
main_donut_bw050,direct_purchase,4.0,0.5,0.1,monthly_fpl,post_year2021,0,0.029570960361342546,0.025794765378220882,1.146393848819807,0.03281433850739373,0.9011597279244138,171769,22253,22212,52,4864
main_donut_bw050,source_employer_related,4.0,0.5,0.1,monthly_fpl,post_year2021,0,0.028046818678094,0.03403416186650474,0.8240784300228858,0.03618890675783471,0.7750114935987119,171769,22253,22212,52,4864
lag_nonemployer_donut_bw050,uninsured,4.0,0.5,0.1,monthly_fpl,post_year2021,0,-0.03167369749587223,0.057410924993949716,-0.551701570723868,0.056059233984518224,-0.5650041080586207,57560,9115,9097,52,1788
lag_nonemployer_donut_bw050,market_or_subsidy,4.0,0.5,0.1,monthly_fpl,post_year2021,0,0.06758867323242779,0.061137324117292544,1.1055222682425268,0.06553723989195684,1.0313017964115194,57560,9115,9097,52,1788
lag_nonemployer_donut_bw050,source_employer_related,4.0,0.5,0.1,monthly_fpl,post_year2021,0,-0.018301891140034166,0.011239411950053416,-1.6283673221842523,0.009158733414604572,-1.99829936209846,57560,9115,9097,52,1788
main_donut_bw050,uninsured,4.0,0.5,0.15,monthly_fpl,post_year2021,0,-0.01970375492001697,0.031390382049493216,-0.6277003857089111,0.035786058619382964,-0.5505986319863886,150524,20920,20877,52,4445
main_donut_bw050,market_or_subsidy,4.0,0.5,0.15,monthly_fpl,post_year2021,0,0.00524221876718034,0.03253776056839365,0.16111184899038494,0.0439752078263808,0.11920850466192735,150524,20920,20877,52,4445
main_donut_bw050,direct_purchase,4.0,0.5,0.15,monthly_fpl,post_year2021,0,0.011724560011226792,0.03244854294370358,0.3613277807748796,0.044862521007862484,0.2613442077669237,150524,20920,20877,52,4445
main_donut_bw050,source_employer_related,4.0,0.5,0.15,monthly_fpl,post_year2021,0,0.02976177818145942,0.043735273697440125,0.6804982721121375,0.05438671416130209,0.5472251567393989,150524,20920,20877,52,4445
lag_nonemployer_donut_bw050,uninsured,4.0,0.5,0.15,monthly_fpl,post_year2021,0,-0.02590172961526438,0.07660304912559827,-0.33812922476226676,0.09244840418110113,-0.28017497808317354,50503,8498,8478,52,1612
lag_nonemployer_donut_bw050,market_or_subsidy,4.0,0.5,0.15,monthly_fpl,post_year2021,0,0.00904385244355499,0.07510551132700984,0.12041529687718926,0.08575888698256337,0.10545673762526558,50503,8498,8478,52,1612
lag_nonemployer_donut_bw050,source_employer_related,4.0,0.5,0.15,monthly_fpl,post_year2021,0,-0.0031584218436951916,0.012425315586298544,-0.25419248483137113,0.01355898668628539,-0.23293937200261908,50503,8498,8478,52,1612
