model,fpl_col,post_col,outcome,coef,se_hc1,t_hc1,se_person_cluster,t_person_cluster,se_state_cluster,t_state_cluster,n_person_months,n_persons,n_person_clusters,n_state_clusters,weighted_mean
main_age26_64,monthly_fpl,post_year2021,uninsured,-0.027739594853920524,0.007040278234666383,-3.9401276383269273,0.014147736862895754,-1.9607089899071528,0.015128994102774802,-1.8335386123808997,215972,23888,23858,52,0.10036807959121216
main_age26_64,monthly_fpl,post_year2021,any_coverage,0.027739594853695593,0.007040278234666494,3.940127638294916,0.014147736862896424,1.9607089898911612,0.015128994102762265,1.8335386123675514,215972,23888,23858,52,0.8996319204087878
main_age26_64,monthly_fpl,post_year2021,private,0.026489168195221957,0.008482828136267788,3.1226812296207225,0.016964280993255948,1.561467191315245,0.02020809267912462,1.3108198094610788,215972,23888,23858,52,0.838762189383081
main_age26_64,monthly_fpl,post_year2021,rpritype1_employer,0.03423535726754867,0.009182958530596478,3.72814024515963,0.018607144212893702,1.8399039033526434,0.02322318562541666,1.4741886759101526,215972,23888,23858,52,0.6800407728904138
main_age26_64,monthly_fpl,post_year2021,source_employer_related,0.03008798333050766,0.009356003243613308,3.215901335973417,0.018966775494118873,1.586352057567044,0.024352183318945522,1.2355353496004524,215972,23888,23858,52,0.6654786059698066
main_age26_64,monthly_fpl,post_year2021,source_current_employer,0.01290601021541704,0.009749117787674401,1.323813138429185,0.01978657333645795,0.6522610052765904,0.02349018925255838,0.5494212957016263,215972,23888,23858,52,0.6277275163737919
main_age26_64,monthly_fpl,post_year2021,source_former_employer,0.01470767153246405,0.003400728620414634,4.32485892704688,0.006902608369336096,2.130741126470523,0.007927876735158112,1.8551841840879384,215972,23888,23858,52,0.02760696898214478
main_age26_64,monthly_fpl,post_year2021,source_union,0.0024198004850217517,0.0017749207048924779,1.363328783281245,0.003740297434927823,0.6469540262827913,0.004258670101276378,0.568205666904442,215972,23888,23858,52,0.011468691295833158
main_age26_64,monthly_fpl,post_year2021,source_bought_direct,0.00728171255096538,0.00536214445613963,1.3579851513749979,0.010817619013324394,0.6731344986356305,0.010680490616792809,0.6817769718852081,215972,23888,23858,52,0.06260708188522422
main_age26_64,monthly_fpl,post_year2021,direct_purchase,0.020827014769746133,0.006808399074546094,3.059017919147849,0.013693071553455049,1.5209892600386683,0.014538402026746446,1.432551853458892,215972,23888,23858,52,0.10332075015196993
