reference_year,outcome,coef_above,se_person_cluster,t_person_cluster,n,persons
2017,uninsured,0.010701357150674155,0.016101581843007765,0.6646152691712897,43123,5783
2017,employer_private,-0.028282728216689288,0.02136929870987327,-1.3235215905153594,43123,5783
2017,direct_purchase,0.018679737140853952,0.0164009436359759,1.1389428288674475,43123,5783
2017,marketplace_flag,0.020371810615852994,0.01322713535664836,1.540152880163391,43123,5783
2017,market_or_subsidy,0.01896381768644854,0.016389737166709283,1.1570544111572278,43123,5783
2018,uninsured,0.02562309921674988,0.015867842751224423,1.6147815187274088,32674,4531
2018,employer_private,-0.03101999125735681,0.02195225244185253,-1.413066442248833,32674,4531
2018,direct_purchase,-0.018101487332931706,0.016179578264223126,-1.11878610414453,32674,4531
2018,marketplace_flag,-0.03337398551550443,0.013439812578319587,-2.4832180747328,32674,4531
2018,market_or_subsidy,-0.020544042899848288,0.01624508140411346,-1.26463157609332,32674,4531
2019,uninsured,-0.010558367276764919,0.021399045365120245,-0.4934036587433343,33620,4722
2019,employer_private,0.02119922657205857,0.024657234074127576,0.8597568773661667,33620,4722
2019,direct_purchase,0.00036489606670811285,0.015479706844230121,0.023572543742591844,33620,4722
2019,marketplace_flag,0.009079888205100953,0.013668291908181772,0.6643030647937638,33620,4722
2019,market_or_subsidy,-0.001458316464726746,0.01563581150556621,-0.09326771841727552,33620,4722
2020,uninsured,0.024171174030897028,0.017955981869908075,1.3461349095815707,35346,5414
2020,employer_private,-0.023521897812707387,0.023733637980938947,-0.9910784782172201,35346,5414
2020,direct_purchase,0.0026824448525016396,0.01605718510565352,0.16705573454198935,35346,5414
2020,marketplace_flag,0.0017181700887776237,0.014072337679979905,0.12209556989397637,35346,5414
2020,market_or_subsidy,0.0040224407209493804,0.016075999372614558,0.25021403818922777,35346,5414
2021,uninsured,-0.01431596713034433,0.012268155051947111,-1.1669209485636722,25074,3897
2021,employer_private,0.00744904486026684,0.018499869725051327,0.402653908972117,25074,3897
2021,direct_purchase,-0.0029334662608603325,0.013988938901536655,-0.20969898299706616,25074,3897
2021,marketplace_flag,-0.009627313411954334,0.01280415279137729,-0.751889919529675,25074,3897
2021,market_or_subsidy,-0.0033491276652418724,0.014040145691977373,-0.2385393811942838,25074,3897
2022,uninsured,-0.006355168098564447,0.018091817912244124,-0.3512730522377973,24569,3765
2022,employer_private,0.04506143948749865,0.02317224941623164,1.9446294866796197,24569,3765
2022,direct_purchase,0.0482291074522169,0.017273582128352102,2.792073299785095,24569,3765
2022,marketplace_flag,0.04220857608334389,0.015439597803853925,2.733787279925652,24569,3765
2022,market_or_subsidy,0.04721688103649039,0.017274357005574097,2.7333510023704166,24569,3765
2023,uninsured,-0.013456343682374063,0.019562049341050703,-0.687880060405333,22690,3278
2023,employer_private,-0.0033216496496532265,0.027020742031204602,-0.12292962368750852,22690,3278
2023,direct_purchase,0.017927994532727632,0.020199893800535287,0.8875291479132702,22690,3278
2023,marketplace_flag,0.014274001792570972,0.019053152114157285,0.7491674714529148,22690,3278
2023,market_or_subsidy,0.01647725648615427,0.02025411449270694,0.8135263821129955,22690,3278
