reference_year,ui_year,period,rows,persons,uninsured,direct_purchase,marketplace_flag,subsidized_private,market_or_subsidy,private,public,medicaid
2019,0,full_year,240836,21266,0.1517735831025316,0.12530596872805744,0.09492468422450745,0.03779930617998778,0.12755588320115774,0.7207849207587912,0.15524728385077863,0.12859756501007763
2019,1,full_year,5020,447,0.22593261827274636,0.14322974267157743,0.12134065073836744,0.03488087376009459,0.14390423404037775,0.6057953459244143,0.22063205983502568,0.187788944784899
2019,0,jan_mar,60366,20459,0.15192075850854042,0.12671633754652564,0.09558205841058047,0.03845028061125619,0.12893631620321558,0.7229238275575597,0.1530281740391683,0.12621716275087996
2019,1,jan_mar,1253,426,0.2081614942722625,0.13193788031281475,0.11657711843285602,0.03715343214331526,0.13256802588421854,0.635178604250791,0.20400860718946284,0.17289638547167532
2019,0,apr_sep,120723,20773,0.15264270039381278,0.12454886446640133,0.09439159589645538,0.037642428119027564,0.12676591889510513,0.7199141715584686,0.15463490585878842,0.12819973410687438
2019,1,apr_sep,2520,433,0.2322574751154277,0.14384028545299848,0.12186028504660378,0.03452435136229629,0.14434923120632556,0.59993201703992,0.2222349547702405,0.18842474611214152
2019,0,jul_dec,119976,20582,0.15137608443514358,0.12465347084122089,0.09463831472409388,0.03748213388769446,0.12693339304677886,0.7195756214476342,0.15698883429015956,0.13041448954729132
2019,1,jul_dec,2502,435,0.23255633082754526,0.15059098684233646,0.12277771115177279,0.032734566675057676,0.15131857767757192,0.5911730368352749,0.2305796719227927,0.197689951503318
2020,0,full_year,231842,20614,0.14229119894544315,0.12113328551218455,0.09373537298187645,0.03493497823275574,0.12322077168446455,0.7324339754372025,0.1600203284407046,0.13355119506380397
2020,1,full_year,31358,2783,0.16562163389639029,0.1892022149597583,0.17075830198820022,0.06792263095145848,0.19279700926154672,0.6281708472407538,0.24296906578476077,0.22447473796607526
2021,0,full_year,176867,15746,0.1453608089956541,0.14379504656505435,0.11744441517080523,0.039690705018238535,0.1449200898740993,0.716342483276671,0.17420532441365544,0.14963631728211463
2021,1,full_year,10446,931,0.17422756449463841,0.272055647671192,0.24912686665440065,0.08003985205224735,0.2733675073646465,0.5312358760639369,0.3613380717592684,0.3291084447383599
2021,0,jan_mar,44055,14973,0.1479656652539983,0.14271783356841786,0.11601823971519458,0.03950053159555869,0.14384014746991702,0.7153790049434341,0.17172630692988566,0.14739907888456097
2021,1,jan_mar,2606,887,0.1778357468180926,0.25699074478903877,0.23228513747339613,0.07924312433736667,0.2582796180670008,0.5371108193441628,0.346080065814135,0.3154036128384626
2021,0,apr_sep,88789,15297,0.1458737786184921,0.14352166598632818,0.11716818846782436,0.039826983235966056,0.14462882191549678,0.7159402758062058,0.1737936898367767,0.14931741340905932
2021,1,apr_sep,5235,904,0.17515950040244557,0.2719146143744759,0.2496506025602732,0.07980921473939717,0.2732050068878843,0.5288953152493705,0.36296060209365255,0.3303521507259404
2021,0,jul_dec,88436,15264,0.14360235296116922,0.1448783388864081,0.11869960931099766,0.03990659123949641,0.14601916852146857,0.7169192758498085,0.17604324350037082,0.15118042355552003
2021,1,jul_dec,5226,899,0.17182183928241052,0.2821203580759972,0.25984312011177446,0.07968820388047612,0.28345901697105697,0.5273045080384992,0.3711463313103468,0.33793580266289036
2022,0,full_year,178744,15885,0.1274664338327124,0.14766820079010337,0.1224485340114495,0.0399443880017626,0.14932101337628348,0.7279714336183092,0.18733492506669638,0.16176527363960283
2022,1,full_year,2738,246,0.15428853503075146,0.2531361554203751,0.21986173305038573,0.04288594269611962,0.2565284245692722,0.6250832762363252,0.30261468237395567,0.26340242278339304
2022,0,jan_mar,44579,15164,0.13080972680578937,0.14830855266778079,0.12225935542917414,0.040458677656187325,0.14986041302302275,0.7254753707836049,0.18557395690300557,0.15981190844207613
2022,1,jan_mar,675,230,0.13484456760988017,0.23278217546432456,0.21092303997544165,0.04559113925902031,0.23746732776218055,0.6419402039705525,0.2855692916690212,0.24835276079561078
2022,0,apr_sep,89762,15478,0.12705434061240525,0.1466400061365287,0.12152591503169272,0.039500464305904766,0.14831869526167057,0.7291841099230658,0.18640835692722824,0.16097906481721636
2022,1,apr_sep,1378,238,0.15735412362889087,0.2576041211898918,0.22180653766825806,0.04265749884474204,0.26100095060259904,0.6192589193326544,0.30584136487078806,0.26597695085734385
2022,0,jul_dec,89259,15378,0.12573452962484533,0.14791931410681844,0.12317426830693591,0.03984977956221865,0.14961237792634008,0.7283553071535164,0.1891889486922755,0.16368679056578403
2022,1,jul_dec,1375,241,0.16669684814209576,0.2619241538649635,0.2239179061965114,0.04093566052700332,0.264073795178043,0.6172308983770457,0.3103651401055253,0.2704142393473218
2023,0,full_year,163396,14507,0.13009094079542863,0.15507866928917519,0.12886288017718028,0.04977415459885479,0.15676154393577732,0.7264494118241775,0.18178647028099856,0.15727835609804
2023,1,full_year,2971,275,0.14672228871009144,0.19357018742278878,0.1781413239830736,0.05726294010084871,0.19357018742278878,0.6453359612635604,0.25537187452946336,0.2131708147066645
