model,outcome,term,coef,se,t,n_person_years,n_persons,n_states,weighted_mean
family_glitch_2023,direct_market,family_glitch_treat,0.015880165453491697,0.009533270551330708,1.6657625909164042,57935,38834,52,0.13437270861239042
family_glitch_2023,exchange_subsidy,family_glitch_treat,0.02135125044836008,0.008871799918839823,2.406642467558287,57935,38834,52,0.10926789062450545
family_glitch_2023,uninsured,family_glitch_treat,0.014151010126864764,0.009384319828766323,1.5079420123221734,57935,38834,52,0.13115801514149458
family_glitch_2023,any_coverage,family_glitch_treat,-0.014151010126374939,0.009384319828766181,-1.5079420122700002,57935,38834,52,0.8688419848585054
family_glitch_2023,private,family_glitch_treat,0.0024805718259548496,0.012093796421614112,0.20511109493471838,57935,38834,52,0.7294136802949308
family_glitch_2023,oop_any,family_glitch_treat,-0.006031340511384436,0.013733089397863038,-0.43918308085309293,57935,38834,52,0.6082811454765364
family_glitch_2023,doctor_any,family_glitch_treat,0.019186621683374764,0.012915247629333246,1.485579079397433,57935,38834,52,0.7255210902930924
stldi_2018_expansion_permissive,direct_market,stldi_treat,-0.005270119909006388,0.011978000616584467,-0.4399832724761677,72394,45675,52,0.10399363199625888
stldi_2018_expansion_permissive,exchange_subsidy,stldi_treat,-0.00941533543980122,0.01027878001859563,-0.9159973676611107,72394,45675,52,0.0748088326665311
stldi_2018_expansion_permissive,uninsured,stldi_treat,0.007351432996599128,0.01137950677930543,0.6460238689754387,72394,45675,52,0.1073768863449593
stldi_2018_expansion_permissive,any_coverage,stldi_treat,-0.007351432995335916,0.011379506779304327,-0.6460238688644937,72394,45675,52,0.8926231136550407
stldi_2018_expansion_permissive,private,stldi_treat,0.007308882172741615,0.014014028318802491,0.5215404169645752,72394,45675,52,0.8060935620696065
stldi_2018_expansion_permissive,oop_any,stldi_treat,-0.028130913545229674,0.0198309926290718,-1.418532802235546,72394,45675,52,0.6421490974321333
