model,sample,outcome,term,coef,se,t,n_persons,n_states,treated_persons,weighted_delta_mean
family_glitch_2022_2023_first_difference,all_observed_2022_2023,direct_market,family_exposed_2022,0.027885530405140073,0.019038510264998507,1.4646907776395948,3761,52,2559,-0.002572149531302223
family_glitch_2022_2023_first_difference,all_observed_2022_2023,exchange_subsidy,family_exposed_2022,0.022759423164155985,0.01774601457819602,1.2825089861089027,3761,52,2559,0.0002636753855344189
family_glitch_2022_2023_first_difference,all_observed_2022_2023,uninsured,family_exposed_2022,-0.0031053594518101143,0.014058582992616956,-0.22088708751379377,3761,52,2559,-0.018154026446218004
family_glitch_2022_2023_first_difference,all_observed_2022_2023,any_coverage,family_exposed_2022,0.003105359451810111,0.01405858299261696,0.2208870875137935,3761,52,2559,0.018154026446218004
family_glitch_2022_2023_first_difference,all_observed_2022_2023,private,family_exposed_2022,0.013833465747326964,0.017015607616498903,0.8129868799932582,3761,52,2559,0.02203469131420328
family_glitch_2022_2023_first_difference,all_observed_2022_2023,oop_any,family_exposed_2022,0.031225471468695656,0.02984732815996997,1.0461730879675184,3761,52,2559,0.00832171660227851
family_glitch_2022_2023_first_difference,all_observed_2022_2023,doctor_any,family_exposed_2022,0.012403687355361348,0.025999437625723994,0.4770752173150495,3761,52,2559,0.01203136817402555
family_glitch_2022_2023_first_difference,baseline_employer_like_private,direct_market,family_exposed_2022,0.0017991541639301029,0.015607447470217466,0.1152753624424042,2445,52,1698,0.05031791107971268
family_glitch_2022_2023_first_difference,baseline_employer_like_private,exchange_subsidy,family_exposed_2022,0.00038801997749138284,0.013319146731443696,0.02913249514515442,2445,52,1698,0.03433072141544716
family_glitch_2022_2023_first_difference,baseline_employer_like_private,uninsured,family_exposed_2022,-0.01548976815703312,0.01106294310331815,-1.4001489488260332,2445,52,1698,0.01935244447752315
family_glitch_2022_2023_first_difference,baseline_employer_like_private,any_coverage,family_exposed_2022,0.015489768157033122,0.01106294310331816,1.400148948826032,2445,52,1698,-0.01935244447752315
family_glitch_2022_2023_first_difference,baseline_employer_like_private,private,family_exposed_2022,0.047725890410659985,0.015627779053408022,3.0539138189474326,2445,52,1698,-0.03773008844444618
family_glitch_2022_2023_first_difference,baseline_employer_like_private,oop_any,family_exposed_2022,0.0029775077353414196,0.035510692267374896,0.08384820304043962,2445,52,1698,-0.0016405454742161375
family_glitch_2022_2023_first_difference,baseline_employer_like_private,doctor_any,family_exposed_2022,0.04185644003373495,0.031166954250662696,1.3429749887365066,2445,52,1698,0.0031623553547783147
