high_need,period,medicare,rows,persons,weighted_share_med_debt,weighted_oop_amount
diabetes_bridge,pre_2020_2022,0,521,461,0.2604333552104052,1044.4095149208674
diabetes_bridge,pre_2020_2022,1,1277,1131,0.16294099365709086,1054.6731745378224
diabetes_bridge,post_2023,0,166,166,0.27891157390061794,1153.7248512813092
diabetes_bridge,post_2023,1,419,419,0.1885992161220588,775.844785305555
daily_rx,pre_2020_2022,0,12356,9567,0.14657427274067072,1372.547527886069
daily_rx,pre_2020_2022,1,24096,17161,0.09222686849733651,1010.2690269374715
daily_rx,post_2023,0,3301,3300,0.15359551231287052,1414.1100478658564
daily_rx,post_2023,1,6661,6659,0.09417811620881113,1042.907601410464
diabetes_or_daily_rx,pre_2020_2022,0,12411,9614,0.14664274460251647,1370.878515618956
diabetes_or_daily_rx,pre_2020_2022,1,24132,17180,0.09224139824756372,1009.5612251100678
diabetes_or_daily_rx,post_2023,0,3313,3312,0.15438476245708474,1415.8922040312495
diabetes_or_daily_rx,post_2023,1,6669,6667,0.09436590397911124,1044.1828081053334
