sensitivity,outcome,cluster,coef,se_hc1,t_hc1,se_cluster,t_cluster,n,clusters
main,uninsured,state_fips,-0.027819478152459755,0.021973348177093833,-1.2660554926927445,0.033835158493006105,-0.8222062313735039,47048,47
main,uninsured,person_id,-0.027819478152459755,0.021973348177093833,-1.2660554926927445,0.051687334387451336,-0.5382262111627443,47048,8208
main,any_coverage,state_fips,0.02781947815358358,0.021973348177094388,1.2660554927438576,0.03383515849317505,0.8222062314026134,47048,47
main,any_coverage,person_id,0.02781947815358358,0.021973348177094388,1.2660554927438576,0.05168733438745392,0.5382262111844601,47048,8208
main,direct_purchase,state_fips,0.0221112982173665,0.0254047800584795,0.8703597577490653,0.05780878643896327,0.38249026799260794,47048,47
main,direct_purchase,person_id,0.0221112982173665,0.0254047800584795,0.8703597577490653,0.05977197710091603,0.3699275026495257,47048,8208
main,marketplace_flag,state_fips,0.015415296874340892,0.023345802773366,0.6603027115403971,0.05032473229644086,0.30631652014632005,47048,47
main,marketplace_flag,person_id,0.015415296874340892,0.023345802773366,0.6603027115403971,0.05504017960232876,0.2800735205756608,47048,8208
main,subsidized_private,state_fips,0.05088627848244264,0.01346153830119242,3.7801235894366654,0.044695755156460015,1.1385036074301094,47048,47
main,subsidized_private,person_id,0.05088627848244264,0.01346153830119242,3.7801235894366654,0.032687955063930595,1.5567287211121053,47048,8208
main,market_or_subsidy,state_fips,0.017417495665811827,0.025360478478926533,0.686796807886926,0.05925326932013953,0.29394995188715795,47048,47
main,market_or_subsidy,person_id,0.017417495665811827,0.025360478478926533,0.686796807886926,0.05966679495960637,0.29191270752188453,47048,8208
main,private,state_fips,-0.010441514378739511,0.02607051826409707,-0.40051042610529947,0.04140251509761635,-0.25219517109337775,47048,47
main,private,person_id,-0.010441514378739511,0.02607051826409707,-0.40051042610529947,0.06116595450489576,-0.1707079446933795,47048,8208
main,public,state_fips,0.005188686686308803,0.00733468573016857,0.7074177241114805,0.022413878575348514,0.2314943693866301,47048,47
main,public,person_id,0.005188686686308803,0.00733468573016857,0.7074177241114805,0.01838004713816544,0.282299966224499,47048,8208
main,medicaid,state_fips,7.539059654337876e-12,1.6457099790885714e-13,45.81037819624309,3.4933721719942823e-12,2.1581037699839487,47048,47
main,medicaid,person_id,7.539059654337876e-12,1.6457099790885714e-13,45.81037819624309,4.0859801729179606e-13,18.45104316537575,47048,8208
main,oop_any,state_fips,-0.02059292612800972,0.030325623125593563,-0.679060279906669,0.07705562212212326,-0.2672475487300924,47048,47
main,oop_any,person_id,-0.02059292612800972,0.030325623125593563,-0.679060279906669,0.07339996097167444,-0.2805577258543322,47048,8208
main,doctor_any,state_fips,-0.10457167064177364,0.028226486392782243,-3.70473565808437,0.05649912765542914,-1.850854605747618,47048,47
main,doctor_any,person_id,-0.10457167064177364,0.028226486392782243,-3.70473565808437,0.0679975277073646,-1.537874598791447,47048,8208
nondisabled,uninsured,state_fips,-0.06582561148439249,0.025335008317944822,-2.5982076128930305,0.040712102620393764,-1.616856100461358,37031,47
nondisabled,uninsured,person_id,-0.06582561148439249,0.025335008317944822,-2.5982076128930305,0.059485480314937146,-1.1065828356077558,37031,6562
nondisabled,any_coverage,state_fips,0.06582561148612612,0.025335008317944822,2.598207612961459,0.04071210262060721,1.6168561004954636,37031,47
nondisabled,any_coverage,person_id,0.06582561148612612,0.025335008317944822,2.598207612961459,0.05948548031493805,1.1065828356368828,37031,6562
nondisabled,direct_purchase,state_fips,0.050893729194312926,0.028100153870570996,1.8111548224514673,0.07487856202230625,0.6796835812518907,37031,47
nondisabled,direct_purchase,person_id,0.050893729194312926,0.028100153870570996,1.8111548224514673,0.06619884141004807,0.7688009051256289,37031,6562
nondisabled,marketplace_flag,state_fips,0.03296778680500853,0.025594577550564126,1.2880770053687365,0.06790846884783089,0.485473864517291,37031,47
nondisabled,marketplace_flag,person_id,0.03296778680500853,0.025594577550564126,1.2880770053687365,0.061011113586529775,0.5403570737690528,37031,6562
nondisabled,subsidized_private,state_fips,0.07069132221673634,0.015340544153156124,4.608136550501208,0.04986388613141427,1.4176857782490557,37031,47
