sensitivity,hcg_state,target_138_150,post_2022,person_months,persons,states,uninsured,direct_purchase,marketplace_flag,subsidized_private,market_or_subsidy,private,public,medicaid
main,0,0,0,7459,1376,13,0.16586985131125018,0.2937884531705991,0.2659233469239679,0.06682216936956406,0.2975286046789312,0.5024878291052647,0.39166460616332277,0.3831991683746728
main,0,0,1,4988,975,13,0.1826850008947497,0.31871743879209774,0.2981967053415949,0.062440686128323035,0.3206683277655315,0.4533323469880256,0.42473985191027097,0.41459975393914184
main,0,1,0,1354,332,11,0.21108998427858872,0.28198642986450906,0.24980217940276508,0.03851177815474872,0.28198642986450906,0.4431573328193661,0.4038744610031522,0.3932801501676217
main,0,1,1,1085,286,11,0.18546783281328488,0.34254418711035456,0.29546324236483207,0.016551414860598607,0.34254418711035456,0.4126736406119383,0.4774110430722225,0.4530828429069182
main,1,0,0,16137,2939,34,0.28671124156403316,0.14712018880619138,0.11090193626622648,0.06685832492371843,0.15235986398320292,0.5480048919378514,0.1969910481034933,0.17991364325114337
main,1,0,1,10296,1906,34,0.23542855015235198,0.1906043215980994,0.15834005145846233,0.06932859683964851,0.19494920128903204,0.5728912533012767,0.24482634268767153,0.23280394919352437
main,1,1,0,3368,802,32,0.35438358789055036,0.15466406768322075,0.13876226574384706,0.07812680856789135,0.1615283708854909,0.41723455609966137,0.2707880216564115,0.2582214416755074
main,1,1,1,2361,600,31,0.23517476510599195,0.24184787500022997,0.20550025520265233,0.11409902851017326,0.24375778932188066,0.4454509206021659,0.36970379240706147,0.34830558038165016
nondisabled,0,0,0,6104,1139,13,0.1815886806932382,0.27494099244511905,0.24477807796714293,0.06664595498287135,0.27606617246858645,0.5258389305680987,0.3419788509161108,0.33632398750477505
nondisabled,0,0,1,3822,795,13,0.20541281373851347,0.3001230767620946,0.2757361018524095,0.06086384118881483,0.30263899270434874,0.47818516626472685,0.3666749633198625,0.3602937434359358
nondisabled,0,1,0,1160,276,11,0.20628966077350588,0.27200231921691886,0.2345730879940785,0.0447879390905881,0.27200231921691886,0.4572144318366353,0.39517816292157204,0.38285732573504
nondisabled,0,1,1,854,232,11,0.2101140982254807,0.31580654024465954,0.2704886359200982,0.010571939512993362,0.31580654024465954,0.4258518306499395,0.43795280961911204,0.43262088956987277
nondisabled,1,0,0,12624,2343,34,0.29640026086408167,0.14471205864499248,0.10412744857921521,0.06636668882919612,0.15005651251023377,0.5676089435933029,0.16333298824370365,0.14810865537171464
nondisabled,1,0,1,8084,1484,34,0.2444009928989823,0.19633779292455844,0.1585772048709863,0.06866650219620668,0.19732998114134115,0.6056729353127274,0.2049060736312795,0.19443080079509364
nondisabled,1,1,0,2600,625,32,0.39122099616029066,0.16086429582077375,0.14161429182945331,0.08932407477270991,0.1634034657924349,0.4447664249627177,0.2105050145157153,0.201784767520512
nondisabled,1,1,1,1783,456,29,0.24486376884174654,0.25158286245881667,0.2136320799958415,0.12362696346691518,0.2519842096339441,0.49412237921858654,0.3098043741512602,0.28811487876274905
no_medicaid,0,0,0,4670,882,13,0.2689196298165938,0.1386253059065888,0.09522063890539834,0.07279301071820153,0.1386253059065888,0.7211659775096555,0.013724750931905744,0.0
no_medicaid,0,0,1,2792,588,13,0.31206854135103623,0.11359082333326684,0.0788689984162427,0.056332607593251115,0.11359082333326684,0.6728474211074247,0.017321649656558153,0.0
no_medicaid,0,1,0,797,192,11,0.3479200232807739,0.12046951527313318,0.0674232032550977,0.018711389214081532,0.12046951527313318,0.6409011583203782,0.01746161896377293,0.0
no_medicaid,0,1,1,568,157,10,0.3391150385536716,0.1190434086877421,0.03295917429333706,0.023809970435032395,0.1190434086877421,0.6178770275373646,0.04448242270293923,0.0
no_medicaid,1,0,0,13190,2417,34,0.3496110369408763,0.12750456984650302,0.08539129957504181,0.060880766689496914,0.12750456984650302,0.6353053597804633,0.02082391044773803,0.0
no_medicaid,1,0,1,7949,1481,34,0.30686882434401186,0.15423902665403544,0.11342500004028666,0.0752983359690386,0.15423902665403544,0.682693691727127,0.015670562278715126,0.0
no_medicaid,1,1,0,2480,605,31,0.47774849234119343,0.125151927171478,0.10371452949946629,0.08272254212131934,0.125151927171478,0.5053103601426406,0.016941147516165902,0.0
no_medicaid,1,1,1,1682,431,30,0.3608666240286617,0.24455002310863028,0.1908180032631667,0.16855833329904377,0.24455002310863028,0.60807110633428,0.032834732631196496,0.0
broad_no_medicaid,0,0,0,4670,882,13,0.2689196298165938,0.1386253059065888,0.09522063890539834,0.07279301071820153,0.1386253059065888,0.7211659775096555,0.013724750931905744,0.0
broad_no_medicaid,0,0,1,2792,588,13,0.31206854135103623,0.11359082333326684,0.0788689984162427,0.056332607593251115,0.11359082333326684,0.6728474211074247,0.017321649656558153,0.0
broad_no_medicaid,0,1,0,3027,607,12,0.36971040728375937,0.1494758895013552,0.08283604342441557,0.04495758091016976,0.1494758895013552,0.6117966131683367,0.022162864248337136,0.0
broad_no_medicaid,0,1,1,1900,422,12,0.32612863239182255,0.17550135827603905,0.11459470921582772,0.07470904202548956,0.17550135827603905,0.6235933824904117,0.05532178250450977,0.0
broad_no_medicaid,1,0,0,13190,2417,34,0.3496110369408763,0.12750456984650302,0.08539129957504181,0.060880766689496914,0.12750456984650302,0.6353053597804633,0.02082391044773803,0.0
broad_no_medicaid,1,0,1,7949,1481,34,0.30686882434401186,0.15423902665403544,0.11342500004028666,0.0752983359690386,0.15423902665403544,0.682693691727127,0.015670562278715126,0.0
broad_no_medicaid,1,1,0,9996,1873,34,0.4935505530492872,0.12257250830450127,0.09617334536008511,0.0685873023299997,0.12257250830450127,0.48647435184150695,0.023720468714858833,0.0
broad_no_medicaid,1,1,1,6299,1199,33,0.40258322663161905,0.21687715785278247,0.15456414951279374,0.12371825140974628,0.21687715785278247,0.5768486462509714,0.025693198038748227,0.0
