state,state_fips,year,minimum_wage,mw_lag,mw_change,mw_increase
Alabama,01,2017,7.25,,,0.0
Alabama,01,2018,7.25,7.25,0.0,0.0
Alabama,01,2019,7.25,7.25,0.0,0.0
Alabama,01,2020,7.25,7.25,0.0,0.0
Alabama,01,2021,7.25,7.25,0.0,0.0
Alabama,01,2022,7.25,7.25,0.0,0.0
Alabama,01,2023,7.25,7.25,0.0,0.0
Alabama,01,2024,7.25,7.25,0.0,0.0
Alaska,02,2017,9.8,,,0.0
Alaska,02,2018,9.84,9.8,0.03999999999999915,0.03999999999999915
Alaska,02,2019,10.19,9.84,0.34999999999999964,0.34999999999999964
Alaska,02,2020,10.19,10.19,0.0,0.0
Alaska,02,2021,10.34,10.19,0.15000000000000036,0.15000000000000036
Alaska,02,2022,10.34,10.34,0.0,0.0
Alaska,02,2023,10.85,10.34,0.5099999999999998,0.5099999999999998
Alaska,02,2024,11.73,10.85,0.8800000000000008,0.8800000000000008
Arizona,04,2017,10.0,,,0.0
Arizona,04,2018,10.5,10.0,0.5,0.5
Arizona,04,2019,12.0,10.5,1.5,1.5
Arizona,04,2020,12.0,12.0,0.0,0.0
Arizona,04,2021,12.15,12.0,0.15000000000000036,0.15000000000000036
Arizona,04,2022,12.8,12.15,0.6500000000000004,0.6500000000000004
Arizona,04,2023,13.85,12.8,1.049999999999999,1.049999999999999
Arizona,04,2024,14.35,13.85,0.5,0.5
Arkansas,05,2017,8.5,,,0.0
Arkansas,05,2018,8.5,8.5,0.0,0.0
Arkansas,05,2019,9.25,8.5,0.75,0.75
Arkansas,05,2020,10.0,9.25,0.75,0.75
Arkansas,05,2021,11.0,10.0,1.0,1.0
Arkansas,05,2022,11.0,11.0,0.0,0.0
Arkansas,05,2023,11.0,11.0,0.0,0.0
Arkansas,05,2024,11.0,11.0,0.0,0.0
California,06,2017,10.0,,,0.0
California,06,2018,11.0,10.0,1.0,1.0
California,06,2019,12.0,11.0,1.0,1.0
California,06,2020,12.0,12.0,0.0,0.0
California,06,2021,13.0,12.0,1.0,1.0
California,06,2022,14.0,13.0,1.0,1.0
California,06,2023,15.5,14.0,1.5,1.5
California,06,2024,16.0,15.5,0.5,0.5
Colorado,08,2017,9.3,,,0.0
Colorado,08,2018,10.2,9.3,0.8999999999999986,0.8999999999999986
Colorado,08,2019,12.0,10.2,1.8000000000000007,1.8000000000000007
Colorado,08,2020,12.02,12.0,0.019999999999999574,0.019999999999999574
Colorado,08,2021,12.32,12.02,0.3000000000000007,0.3000000000000007
Colorado,08,2022,12.56,12.32,0.2400000000000002,0.2400000000000002
Colorado,08,2023,13.65,12.56,1.0899999999999999,1.0899999999999999
Colorado,08,2024,14.42,13.65,0.7699999999999996,0.7699999999999996
Connecticut,09,2017,10.1,,,0.0
Connecticut,09,2018,10.1,10.1,0.0,0.0
Connecticut,09,2019,11.0,10.1,0.9000000000000004,0.9000000000000004
Connecticut,09,2020,12.0,11.0,1.0,1.0
Connecticut,09,2021,13.0,12.0,1.0,1.0
Connecticut,09,2022,14.0,13.0,1.0,1.0
Connecticut,09,2023,15.0,14.0,1.0,1.0
Connecticut,09,2024,15.69,15.0,0.6899999999999995,0.6899999999999995
Delaware,10,2017,8.25,,,0.0
Delaware,10,2018,8.25,8.25,0.0,0.0
Delaware,10,2019,9.25,8.25,1.0,1.0
Delaware,10,2020,9.25,9.25,0.0,0.0
Delaware,10,2021,9.25,9.25,0.0,0.0
Delaware,10,2022,10.5,9.25,1.25,1.25
Delaware,10,2023,11.75,10.5,1.25,1.25
Delaware,10,2024,13.25,11.75,1.5,1.5
District of Columbia,11,2017,11.5,,,0.0
District of Columbia,11,2018,13.25,11.5,1.75,1.75
District of Columbia,11,2019,14.0,13.25,0.75,0.75
District of Columbia,11,2020,15.0,14.0,1.0,1.0
District of Columbia,11,2021,15.2,15.0,0.1999999999999993,0.1999999999999993
District of Columbia,11,2022,16.1,15.2,0.9000000000000021,0.9000000000000021
District of Columbia,11,2023,17.0,16.1,0.8999999999999986,0.8999999999999986
District of Columbia,11,2024,17.5,17.0,0.5,0.5
Florida,12,2017,8.1,,,0.0
Florida,12,2018,8.25,8.1,0.15000000000000036,0.15000000000000036
Florida,12,2019,8.56,8.25,0.3100000000000005,0.3100000000000005
Florida,12,2020,8.56,8.56,0.0,0.0
Florida,12,2021,10.0,8.56,1.4399999999999995,1.4399999999999995
Florida,12,2022,10.0,10.0,0.0,0.0
Florida,12,2023,12.0,10.0,2.0,2.0
Florida,12,2024,12.0,12.0,0.0,0.0
Georgia,13,2017,7.25,,,0.0
Georgia,13,2018,7.25,7.25,0.0,0.0
Georgia,13,2019,7.25,7.25,0.0,0.0
Georgia,13,2020,7.25,7.25,0.0,0.0
Georgia,13,2021,7.25,7.25,0.0,0.0
Georgia,13,2022,7.25,7.25,0.0,0.0
Georgia,13,2023,7.25,7.25,0.0,0.0
Georgia,13,2024,7.25,7.25,0.0,0.0
Hawaii,15,2017,9.25,,,0.0
Hawaii,15,2018,10.1,9.25,0.8499999999999996,0.8499999999999996
Hawaii,15,2019,10.1,10.1,0.0,0.0
Hawaii,15,2020,10.1,10.1,0.0,0.0
Hawaii,15,2021,10.1,10.1,0.0,0.0
Hawaii,15,2022,12.0,10.1,1.9000000000000004,1.9000000000000004
Hawaii,15,2023,12.0,12.0,0.0,0.0
Hawaii,15,2024,14.0,12.0,2.0,2.0
Idaho,16,2017,7.25,,,0.0
Idaho,16,2018,7.25,7.25,0.0,0.0
Idaho,16,2019,7.25,7.25,0.0,0.0
Idaho,16,2020,7.25,7.25,0.0,0.0
Idaho,16,2021,7.25,7.25,0.0,0.0
Idaho,16,2022,7.25,7.25,0.0,0.0
Idaho,16,2023,7.25,7.25,0.0,0.0
Idaho,16,2024,7.25,7.25,0.0,0.0
Illinois,17,2017,8.25,,,0.0
Illinois,17,2018,8.25,8.25,0.0,0.0
Illinois,17,2019,9.25,8.25,1.0,1.0
Illinois,17,2020,10.0,9.25,0.75,0.75
Illinois,17,2021,11.0,10.0,1.0,1.0
Illinois,17,2022,12.0,11.0,1.0,1.0
Illinois,17,2023,13.0,12.0,1.0,1.0
Illinois,17,2024,14.0,13.0,1.0,1.0
Indiana,18,2017,7.25,,,0.0
Indiana,18,2018,7.25,7.25,0.0,0.0
Indiana,18,2019,7.25,7.25,0.0,0.0
Indiana,18,2020,7.25,7.25,0.0,0.0
