sample,outcome,coef_low_educ_x_mw_increase,se_hc1,t_stat,rows,persons,treated_low_educ_rows,treated_low_educ_persons,treated_low_educ_events,treated_low_educ_mean_w,control_low_educ_mean_w
adult_19_64,employed_any_week,0.007498232340061816,0.001537443452793156,4.8770784554315645,1816825,87582,279831,16611,180708,0.6571321686550519,0.6390112592849732
adult_19_64,earnings_positive,0.00875779013655495,0.0015754336086068594,5.558971250016291,1816825,87582,279831,16611,172260,0.6288496546285803,0.6098260728966227
adult_19_64,snap,-0.013688878933772807,0.0009936789745649617,-13.775957109051115,1816825,87582,279831,16611,37811,0.13497472193464818,0.14517229453700523
adult_19_64,tanf,0.0015383230239525132,0.00018062726043543712,8.516560679955433,1816825,87582,279831,16611,1434,0.0044995506337359575,0.0028283761785560754
adult_19_64,ssi,-0.01013158306031667,0.0006545153414821092,-15.479519605108615,1816825,87582,279831,16611,14996,0.053574991248012745,0.06403357741923477
adult_19_64,medicaid,0.02240858324047606,0.0013595379061879097,16.482499780612102,1816825,87582,279831,16611,84495,0.30184143264190016,0.2378210647059152
adult_19_64,uninsured,-0.015300310539821314,0.0012447331951140432,-12.29204025399153,1816825,87582,279831,16611,50819,0.17905150585559942,0.2320015447274854
adult_19_64,private,-0.0029060151404327016,0.001576675385211191,-1.8431283748642078,1816825,87582,279831,16611,146488,0.5317477306328091,0.5300304433411578
adult_19_64,direct_purchase,-0.002164130753405457,0.0009561003657084528,-2.2634974643084425,1816825,87582,279831,16611,18904,0.06664119164039228,0.06549401416931823
adult_19_64,oop_any,-0.030553437715916724,0.0016729323844079556,-18.263402634009903,1816825,87582,279831,16611,120914,0.42945300013820314,0.4652972066368585
adult_19_64,doctor_any,-0.009132860097121998,0.0015588840688587533,-5.858588383553173,1816825,87582,279831,16611,188131,0.6703760295468061,0.6622296866407265
prime_25_54,employed_any_week,0.0050909577666199135,0.001864538560977436,2.730411627395419,1127818,55123,164049,9687,115716,0.7071282368756093,0.688694744482502
prime_25_54,earnings_positive,0.005130783359053554,0.001929415153647198,2.659242801817312,1127818,55123,164049,9687,110275,0.6759594293784947,0.6569413264665201
prime_25_54,snap,-0.01577078323431432,0.0012813123541380424,-12.308304983856617,1127818,55123,164049,9687,22272,0.1357997921286136,0.15238696339346966
prime_25_54,tanf,0.0013768510548494669,0.00026666832553465285,5.163159336936507,1127818,55123,164049,9687,1092,0.005700499788050902,0.0039712472518613675
prime_25_54,ssi,-0.008573110490966176,0.0008719516896907965,-9.832093443165748,1127818,55123,164049,9687,8179,0.05218695661175273,0.06375844929934792
prime_25_54,medicaid,0.028100679155471434,0.001745219233311629,16.101518146891596,1127818,55123,164049,9687,50873,0.3088694890335413,0.2408829486859486
prime_25_54,uninsured,-0.020009910739887067,0.0016814690448306265,-11.900255197325178,1127818,55123,164049,9687,35460,0.20997915514006368,0.26829974528840794
prime_25_54,private,-0.008519515675669772,0.0020265018764672217,-4.204050227933541,1127818,55123,164049,9687,80172,0.4968838084093282,0.49893627491978904
prime_25_54,direct_purchase,0.0021016517746740497,0.0011635962930415847,1.8061691905020023,1127818,55123,164049,9687,9439,0.059185963735533836,0.05631959957867635
prime_25_54,oop_any,-0.027271870676812953,0.002134863739439094,-12.774525218166037,1127818,55123,164049,9687,71742,0.44546647932253813,0.4784248455065539
prime_25_54,doctor_any,-0.004264640962435128,0.002007908380995667,-2.123922088676381,1127818,55123,164049,9687,105204,0.6486586071820722,0.6358201337255887
working_adults,employed_any_week,-1.078998002057574e-14,1.285504622581332e-16,-83.93575434142846,1316096,69151,180708,11766,180708,1.0,1.0
working_adults,earnings_positive,0.0024407188985016218,0.0007962462639971327,3.0652814447747425,1316096,69151,180708,11766,172039,0.9556820038907927,0.9531924418402479
working_adults,snap,-0.003855129772314353,0.0009321874336734633,-4.135573633644122,1316096,69151,180708,11766,11884,0.06653373956481724,0.07170631312283207
working_adults,tanf,0.0010247217436227343,0.0001597279063170702,6.415420869466576,1316096,69151,180708,11766,531,0.002486166175993153,0.0017590210055847175
working_adults,ssi,7.473194487097817e-05,0.0003133379944394556,0.23850265910034146,1316096,69151,180708,11766,1593,0.00854797302022033,0.008805794685767882
working_adults,medicaid,0.03211629626181223,0.0014415758715035627,22.278602810072666,1316096,69151,180708,11766,38264,0.21249137812394045,0.14116106358414152
working_adults,uninsured,-0.01852226035855027,0.0015205205072646962,-12.181526174790267,1316096,69151,180708,11766,33841,0.1834248764695476,0.2349952775348269
working_adults,private,-0.011545704122050554,0.0018332193096246595,-6.298048499398834,1316096,69151,180708,11766,112524,0.6291162934904566,0.6377258952908565
working_adults,direct_purchase,0.0015856039422097812,0.001136977109293933,1.3945785972722415,1316096,69151,180708,11766,12138,0.06660976583327825,0.06496795039487689
working_adults,oop_any,-0.03113988686354575,0.0020200929939664493,-15.415075918065847,1316096,69151,180708,11766,88622,0.48768754994915897,0.5188176107328389
working_adults,doctor_any,-0.011825885602096006,0.001923005190086104,-6.14968990362761,1316096,69151,180708,11766,116558,0.6427103921162336,0.6369917934313835
