model,outcome,year_relative_to_2021,term,coef,se,t,n_person_years,n_persons,n_states
private_care_users_event,log_oop,-1,no_comp_x_year_2020,-0.1577968427760642,0.09257628338484941,-1.7045061327433726,44072,31226,52
private_care_users_event,log_oop,1,no_comp_x_year_2022,-0.10666782415825327,0.10230599980016718,-1.0426350787500829,44072,31226,52
private_care_users_event,log_oop,2,no_comp_x_year_2023,-0.00907660329915879,0.10418311700900845,-0.08712163313729575,44072,31226,52
private_care_users_event,oop_gt_1000,-1,no_comp_x_year_2020,-0.02593941586265136,0.013129538562030328,-1.9756532752541864,44072,31226,52
private_care_users_event,oop_gt_1000,1,no_comp_x_year_2022,-0.005359948449160883,0.014676041723616022,-0.3652175804689827,44072,31226,52
private_care_users_event,oop_gt_1000,2,no_comp_x_year_2023,-0.025773817173235635,0.015042347931244898,-1.7134171667243576,44072,31226,52
private_care_users_event,oop_amount,-1,no_comp_x_year_2020,-215.54776831496233,80.24485719343977,-2.6861256391217547,44072,31226,52
private_care_users_event,oop_amount,1,no_comp_x_year_2022,-104.78842807686051,86.73838237112815,-1.2080975597227706,44072,31226,52
private_care_users_event,oop_amount,2,no_comp_x_year_2023,-151.4463047566898,103.59444100902445,-1.461915362268298,44072,31226,52
private_hospital_users_event,log_oop,-1,no_comp_x_year_2020,0.24151539942929687,0.35055406425158553,0.6889533571516837,3625,3378,52
private_hospital_users_event,log_oop,1,no_comp_x_year_2022,-0.015817180988865923,0.3999980713585307,-0.03954314313352899,3625,3378,52
private_hospital_users_event,log_oop,2,no_comp_x_year_2023,-0.03165670561724681,0.3999665416643981,-0.0791483844761424,3625,3378,52
private_hospital_users_event,oop_gt_1000,-1,no_comp_x_year_2020,-0.09587423429984512,0.05013852264922224,-1.9121870616451508,3625,3378,52
private_hospital_users_event,oop_gt_1000,1,no_comp_x_year_2022,-0.09031866706965976,0.05621432774551085,-1.606684108694556,3625,3378,52
private_hospital_users_event,oop_gt_1000,2,no_comp_x_year_2023,-0.11988402903034033,0.05655298012586985,-2.1198534323658045,3625,3378,52
private_hospital_users_event,oop_amount,-1,no_comp_x_year_2020,-444.9370280699074,379.4652006465785,-1.1725371056733795,3625,3378,52
private_hospital_users_event,oop_amount,1,no_comp_x_year_2022,-563.7728750686234,406.25110162352723,-1.3877448524215241,3625,3378,52
private_hospital_users_event,oop_amount,2,no_comp_x_year_2023,-362.79336902157377,510.0635969451821,-0.7112708517023695,3625,3378,52
