state_fips,reference_year,person_years,persons
06,2022,20,20
12,2022,11,11
48,2022,11,11
36,2022,7,7
37,2022,5,5
22,2022,4,4
40,2022,4,4
45,2022,4,4
51,2022,4,4
53,2022,4,4
13,2022,3,3
24,2022,3,3
41,2022,3,3
08,2022,2,2
16,2022,2,2
18,2022,2,2
26,2022,2,2
27,2022,2,2
29,2022,2,2
34,2022,2,2
01,2022,1,1
02,2022,1,1
04,2022,1,1
05,2022,1,1
09,2022,1,1
17,2022,1,1
20,2022,1,1
21,2022,1,1
28,2022,1,1
31,2022,1,1
39,2022,1,1
47,2022,1,1
49,2022,1,1
54,2022,1,1
06,2023,16,16
48,2023,11,11
39,2023,7,7
13,2023,5,5
18,2023,5,5
26,2023,4,4
36,2023,4,4
42,2023,4,4
45,2023,4,4
53,2023,4,4
04,2023,3,3
08,2023,3,3
12,2023,3,3
37,2023,3,3
47,2023,3,3
02,2023,2,2
17,2023,2,2
27,2023,2,2
28,2023,2,2
49,2023,2,2
01,2023,1,1
05,2023,1,1
16,2023,1,1
19,2023,1,1
20,2023,1,1
22,2023,1,1
25,2023,1,1
29,2023,1,1
32,2023,1,1
34,2023,1,1
40,2023,1,1
41,2023,1,1
51,2023,1,1
54,2023,1,1
55,2023,1,1
