reference_year,low_income,person_years,persons,states,mean_months,uninsured_mean,public_mean
2017,0,149,149,41,4.033557046979865,0.05145413870246084,0.08165548098434004
2017,1,284,281,44,4.246478873239437,0.16433601609657947,0.4850352112676056
2018,0,77,77,29,4.103896103896104,0.04924242424242424,0.03896103896103896
2018,1,152,151,38,3.9407894736842106,0.08799342105263158,0.5838815789473685
2019,0,113,113,33,3.982300884955752,0.02654867256637168,0.13716814159292035
2019,1,161,159,39,4.614906832298137,0.12008281573498963,0.5097604259094942
2020,0,117,117,34,4.9743589743589745,0.037698412698412696,0.07127594627594627
2020,1,173,172,34,4.965317919075145,0.11127167630057803,0.47440132122213047
2021,0,87,87,28,4.494252873563219,0.0361247947454844,0.14942528735632185
2021,1,123,122,34,4.967479674796748,0.13719512195121952,0.527061556329849
2022,0,92,92,35,4.576086956521739,0.07065217391304347,0.08695652173913043
2022,1,111,110,34,4.531531531531532,0.13325825825825827,0.5255255255255256
2023,0,79,79,31,4.30379746835443,0.0379746835443038,0.11392405063291139
2023,1,104,104,35,5.269230769230769,0.15707417582417582,0.4826923076923077
