outcome,year,reference_year,coef_above400_highpremium_vs_2020,se_hc1,t_stat,persons,states
direct_purchase,2018,2020,0.0019996843208318626,0.004692149409779904,0.42617660824352616,15533,39
direct_purchase,2019,2020,0.015803580591391586,0.004722561244582823,3.346400347802716,15533,39
direct_purchase,2021,2020,-0.018255310546546277,0.004910244724828741,-3.717800551617717,15533,39
direct_purchase,2022,2020,0.023224629919188833,0.0059723176534856506,3.8887131038038705,15533,39
direct_purchase,2023,2020,0.007149943230593314,0.006497779988709273,1.100367085838126,15533,39
market_or_subsidy,2018,2020,-0.0066309154834588435,0.003970762564682067,-1.6699350251857155,15533,39
market_or_subsidy,2019,2020,0.0061190774137085124,0.004017544399453647,1.5230889332649706,15533,39
market_or_subsidy,2021,2020,-0.020151842728548197,0.004183790766174061,-4.816646877151649,15533,39
market_or_subsidy,2022,2020,-0.002510672112609136,0.004996931835472767,-0.5024427379189169,15533,39
market_or_subsidy,2023,2020,-0.006279567554029586,0.005913250656862273,-1.0619484812033473,15533,39
uninsured,2018,2020,-0.002701008209051614,0.005535654567486842,-0.4879293272589184,15533,39
uninsured,2019,2020,-0.020600712901162305,0.005634150714041642,-3.6564007508390635,15533,39
uninsured,2021,2020,-0.017161289686956765,0.00621929947040519,-2.759360562812503,15533,39
uninsured,2022,2020,-0.013166569900224856,0.00657407010530702,-2.0028033910979954,15533,39
uninsured,2023,2020,-0.016503136018254316,0.0063052436481281764,-2.617366899557254,15533,39
any_coverage,2018,2020,0.0027010082090672682,0.005535654567486916,0.4879293272617398,15533,39
any_coverage,2019,2020,0.02060071290118537,0.005634150714041653,3.65640075084315,15533,39
any_coverage,2021,2020,0.017161289686985715,0.006219299470405214,2.7593605628171467,15533,39
any_coverage,2022,2020,0.01316656990024967,0.006574070105307048,2.0028033911017613,15533,39
any_coverage,2023,2020,0.01650313601828035,0.0063052436481281825,2.617366899561381,15533,39
private,2018,2020,0.02215616745413662,0.006564067112094872,3.375371865609346,15533,39
private,2019,2020,0.04213903651299766,0.006575157754416566,6.408825169965338,15533,39
private,2021,2020,0.040876511414109196,0.00746382494028071,5.47661711537568,15533,39
private,2022,2020,0.023731410774028294,0.007864846741731088,3.0174028246613873,15533,39
private,2023,2020,0.039759366043063515,0.008008276646863533,4.964784284598284,15533,39
oop_any,2018,2020,0.013297945891065588,0.008578978461052026,1.5500616945755665,15533,39
oop_any,2019,2020,0.03472305543557508,0.008379267335697346,4.143925004952158,15533,39
oop_any,2021,2020,0.012263273201033265,0.009757646159569543,1.2567860117582146,15533,39
oop_any,2022,2020,0.055522340065376596,0.009665243521881195,5.744536072958667,15533,39
oop_any,2023,2020,0.07404869395154146,0.010170978362649553,7.280390470937122,15533,39
doctor_any,2018,2020,0.02615581436229153,0.007676941104661478,3.4070620062995647,15533,39
doctor_any,2019,2020,0.009748062202257435,0.0077212780644332,1.2624933490169565,15533,39
doctor_any,2021,2020,0.02283587598802761,0.00868785591490558,2.628482356486663,15533,39
doctor_any,2022,2020,-0.03603419488446935,0.00952233474605521,-3.7841764488900305,15533,39
doctor_any,2023,2020,0.036042497332397616,0.009197537056396456,3.9187118368098064,15533,39
