reference_year,above400,highpremium,rows,persons,market_events,uninsured_events,states
2018,0,0,15431,1299,997,1378,19
2018,0,1,13252,1115,1205,1226,20
2018,1,0,11333,951,516,719,18
2018,1,1,9367,792,485,703,20
2019,0,0,15920,1334,915,2068,19
2019,0,1,12267,1039,892,1802,20
2019,1,0,13873,1164,742,1249,19
2019,1,1,9430,798,512,888,20
2020,0,0,15975,1340,1235,1778,19
2020,0,1,12812,1076,915,1599,19
2020,1,0,13056,1095,488,994,19
2020,1,1,10046,843,511,1063,19
2021,0,0,9706,818,715,1261,17
2021,0,1,7862,667,761,993,19
2021,1,0,7913,667,362,783,17
2021,1,1,6619,558,315,651,19
2022,0,0,8616,728,866,1126,15
2022,0,1,8850,746,830,1140,18
2022,1,0,7567,640,322,428,14
2022,1,1,6645,558,474,616,18
2023,0,0,7971,670,734,1133,15
2023,0,1,7856,663,1136,987,18
2023,1,0,6150,519,471,414,15
2023,1,1,6087,515,471,512,18
