outcome,coef_post_x_above400_x_highpremium,se_hc1,t_stat,rows,persons,states,min_cell_persons,min_cell_events
direct_purchase,0.01292464329513765,0.0056215907998724,2.2991078068917816,244604,15533,39,1426,1611
marketplace,0.009075770002561545,0.0049168083208009795,1.8458661412863546,244604,15533,39,1426,1096
subsidized_private,0.0102883937922163,0.00353184237105519,2.91303878013743,244604,15533,39,1426,537
market_or_subsidy,0.012807180939449103,0.004995005993478515,2.5639971115490496,244604,15533,39,1426,1155
uninsured,0.020977136399517426,0.0059500924753746205,3.5255143489508027,244604,15533,39,1426,1625
any_coverage,-0.020977136399525254,0.005950092475374619,-3.5255143489521195,244604,15533,39,1426,17572
private,-0.00662893472666104,0.007425955040641244,-0.8926710019629501,244604,15533,39,1426,16443
oop_any,-0.023071247524948824,0.009313027077872349,-2.477309185513468,244604,15533,39,1426,13412
doctor_any,-0.03560611286849591,0.008513332439633817,-4.18239427638602,244604,15533,39,1426,15220
working_any_week,0.00536509861998935,0.007015467988808318,0.7647527760868156,244604,15533,39,1426,16204
