state,years,pre_2021_age60_excess_burden,high_pre_premium_burden,mean_age60_burden,rating_areas
AK,6,0.21000617989373607,1,0.28078306090198596,3
AL,6,0.19854898533309476,1,0.27948865287509755,13
AR,6,0.1037833145817777,0,0.18733088991865324,7
AZ,6,0.20474757727743675,1,0.2628253772253794,7
DE,6,0.22592096885432614,1,0.28275116574135645,1
FL,6,0.20837611750284935,1,0.2657890813807726,67
GA,6,0.1758417431723521,0,0.22483996891185834,16
HI,6,0.12671822023069465,0,0.2030034851487422,1
IA,6,0.2897810668854524,1,0.29864906068052116,7
IL,6,0.18891628633995464,1,0.2558886933681656,13
IN,6,0.0925341107508569,0,0.18182617510407928,17
KS,6,0.1768675701832235,0,0.24169447167287425,7
KY,4,0.14622335878675413,0,0.23181903791770536,8
LA,6,0.1673643045439331,0,0.25391482769940804,8
ME,4,0.20630075727110633,1,0.2752164452825223,4
MI,6,0.12112297059750955,0,0.1919035611283545,16
MO,6,0.1996475182231173,1,0.2606447229154902,10
MS,6,0.17758080447304966,0,0.2380893843280284,6
MT,6,0.17683378914531542,0,0.23982811018610983,4
NC,6,0.2294809392563836,1,0.2776490283610356,16
ND,6,0.09917278735374101,0,0.19579781328184195,4
NE,6,0.31179552797547305,1,0.3401483195202637,4
NH,6,0.13378624950850765,0,0.18445412384178098,1
NJ,3,0.11075049055166004,0,0.19575049055166005,1
NM,4,0.11301866433730456,0,0.1916320106753387,5
NV,2,0.19821435064031453,1,0.2832143506403145,4
OH,6,0.1111336829210811,0,0.1892187971386218,17
OK,6,0.23841625260318358,1,0.2828706371196271,5
OR,6,0.13668937478984075,0,0.21729174817394079,7
PA,3,0.15060255563010158,0,0.23560255563010157,9
SC,6,0.18476105163007142,1,0.2420435615785919,46
SD,6,0.18652694154853924,1,0.2725028747112798,4
TN,6,0.23893967106594438,1,0.2719537543679574,8
TX,6,0.16144879916698981,0,0.23490160236530758,27
UT,6,0.19236762729021772,1,0.24991578727090621,6
VA,6,0.205593148274815,1,0.25111258934882436,12
WI,6,0.18010641330391422,0,0.24064093622826574,16
WV,6,0.20973733067750447,1,0.3204458113028855,11
WY,6,0.35125787223799687,1,0.398933522392555,3
