period,noncitizen,low250,person_months,persons,states,medicaid,snap_month,uninsured,public,private
chill_2019_2020,0,0,247352,21286,51,0.08302668739027848,0.02097234298376438,0.10467377013909177,0.0989941699529573,0.8273631771939794
chill_2019_2020,0,1,198057,17080,51,0.3173442600035402,0.17311339509662343,0.2315404180423819,0.33060114687520004,0.4855356733709372
chill_2019_2020,1,0,16150,1469,48,0.10883783774171621,0.010777338765365126,0.25272185171387307,0.1095319707218204,0.6577303388854708
chill_2019_2020,1,1,26774,2042,51,0.2682757666291068,0.10223998316888992,0.4577150512920733,0.2713155949464579,0.2890203072286287
pre_2017_2018,0,0,261370,21600,51,0.07324249235623469,0.01834000835443587,0.09970821919290847,0.08778067301406371,0.8417862515840159
pre_2017_2018,0,1,229668,18551,51,0.3042798588290254,0.18329695707963375,0.2368056726153898,0.3184579599626832,0.48578255866010256
pre_2017_2018,1,0,20224,1805,51,0.10503582241726495,0.017609691257684818,0.2483249082388152,0.10649716726749985,0.6761046676626282
pre_2017_2018,1,1,36985,2770,49,0.26426741051491565,0.1058046189041612,0.43995021472015705,0.26460338126305005,0.3273270975242088
reversal_2021_2023,0,0,256743,19813,51,0.113208210500679,0.028737369364235252,0.09435576466754604,0.12676331763829085,0.817407544021428
reversal_2021_2023,0,1,199605,15576,51,0.36113413762417446,0.17948868718839497,0.20113784088745829,0.3725767347395676,0.4850730543885924
reversal_2021_2023,1,0,20539,1705,46,0.1455612638114501,0.019975341185499634,0.2853257156529127,0.1457558686367865,0.5945161876273809
reversal_2021_2023,1,1,29649,2076,48,0.2999103851132191,0.07829509966371147,0.446329701164849,0.30318371952602013,0.28431247490002387
