sample,state_fips,state_name,reference_year,household_years,active,food_insecure_mean,food_score_mean
household_lag_snap_2018_2022,02,Alaska,2018,6,0,0.16666666666666666,1.0
household_lag_snap_2018_2022,02,Alaska,2019,2,0,1.0,3.5
household_lag_snap_2018_2022,02,Alaska,2020,5,0,0.4,1.8
household_lag_snap_2018_2022,02,Alaska,2021,3,0,0.6666666666666666,2.6666667
household_lag_snap_2018_2022,02,Alaska,2022,4,1,0.5,2.75
household_lag_snap_2018_2022,04,Arizona,2018,26,0,0.38461538461538464,2.0384614
household_lag_snap_2018_2022,04,Arizona,2019,17,0,0.29411764705882354,1.4705882
household_lag_snap_2018_2022,04,Arizona,2020,25,0,0.36,1.32
household_lag_snap_2018_2022,04,Arizona,2021,10,0,0.2,0.8
household_lag_snap_2018_2022,04,Arizona,2022,10,1,0.3,1.3
household_lag_snap_2018_2022,05,Arkansas,2018,15,0,0.3333333333333333,1.8
household_lag_snap_2018_2022,05,Arkansas,2019,11,0,0.5454545454545454,2.909091
household_lag_snap_2018_2022,05,Arkansas,2020,11,0,0.36363636363636365,1.9090909
household_lag_snap_2018_2022,05,Arkansas,2021,4,1,0.5,1.75
household_lag_snap_2018_2022,05,Arkansas,2022,13,1,0.5384615384615384,1.8461539
household_lag_snap_2018_2022,12,Florida,2018,102,0,0.29411764705882354,1.4901961
household_lag_snap_2018_2022,12,Florida,2019,71,0,0.38028169014084506,1.8169014
household_lag_snap_2018_2022,12,Florida,2020,86,0,0.3023255813953488,1.1744186
household_lag_snap_2018_2022,12,Florida,2021,41,1,0.36585365853658536,1.3902439
household_lag_snap_2018_2022,12,Florida,2022,52,1,0.46153846153846156,1.9038461
household_lag_snap_2018_2022,13,Georgia,2018,62,0,0.24193548387096775,1.2741935
household_lag_snap_2018_2022,13,Georgia,2019,34,0,0.29411764705882354,1.3235294
household_lag_snap_2018_2022,13,Georgia,2020,43,0,0.32558139534883723,1.6279069
household_lag_snap_2018_2022,13,Georgia,2021,27,0,0.25925925925925924,1.1111112
household_lag_snap_2018_2022,13,Georgia,2022,35,1,0.37142857142857144,1.5714285
household_lag_snap_2018_2022,16,Idaho,2018,7,0,0.2857142857142857,1.2857143
household_lag_snap_2018_2022,16,Idaho,2019,8,0,0.25,1.5
household_lag_snap_2018_2022,16,Idaho,2020,8,0,0.25,1.375
household_lag_snap_2018_2022,16,Idaho,2021,3,1,0.3333333333333333,1.0
household_lag_snap_2018_2022,16,Idaho,2022,10,1,0.7,2.2
household_lag_snap_2018_2022,18,Indiana,2018,17,0,0.4117647058823529,1.4117647
household_lag_snap_2018_2022,18,Indiana,2019,10,0,0.2,0.7
household_lag_snap_2018_2022,18,Indiana,2020,18,0,0.2777777777777778,0.7777778
household_lag_snap_2018_2022,18,Indiana,2021,16,0,0.1875,0.625
household_lag_snap_2018_2022,18,Indiana,2022,20,1,0.4,1.7
household_lag_snap_2018_2022,19,Iowa,2018,16,0,0.3125,1.625
household_lag_snap_2018_2022,19,Iowa,2019,11,0,0.2727272727272727,1.2727273
household_lag_snap_2018_2022,19,Iowa,2020,14,0,0.2857142857142857,1.1428572
household_lag_snap_2018_2022,19,Iowa,2021,4,0,0.25,0.75
household_lag_snap_2018_2022,19,Iowa,2022,6,1,0.0,0.16666667
household_lag_snap_2018_2022,21,Kentucky,2018,33,0,0.21212121212121213,1.1818181
household_lag_snap_2018_2022,21,Kentucky,2019,20,0,0.3,0.9
household_lag_snap_2018_2022,21,Kentucky,2020,25,0,0.4,1.8
household_lag_snap_2018_2022,21,Kentucky,2021,8,0,0.375,1.75
household_lag_snap_2018_2022,21,Kentucky,2022,11,1,0.45454545454545453,2.090909
household_lag_snap_2018_2022,28,Mississippi,2018,42,0,0.19047619047619047,0.6904762
household_lag_snap_2018_2022,28,Mississippi,2019,27,0,0.2222222222222222,1.3333334
household_lag_snap_2018_2022,28,Mississippi,2020,34,0,0.20588235294117646,0.88235295
household_lag_snap_2018_2022,28,Mississippi,2021,14,0,0.14285714285714285,0.71428573
household_lag_snap_2018_2022,28,Mississippi,2022,27,1,0.3333333333333333,1.2222222
household_lag_snap_2018_2022,29,Missouri,2018,21,0,0.5238095238095238,2.047619
household_lag_snap_2018_2022,29,Missouri,2019,10,0,0.4,1.5
household_lag_snap_2018_2022,29,Missouri,2020,13,0,0.23076923076923078,1.6153846
household_lag_snap_2018_2022,29,Missouri,2021,6,1,0.6666666666666666,2.1666667
household_lag_snap_2018_2022,29,Missouri,2022,13,1,0.38461538461538464,1.6923077
household_lag_snap_2018_2022,30,Montana,2018,2,0,0.5,1.0
household_lag_snap_2018_2022,30,Montana,2019,2,0,0.0,0.0
household_lag_snap_2018_2022,30,Montana,2020,4,0,0.5,2.25
household_lag_snap_2018_2022,30,Montana,2021,3,1,0.3333333333333333,1.6666666
household_lag_snap_2018_2022,30,Montana,2022,3,1,1.0,4.6666665
household_lag_snap_2018_2022,31,Nebraska,2018,4,0,0.25,1.5
household_lag_snap_2018_2022,31,Nebraska,2019,3,0,0.3333333333333333,2.0
household_lag_snap_2018_2022,31,Nebraska,2020,12,0,0.3333333333333333,1.25
household_lag_snap_2018_2022,31,Nebraska,2021,4,1,0.75,4.0
household_lag_snap_2018_2022,31,Nebraska,2022,7,1,0.7142857142857143,3.857143
household_lag_snap_2018_2022,38,North Dakota,2018,1,0,1.0,2.0
household_lag_snap_2018_2022,38,North Dakota,2020,1,0,1.0,2.0
household_lag_snap_2018_2022,46,South Dakota,2018,1,0,0.0,0.0
household_lag_snap_2018_2022,46,South Dakota,2020,2,0,0.0,0.5
household_lag_snap_2018_2022,46,South Dakota,2021,1,1,0.0,0.0
household_lag_snap_2018_2022,46,South Dakota,2022,1,1,0.0,0.0
household_lag_snap_2018_2022,47,Tennessee,2018,50,0,0.38,1.7
household_lag_snap_2018_2022,47,Tennessee,2019,28,0,0.25,0.9285714
household_lag_snap_2018_2022,47,Tennessee,2020,35,0,0.22857142857142856,0.8857143
household_lag_snap_2018_2022,47,Tennessee,2021,19,0,0.5263157894736842,2.4210527
household_lag_snap_2018_2022,47,Tennessee,2022,27,1,0.4444444444444444,2.2222223
household_lag_snap_2018_2022,56,Wyoming,2018,1,0,1.0,6.0
household_lag_snap_2018_2022,56,Wyoming,2021,2,0,0.0,0.0
household_lag_snap_2018_2022,56,Wyoming,2022,2,1,0.0,0.5
household_lag_snap_2018_2023,02,Alaska,2018,6,0,0.16666666666666666,1.0
household_lag_snap_2018_2023,02,Alaska,2019,2,0,1.0,3.5
household_lag_snap_2018_2023,02,Alaska,2020,5,0,0.4,1.8
household_lag_snap_2018_2023,02,Alaska,2021,3,0,0.6666666666666666,2.6666667
household_lag_snap_2018_2023,02,Alaska,2022,4,1,0.5,2.75
household_lag_snap_2018_2023,02,Alaska,2023,3,1,0.3333333333333333,2.3333333
household_lag_snap_2018_2023,04,Arizona,2018,26,0,0.38461538461538464,2.0384614
household_lag_snap_2018_2023,04,Arizona,2019,17,0,0.29411764705882354,1.4705882
household_lag_snap_2018_2023,04,Arizona,2020,25,0,0.36,1.32
household_lag_snap_2018_2023,04,Arizona,2021,10,0,0.2,0.8
household_lag_snap_2018_2023,04,Arizona,2022,10,1,0.3,1.3
household_lag_snap_2018_2023,04,Arizona,2023,16,1,0.125,0.5
household_lag_snap_2018_2023,05,Arkansas,2018,15,0,0.3333333333333333,1.8
household_lag_snap_2018_2023,05,Arkansas,2019,11,0,0.5454545454545454,2.909091
household_lag_snap_2018_2023,05,Arkansas,2020,11,0,0.36363636363636365,1.9090909
household_lag_snap_2018_2023,05,Arkansas,2021,4,1,0.5,1.75
household_lag_snap_2018_2023,05,Arkansas,2022,13,1,0.5384615384615384,1.8461539
household_lag_snap_2018_2023,05,Arkansas,2023,11,1,0.45454545454545453,1.8181819
household_lag_snap_2018_2023,12,Florida,2018,102,0,0.29411764705882354,1.4901961
household_lag_snap_2018_2023,12,Florida,2019,71,0,0.38028169014084506,1.8169014
household_lag_snap_2018_2023,12,Florida,2020,86,0,0.3023255813953488,1.1744186
household_lag_snap_2018_2023,12,Florida,2021,41,1,0.36585365853658536,1.3902439
household_lag_snap_2018_2023,12,Florida,2022,52,1,0.46153846153846156,1.9038461
household_lag_snap_2018_2023,12,Florida,2023,54,1,0.3148148148148148,1.3888888
household_lag_snap_2018_2023,13,Georgia,2018,62,0,0.24193548387096775,1.2741935
household_lag_snap_2018_2023,13,Georgia,2019,34,0,0.29411764705882354,1.3235294
household_lag_snap_2018_2023,13,Georgia,2020,43,0,0.32558139534883723,1.6279069
household_lag_snap_2018_2023,13,Georgia,2021,27,0,0.25925925925925924,1.1111112
household_lag_snap_2018_2023,13,Georgia,2022,35,1,0.37142857142857144,1.5714285
household_lag_snap_2018_2023,13,Georgia,2023,27,1,0.3333333333333333,1.5925926
household_lag_snap_2018_2023,16,Idaho,2018,7,0,0.2857142857142857,1.2857143
household_lag_snap_2018_2023,16,Idaho,2019,8,0,0.25,1.5
household_lag_snap_2018_2023,16,Idaho,2020,8,0,0.25,1.375
